"","Locus.1","Locus.2","p.val.Bird's Head-Summer.bon.corrected","p.val.Bird's Head-Winter.bon.corrected","p.val.HaevoSI-Summer.bon.corrected","p.val.HaevoSI-Winter.bon.corrected","p.val.IsabelSI-South.bon.corrected","p.val.Malaysia.bon.corrected","p.val.PNG.bon.corrected","num.sig.p.after.bon.correction"
"1","Dc00544","Dc01018",1,1,NA,NA,1,NA,NA,0
"2","Dc00544","Dc01661",0.877244,0.851136,NA,NA,0.851136,NA,NA,0
"3","Dc01018","Dc01661",0.983492,0.883374,NA,NA,0.983492,NA,0.735872,0
"4","Dc00544","Dc01707",1,1,NA,NA,1,NA,NA,0
"5","Dc01018","Dc01707",1,1,NA,NA,1,NA,1,0
"6","Dc01661","Dc01707",1,1,NA,NA,1,1,1,0
"7","Dc00544","Dc01784",1,1,NA,NA,1,NA,NA,0
"8","Dc01018","Dc01784",0.233512,1,NA,NA,1,NA,1,0
"9","Dc01661","Dc01784",1,1,NA,NA,0.432144,1,0.13525,0
"10","Dc01707","Dc01784",0.82115,0.833616,NA,NA,0.976,0.976,0.833616,0
"11","Dc00544","Dc02951",1,1,NA,NA,1,NA,NA,0
"12","Dc01018","Dc02951",0.915934,0.428814,NA,NA,0.391592,NA,0.428814,0
"13","Dc01661","Dc02951",1,1,NA,NA,1,1,0.18013,0
"14","Dc01707","Dc02951",0.96046,1,NA,NA,1,1,1,0
"15","Dc01784","Dc02951",1,1,NA,NA,1,1,0.96161,0
"16","Dc00544","Dc03456",1,1,NA,NA,1,NA,NA,0
"17","Dc01018","Dc03456",1,1,NA,NA,1,NA,1,0
"18","Dc01661","Dc03456",1,1,NA,NA,1,1,0.94822,0
"19","Dc01707","Dc03456",1,1,NA,NA,1,1,1,0
"20","Dc01784","Dc03456",0.40124,0.86013,NA,NA,0.526664,1,1,0
"21","Dc02951","Dc03456",0.30935,0.573608,NA,NA,1,1,1,0
"22","Dc00544","Dc03556",1,0.42729,NA,NA,1,NA,NA,0
"23","Dc01018","Dc03556",1,1,NA,NA,1,NA,1,0
"24","Dc01661","Dc03556",1,1,NA,NA,1,1,1,0
"25","Dc01707","Dc03556",1,1,NA,NA,1,1,1,0
"26","Dc01784","Dc03556",1,1,NA,NA,1,1,1,0
"27","Dc02951","Dc03556",1,1,NA,NA,1,1,1,0
"28","Dc03456","Dc03556",1,1,NA,NA,1,1,1,0
"29","Dc00544","Dc05864",0.85119,0.85119,NA,NA,0.85119,NA,NA,0
"30","Dc01018","Dc05864",1,0.235512,NA,NA,1,NA,1,0
"31","Dc01661","Dc05864",0.901352,1,NA,NA,1,NA,1,0
"32","Dc01707","Dc05864",1,1,NA,NA,1,NA,1,0
"33","Dc01784","Dc05864",1,1,NA,NA,0.019736,NA,1,1
"34","Dc02951","Dc05864",1,1,NA,NA,1,NA,1,0
"35","Dc03456","Dc05864",0.3783,1,NA,NA,0.375732,NA,0.348296,0
"36","Dc03556","Dc05864",0.941268,1,NA,NA,0.840912,NA,1,0
"37","Dc00544","Dc06503",1,1,NA,NA,1,NA,NA,0
"38","Dc01018","Dc06503",1,1,NA,NA,1,NA,1,0
"39","Dc01661","Dc06503",0.602,1,NA,NA,1,NA,1,0
"40","Dc01707","Dc06503",1,1,NA,NA,1,NA,1,0
"41","Dc01784","Dc06503",1,1,NA,NA,1,NA,1,0
"42","Dc02951","Dc06503",1,1,NA,NA,1,NA,1,0
"43","Dc03456","Dc06503",1,1,NA,NA,0.975672,NA,1,0
"44","Dc03556","Dc06503",1,1,NA,NA,1,NA,1,0
"45","Dc05864","Dc06503",1,1,NA,NA,1,NA,1,0
"46","Dc00544","Dc07300",1,1,NA,NA,1,NA,NA,0
"47","Dc01018","Dc07300",1,0.114928,NA,NA,0.569508,NA,1,0
