"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"1","Dc00544",84,59,0.587412587412587,2,0.0238095238095238,0,0.495865412033077,0.293706293706294,1
"2","Dc01018",118,25,0.825174825174825,2,0.0169491525423729,0,0.330436350522899,0.272727272727273,1
"3","Dc01661",142,1,0.993006993006993,3,0.0211267605633803,0.00704225352112676,0.623226994475688,0.594405594405594,2
"4","Dc01707",143,0,1,4,0.027972027972028,0,0.65633664581033,0.727272727272727,2
"5","Dc01784",141,2,0.986013986013986,2,0.0141843971631206,0,0.455112187981121,0.531468531468531,1
"6","Dc02951",143,0,1,2,0.013986013986014,0,0.328622254938044,0.300699300699301,1
"7","Dc03456",143,0,1,2,0.013986013986014,0,0.492896577107103,0.503496503496504,1
"8","Dc03556",142,1,0.993006993006993,2,0.0140845070422535,0.00704225352112676,0.483626138456179,0.566433566433566,1
"9","Dc05864",87,56,0.608391608391608,3,0.0344827586206897,0,0.594578433326689,0.34965034965035,2
"10","Dc06503",86,57,0.601398601398601,2,0.0232558139534884,0,0.140554875560996,0.0909090909090909,1
"11","Dc07300",143,0,1,3,0.020979020979021,0,0.656876456876457,0.643356643356643,2
"12","Dc07937",136,7,0.951048951048951,3,0.0220588235294118,0,0.567831560668548,0.55944055944056,2
"13","Dc08054",143,0,1,3,0.020979020979021,0,0.599705557600294,0.608391608391608,2
"14","Dc08189",133,10,0.93006993006993,3,0.0225563909774436,0,0.588877855014896,0.573426573426573,2
"15","Dc08463",143,0,1,2,0.013986013986014,0,0.398086124401914,0.34965034965035,1
"16","Dc08578",81,62,0.566433566433566,3,0.037037037037037,0,0.532244459780692,0.286713286713287,2
"17","Dc08865",143,0,1,3,0.020979020979021,0,0.553330879646669,0.545454545454545,2
"18","Dc10003",109,34,0.762237762237762,2,0.018348623853211,0,0.318141461970997,0.188811188811189,1
"19","Dc10390",143,0,1,2,0.013986013986014,0,0.193963930806036,0.174825174825175,1
"20","Dc10878",99,44,0.692307692307692,2,0.0202020202020202,0,0.501717684458801,0.342657342657343,1
"21","Dc10885",142,1,0.993006993006993,3,0.0211267605633803,0.00704225352112676,0.585776140944608,0.545454545454545,2
"22","Dc11203",143,0,1,2,0.013986013986014,0,0.256385719543614,0.244755244755245,2
"23","Dc11714",135,8,0.944055944055944,2,0.0148148148148148,0,0.501831199228969,0.363636363636364,1
"24","Dc13159",128,15,0.895104895104895,3,0.0234375,0,0.525459558823529,0.447552447552448,2
"25","Dc13592",134,9,0.937062937062937,3,0.0223880597014925,0,0.35298227961317,0.314685314685315,2
"26","Dc14022",139,4,0.972027972027972,2,0.0143884892086331,0,0.0628782172817704,0.0629370629370629,1
"27","Dc14945",143,0,1,2,0.013986013986014,0,0.130536130536131,0.111888111888112,1
"28","Dc16747",120,23,0.839160839160839,2,0.0166666666666667,0,0.425069735006973,0.384615384615385,1
"29","Dc18951",143,0,1,2,0.013986013986014,0,0.460507913139492,0.405594405594406,1
"30","Dc20232",140,3,0.979020979020979,3,0.0214285714285714,0,0.226600102406554,0.216783216783217,2
"31","Dc22883",120,23,0.839160839160839,3,0.025,0,0.637970711297071,0.55944055944056,2
"32","Dc22887",143,0,1,2,0.013986013986014,0,0.199435652067231,0.20979020979021,1
"33","Dc27955",114,29,0.797202797202797,2,0.0175438596491228,0,0.328734832676405,0.230769230769231,1
"34","Dc28124",143,0,1,2,0.013986013986014,0,0.193963930806036,0.216783216783217,1
"35","Dc28776",138,5,0.965034965034965,2,0.0144927536231884,0,0.400527009222661,0.391608391608392,1
"36","Dc30071",142,1,0.993006993006993,2,0.0140845070422535,0.00704225352112676,0.499278355646245,0.531468531468531,1
"37","Dc31007",96,47,0.671328671328671,2,0.0208333333333333,0,0.179264834205934,0.118881118881119,1
"38","Dc33714",142,1,0.993006993006993,3,0.0211267605633803,0.00704225352112676,0.527422485442692,0.538461538461538,2
"39","Dc33907",138,5,0.965034965034965,2,0.0144927536231884,0,0.379973649538867,0.377622377622378,1
"40","Dc34902",143,0,1,2,0.013986013986014,0,0.177254324622746,0.153846153846154,1
"41","Dc35779",142,1,0.993006993006993,2,0.0140845070422535,0.00704225352112676,0.272433185686557,0.27972027972028,1
"42","Dc36571",133,10,0.93006993006993,2,0.0150375939849624,0,0.496325719960278,0.482517482517482,1
"43","Dc36616",143,0,1,2,0.013986013986014,0,0.33271991166728,0.335664335664336,1
"44","Dc36767",87,56,0.608391608391608,3,0.0344827586206897,0,0.446814165171749,0.300699300699301,2
"45","Dc40235",143,0,1,2,0.013986013986014,0,0.298564593301435,0.27972027972028,1
"46","Dc41234",96,47,0.671328671328671,3,0.03125,0,0.616110383944154,0.356643356643357,2
"47","Dc46984",143,0,1,3,0.020979020979021,0,0.598184271868482,0.517482517482518,2
"48","Dc47572",143,0,1,3,0.020979020979021,0,0.420929947245737,0.41958041958042,2
"49","Dc47935",143,0,1,4,0.027972027972028,0,0.617224880382775,0.608391608391608,3
"50","Dc48207",126,17,0.881118881118881,2,0.0158730158730159,0,0.0466704610130906,0.041958041958042,1
"51","Dc48950",143,0,1,3,0.020979020979021,0,0.624585940375414,0.622377622377622,2
"52","Dc49080",143,0,1,2,0.013986013986014,0,0.501533554165133,0.461538461538462,1
"53","Dc49184",143,0,1,3,0.020979020979021,0,0.409250398724083,0.377622377622378,2
"54","Dc51020",143,0,1,2,0.013986013986014,0,0.416341553183658,0.433566433566434,1
