"","Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p","num.sig.after.correction"
"1","Dc00544","Dc01018",0.391164,0.571484,NA,NA,0.638988,NA,NA,0,0
"2","Dc00544","Dc01661",0.877244,0.283712,NA,NA,0.305302,NA,NA,0,0
"3","Dc01018","Dc01661",0.502334,0.294458,NA,NA,0.491746,NA,0.183968,0,0
"4","Dc00544","Dc01707",0.491824,1,NA,NA,0.796294,NA,NA,0,0
"5","Dc01018","Dc01707",0.61231,1,NA,NA,0.72328,NA,0.700168,0,0
"6","Dc01661","Dc01707",0.728434,0.871362,NA,NA,0.923786,0.707214,0.413666,0,0
"7","Dc00544","Dc01784",0.809538,1,NA,NA,0.743416,NA,NA,0,0
"8","Dc01018","Dc01784",0.058378,1,NA,NA,0.50807,NA,0.444682,0,0
"9","Dc01661","Dc01784",0.799232,0.356602,NA,NA,0.108036,1,0.02705,1,0
"10","Dc01707","Dc01784",0.16423,0.214356,NA,NA,0.741376,0.488,0.208404,0,0
"11","Dc00544","Dc02951",0.783704,1,NA,NA,0.820294,NA,NA,0,0
"12","Dc01018","Dc02951",0.915934,0.142938,NA,NA,0.097898,NA,0.199962,0,0
"13","Dc01661","Dc02951",0.961196,0.484784,NA,NA,0.577954,1,0.036026,1,0
"14","Dc01707","Dc02951",0.192092,0.484554,NA,NA,0.94058,0.432634,0.908472,0,0
"15","Dc01784","Dc02951",0.301964,1,NA,NA,0.82172,0.428554,0.192322,0,0
"16","Dc00544","Dc03456",0.822694,1,NA,NA,0.616702,NA,NA,0,0
"17","Dc01018","Dc03456",0.814642,0.534038,NA,NA,0.41282,NA,1,0,0
"18","Dc01661","Dc03456",0.808464,0.42539,NA,NA,0.43656,0.334504,0.189644,0,0
"19","Dc01707","Dc03456",0.900604,0.533732,NA,NA,0.614346,0.540618,0.362346,0,0
"20","Dc01784","Dc03456",0.080248,0.28671,NA,NA,0.131666,0.657786,1,0,0
"21","Dc02951","Dc03456",0.06187,0.143402,NA,NA,0.454344,1,0.384536,0,0
"22","Dc00544","Dc03556",0.554916,0.14243,NA,NA,0.515752,NA,NA,0,0
"23","Dc01018","Dc03556",0.405736,0.678206,NA,NA,1,NA,0.533476,0,0
"24","Dc01661","Dc03556",0.671684,1,NA,NA,0.938794,1,0.617996,0,0
"25","Dc01707","Dc03556",0.312832,0.250416,NA,NA,0.802492,1,1,0,0
"26","Dc01784","Dc03556",0.829972,0.464684,NA,NA,0.71225,0.485512,0.490076,0,0
"27","Dc02951","Dc03556",0.289548,1,NA,NA,0.55132,1,0.616914,0,0
"28","Dc03456","Dc03556",1,1,NA,NA,0.366858,0.657214,1,0,0
"29","Dc00544","Dc05864",0.693598,0.28373,NA,NA,0.373032,NA,NA,0,0
