"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"1","Dc01018",134,3,2,1,1
"2","Dc01661",189,6,2,2,1
"3","Dc01707",191,9,2,2,1
"4","Dc01784",186,3,2,1,1
"5","Dc02951",191,3,2,1,1
"6","Dc03456",192,3,2,1,1
"7","Dc03556",191,3,2,1,1
"8","Dc07300",192,6,2,2,1
"9","Dc07937",176,5,2,2,1
"10","Dc08054",192,6,2,2,1
"11","Dc08189",164,5,2,2,1
"12","Dc08463",192,3,2,1,1
"13","Dc08865",192,6,2,2,1
"14","Dc10003",120,3,2,1,1
"15","Dc10390",192,3,2,1,1
"16","Dc10878",101,3,2,1,1
"17","Dc10885",190,6,2,2,1
"18","Dc11203",191,3,2,2,1
"19","Dc11714",175,3,2,1,1
"20","Dc13159",164,5,2,2,1
"21","Dc13592",176,5,2,2,1
"22","Dc14022",182,2,2,1,1
"23","Dc14945",192,3,2,1,1
"24","Dc16747",149,3,2,1,1
"25","Dc18951",192,3,2,1,1
"26","Dc20232",186,5,2,2,1
"27","Dc22883",146,6,2,2,1
"28","Dc22887",191,3,2,1,1
"29","Dc27955",129,3,2,1,1
"30","Dc28124",192,2,2,1,1
"31","Dc28776",176,3,2,1,1
"32","Dc30071",188,3,2,1,1
"33","Dc33714",189,5,2,2,1
"34","Dc33907",182,3,2,1,1
"35","Dc34902",190,3,2,1,1
"36","Dc35779",190,3,2,1,1
"37","Dc36571",164,3,2,1,1
"38","Dc36616",191,3,2,1,1
"39","Dc40235",192,3,2,1,1
"40","Dc46984",192,6,2,2,1
"41","Dc47572",192,5,2,2,1
"42","Dc47935",190,10,2,2,2
"43","Dc48207",156,2,2,1,1
"44","Dc48950",192,6,2,2,1
"45","Dc49080",192,3,2,1,1
"46","Dc49184",192,5,2,2,1
"47","Dc51020",191,3,2,1,1
"48","Dc52523",179,9,2,2,1
"49","Dc55481",156,3,2,1,1
"50","Dc58248",192,8,2,2,1
"51","Dc62188",192,6,2,2,1
"52","Dc67011",191,3,2,1,1
"53","locus002",124,3,2,1,1
"54","locus003",192,3,2,1,1
"55","locus004",191,3,2,1,1
"56","locus005",190,3,2,1,1
"57","locus006",192,3,2,1,1
"58","locus008",191,3,2,1,1
"59","locus013",192,3,2,1,1
"60","locus014",192,3,2,1,1
"61","locus016",183,3,2,1,1
"62","locus022",192,6,2,2,1
"63","locus024",189,3,2,1,1
"64","locus025",186,3,2,1,1
"65","locus030",192,3,2,1,1
"66","locus035",191,3,2,1,1
"67","locus038",174,3,2,1,1
"68","locus039",189,3,2,1,1
"69","locus040",162,3,2,1,1
"70","locus041",170,3,2,1,1
"71","locus045",188,3,2,2,1
"72","locus047",192,3,2,1,1
"73","locus048",192,2,2,1,1
"74","locus053",191,6,2,2,1
"75","locus055",191,3,2,1,1
"76","locus056",192,3,2,1,1
"77","locus058",190,3,2,1,1
"78","locus060",192,3,2,1,1
"79","locus061",159,3,2,2,1
"80","locus062",191,3,2,1,1
"81","locus064",192,3,2,1,1
"82","locus065",192,2,2,1,1
"83","locus073",187,3,2,1,1
"84","locus074",192,3,2,1,1
"85","locus076",158,3,2,1,1
"86","locus077",181,2,2,1,1
"87","locus080",186,3,2,1,1
"88","locus083",173,3,2,1,1
"89","locus088",192,3,2,1,1
"90","locus093",126,2,2,1,1
"91","locus096",192,3,2,1,1
"92","locus098",163,3,2,1,1
"93","locus100",192,3,2,2,2
"94","locus106",192,3,2,1,1
"95","locus116",157,3,2,1,1
"96","locus119",192,3,2,1,1
"97","locus120",192,3,2,1,1
"98","locus126",102,3,2,1,1
"99","locus128",165,3,2,1,1
"100","locus129",192,6,2,2,1
"101","locus130",157,3,2,1,1
"102","locus134",182,3,2,1,1
"103","locus135",190,6,2,2,1
"104","locus137",192,3,2,1,1
"105","locus139",192,3,2,1,1
"106","locus140",192,3,2,1,1
"107","locus146",190,3,2,1,1
"108","locus148",192,3,2,1,1
"109","locus151",170,3,2,1,1
"110","locus157",150,3,2,1,1
"111","locus161",190,3,2,1,1
"112","locus165",175,3,2,1,1
"113","locus170",192,3,2,1,1
"114","locus176",180,3,2,1,1
"115","locus184",192,3,2,1,1
"116","locus186",192,3,2,1,1
"117","locus188",185,6,2,2,1
"118","locus189",191,3,2,2,1
"119","locus190",192,3,2,1,1
"120","locus191",184,3,2,1,1
"121","locus192",182,3,2,1,1
"122","locus195",188,3,2,1,1
"123","locus202",192,3,2,1,1
"124","locus210",113,3,2,1,1
"125","locus215",177,3,2,1,1
"126","locus227",188,3,2,1,1
"127","locus231",138,3,2,1,1
"128","locus235",192,3,2,1,1
"129","locus236",191,3,2,1,1
"130","locus237",192,5,2,2,1
"131","locus239",192,3,2,1,1
"132","locus248",192,3,2,1,1
"133","locus256",172,3,2,1,1
"134","locus263",187,2,2,1,1
"135","locus264",192,3,2,1,1
"136","locus274",189,3,2,1,1
"137","locus280",174,3,2,1,1
"138","locus282",189,3,2,1,1
"139","locus286",188,2,2,1,1
"140","locus291",192,3,2,1,1
"141","locus292",192,3,2,1,1
"142","locus296",192,3,2,1,1
"143","locus301",187,3,2,1,1
"144","locus314",150,3,2,1,1
"145","locus321",189,3,2,1,1
"146","locus322",192,3,2,1,1
"147","locus323",191,3,2,1,1
"148","locus329",190,3,2,1,1
"149","locus332",191,3,2,1,1
"150","locus349",137,3,2,1,1
"151","locus358",192,3,2,1,1
"152","locus359",191,3,2,1,1
"153","locus360",181,3,2,1,1
