"","labID","genos","missing"
"1","z0006796",146,7
"2","z0006798",152,1
"3","z0006799",149,4
"4","z0006799b",146,7
"5","z0006800",152,1
"6","z0006801",149,4
"7","z0006802",152,1
"8","z0006802b",151,2
"9","z0006803",150,3
"10","z0006803b",123,30
"11","z0006805",151,2
"12","z0012480",139,14
"13","z0012480b",118,35
"14","z0012481",150,3
"15","z0012481b",149,4
"16","z0012482",146,7
"17","z0012483",149,4
"18","z0012484",147,6
"19","z0012485",153,0
"20","z0012486",151,2
"21","z0012488",146,7
"22","z0012489",137,16
"23","z0012489b",152,1
"24","z0012490",117,36
"25","z0012491",143,10
"26","z0012492",152,1
"27","z0012492b",153,0
"28","z0012493",144,9
"29","z0012494",149,4
"30","z0012496b",144,9
"31","z0012497",148,5
"32","z0012499",152,1
"33","z0012500",116,37
"34","z0012500b",148,5
"35","z0012503",152,1
"36","z0012504",152,1
"37","z0012505",133,20
"38","z0012509",142,11
"39","z0012509b",148,5
"40","z0012509c",149,4
"41","z0012511",150,3
"42","z0012514",148,5
"43","z0012514b",147,6
"44","z0012515",118,35
"45","z0012517",146,7
"46","z0012519",149,4
"47","z0012519b",138,15
"48","z0012520b",145,8
"49","z0012521",152,1
"50","z0012521b",151,2
"51","z0012522",137,16
"52","z0012523",138,15
"53","z0012524",144,9
"54","z0012525",149,4
"55","z0012527",150,3
"56","z0012527b",130,23
"57","z0012528",140,13
"58","z0016882",133,20
"59","z0016883",152,1
"60","z0016884",150,3
"61","z0016884b",152,1
"62","z0016885",147,6
"63","z0016886",134,19
"64","z0016887",136,17
"65","z0016888",142,11
"66","z0026450",143,10
"67","z0026450b",151,2
"68","z0026451",141,12
"69","z0026451b",127,26
"70","z0026452",138,15
"71","z0026452b",123,30
"72","z0026456",139,14
"73","z0026457",142,11
"74","z0026457b",148,5
"75","z0026458",138,15
"76","z0032021",149,4
"77","z0032021b",129,24
"78","z0032023",133,20
"79","z0032024",149,4
"80","z0032031",147,6
"81","z0035352",149,4
"82","z0037412",152,1
"83","z0037417",149,4
"84","z0037418",147,6
"85","z0037419",151,2
"86","z0037419b",130,23
"87","z0037422",147,6
"88","z0037463",153,0
"89","z0037464",153,0
"90","z0037466",149,4
"91","z0037467",144,9
"92","z0037468",152,1
"93","z0037471",151,2
"94","z0040942",151,2
"95","z0040943",138,15
"96","z0040945",151,2
"97","z0061457",151,2
"98","z0061464",149,4
"99","z0061467",141,12
"100","z0061467b",148,5
"101","z0061468",145,8
"102","z0062622",152,1
"103","z0062622b",143,10
"104","z0062627",153,0
"105","z0062627b",134,19
"106","z0062630",151,2
"107","z0062630b",137,16
"108","z0062634",139,14
"109","z0062634b",139,14
"110","z0062636",146,7
"111","z0062636b",114,39
"112","z0062680",147,6
"113","z0062680b",121,32
"114","z0062681",150,3
"115","z0062687",153,0
"116","z0062687b",136,17
"117","z0062737",150,3
"118","z0062742",147,6
"119","z0062742b",143,10
"120","z0062743",151,2
"121","z0062743b",148,5
"122","z0062752",153,0
"123","z0062752b",150,3
"124","z0062761",152,1
"125","z0062761b",152,1
"126","z0062766",149,4
"127","z0062766b",147,6
"128","z0062787",152,1
"129","z0062787b",136,17
"130","z0076691",151,2
"131","z0076691b",151,2
"132","z0076693",151,2
"133","z0076695",152,1
"134","z0076695b",152,1
"135","z0076697",153,0
"136","z0076697b",150,3
"137","z0076699",152,1
"138","z0076701",148,5
"139","z0076703",149,4
"140","z0076705",148,5
"141","z0076707",150,3
"142","z0076709",150,3
"143","z0076711",151,2
"144","z0076713",148,5
"145","z0076715",152,1
"146","z0102589",151,2
"147","z0102605",152,1
"148","z0102605b",137,16
"149","z0102610",150,3
"150","z0102610b",147,6
"151","z0102616",149,4
"152","z0102682",131,22
"153","z0117094",128,25
"154","z0117103",135,18
"155","z0134055",143,10
"156","z0134059",140,13
"157","z0134061",131,22
"158","z0134066",124,29
"159","z0134070",152,1
"160","z0134070b",146,7
"161","z0134074",152,1
"162","z0134074b",147,6
"163","z0134087",131,22
"164","z0134095",119,34
"165","z0134097",140,13
"166","z0134098",135,18
"167","z0134098b",136,17
"168","z0134101",150,3
"169","z0134108",134,19
"170","z0134108b",121,32
"171","z0134109",150,3
"172","z0134111",142,11
"173","z0134112",152,1
"174","z0134112b",149,4
"175","z0134113",152,1
"176","z0134113b",147,6
"177","z0178009",153,0
"178","z0178011",152,1
"179","z0178014",153,0
"180","z0207730",153,0
"181","z0207745",150,3
"182","z0210588",153,0
"183","z0216904",151,2
"184","z0216906",146,7
"185","z0216907",118,35
"186","z0216913",129,24
"187","z0216918",137,16
"188","z0216926",119,34
"189","z0216927",127,26
"190","z0216928",151,2
"191","z0216930",150,3
"192","z0216931",138,15
