"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"1","Dc00544",83,59,0.584507042253521,2,0.0240963855421687,0,0.497115735669953,0.295774647887324,1
"2","Dc01018",117,25,0.823943661971831,2,0.0170940170940171,0,0.332526319650783,0.274647887323944,1
"3","Dc01661",141,1,0.992957746478873,3,0.0212765957446809,0.00709219858156028,0.624189192599884,0.598591549295775,2
"4","Dc01707",142,0,1,4,0.028169014084507,0,0.654830040312547,0.732394366197183,2
"5","Dc01784",140,2,0.985915492957746,2,0.0142857142857143,0,0.454454685099846,0.528169014084507,1
"6","Dc02951",142,0,1,2,0.0140845070422535,0,0.330338924003384,0.302816901408451,1
"7","Dc03456",142,0,1,2,0.0140845070422535,0,0.491813069228089,0.507042253521127,1
"8","Dc03556",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.484717700209485,0.570422535211268,1
"9","Dc05864",86,56,0.605633802816901,3,0.0348837209302326,0,0.598055215558275,0.352112676056338,2
"10","Dc06503",85,57,0.598591549295775,2,0.0235294117647059,0,0.142081447963801,0.0915492957746479,1
"11","Dc07300",142,0,1,3,0.0211267605633803,0,0.656074254715573,0.640845070422535,2
"12","Dc07937",135,7,0.950704225352113,3,0.0222222222222222,0,0.568167423929506,0.556338028169014,2
"13","Dc08054",142,0,1,3,0.0211267605633803,0,0.600184143731648,0.605633802816901,2
"14","Dc08189",132,10,0.929577464788732,3,0.0227272727272727,0,0.589267196681645,0.570422535211268,2
"15","Dc08463",142,0,1,2,0.0140845070422535,0,0.399840740556413,0.352112676056338,1
"16","Dc08578",80,62,0.563380281690141,3,0.0375,0,0.525235849056604,0.288732394366197,2
"17","Dc08865",142,0,1,3,0.0211267605633803,0,0.555442193798835,0.549295774647887,2
"18","Dc10003",108,34,0.76056338028169,2,0.0185185185185185,0,0.314728682170543,0.183098591549296,1
"19","Dc10390",142,0,1,2,0.0140845070422535,0,0.195167471258647,0.176056338028169,1
"20","Dc10878",98,44,0.690140845070423,2,0.0204081632653061,0,0.501255886970173,0.345070422535211,1
