"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0006796",0.267642028211485,0.00188338118939928,3.31066831031273e-11,0.0994033471608396,0.303654961663735,0.230109566259244,0.000213992432747323,0.0970914020848157,1.32096462788389e-06
"z0006798",0.607109215753389,0.00034592372710093,1.50057854346721e-07,0.00108290990827738,0.0499261729399284,0.332801332228786,5.50149826658316e-05,0.00866972798358775,9.5524184095567e-06
"z0006799",0.415230013708146,0.049869121418915,1.00526566463081e-13,0.0188772353104783,0.0402407617387146,0.474801440144176,1.92926690586621e-06,0.000641402695648931,0.000338095716915233
"z0006800",0.197566148359381,0.0010987336752564,1.16495823494884e-07,0.000805778705520573,0.768991475379359,0.0309093678627863,4.21806257179229e-05,0.000584090125507222,2.1087706483692e-06
"z0006801",0.928257013285778,0.00010810214764515,1.10683204644756e-05,2.63733682354176e-05,0.00778244734700358,0.0169493088964036,6.04010295897556e-08,0.043873815586792,0.00299181064664835
"z0006802",0.797515742100935,0.000435402377083343,2.72744801174622e-07,2.87585821692549e-05,0.0219326903925258,0.0432918231926114,7.21151516971463e-11,0.135221145984471,0.00157416455328748
"z0006803",0.953344933323554,0.00237918966417187,9.13175833082773e-08,0.000451215989585386,0.00582421409740624,0.0376260493319185,6.1516422524306e-08,5.38577830782203e-05,0.000320386976279739
"z0006805",0.371881218968337,0.525355794462175,5.0691745181073e-09,0.00228182160309369,0.0558083372696682,0.0439587756511205,3.25002779945957e-07,0.000275694425695387,0.000438027547955945
"z0012480",0.822064012091562,0.0048434626299272,1.15973402456525e-07,0.00344873587776149,0.0175599486360482,0.150910792008088,2.51231587221966e-08,0.00117046363189883,2.44402815232598e-06
"z0012481",0.79574976488377,0.00669491195301364,1.789020423591e-07,0.000216414884448516,0.0378767272972054,0.136153203331591,9.47584330842165e-09,0.01904642633576,0.00426236293632582
"z0012482",0.31851806972526,0.0989202220074696,4.70875848734074e-12,6.28725106752114e-05,0.0156624019116043,0.0304088299810667,6.11183077851133e-07,0.00161326221225417,0.534813730463884
"z0012483",0.78869638444438,0.000439518492131654,2.866347015127e-08,0.0020648885685521,0.0787772725452169,0.075283023042258,4.08732328308259e-08,0.0547186123085099,2.0231062248491e-05
"z0012484",0.616008129118682,5.96118654506206e-05,1.59524238422373e-06,0.00091486367415188,0.0415066285374918,0.336237058069709,6.62510521996461e-10,0.00526131591779938,1.07969118201129e-05
"z0012485",0.466403671642909,0.0121298075468325,1.26964610789276e-08,0.0011426435183476,0.229422848935493,0.288796639243004,1.52647992005966e-09,0.00043842135390634,0.00166595353656625
"z0012486",0.189996561964442,0.00119319348184648,8.97960379411476e-07,0.000263928499655493,0.246496099529189,0.561952781062315,6.6308929990764e-09,9.46636158736397e-05,1.86725540600043e-06
"z0012487",0.719437053328957,0.0350184887457758,1.36694224749228e-08,0.0280083521790726,0.0266789768423159,0.18813347551257,1.13148769901747e-07,0.00271862582332902,4.90074978730723e-06
"z0012488",0.477837979573407,0.0125083737945436,1.04847588265494e-05,0.000444728325433193,0.130273917906292,0.348343523218672,1.08174160743469e-09,0.0305415603068364,3.94310342474147e-05
"z0012489",0.333571240035411,0.094399610325947,2.37226452295931e-06,0.00424533033947457,0.271492348627821,0.292586439041921,8.48045113227233e-07,0.00340919012929545,0.000292621190494253
"z0012490",0.848038970107677,0.00240761415198405,3.96457796753405e-09,0.00136636966650911,0.0747120589783811,0.0631501852470327,7.23609966990022e-05,0.00509381876616731,0.00515861812097139
"z0012491",0.239053119350553,0.00574954812879385,5.40537602798916e-07,0.12105886155084,0.039343597272438,0.584270319072376,0.000153071075832973,0.0103657313364184,5.21167514478354e-06
"z0012492",0.677088534915121,0.00148279298830365,1.37465595138044e-09,0.0488792390751335,0.0646882405554857,0.204917535260278,8.13552569936214e-07,0.00294003310512912,2.8091733231206e-06
"z0012493",0.995929634654924,0.000242986485998079,3.83546996610765e-07,4.49991199779225e-05,0.000172809630664483,0.00107039663485928,7.82669371021637e-12,0.00253008513565958,8.70478309359364e-06
"z0012494",0.68336502036223,5.32525812601881e-05,1.02272781010652e-08,0.00261684941994055,0.0917870091500733,0.216464221939689,8.43303440940441e-11,0.00557223690075336,0.000141399334445183
"z0012496",0.185531629481276,0.142832291617773,2.10687642035188e-08,0.00659291174864769,0.286783289594726,0.368457422735184,0.00291646314046637,0.00473863850732891,0.00214733210583387
"z0012497",0.176103345337038,0.0285975088706084,1.29099763437732e-13,0.00313979553491709,0.450633765881526,0.289487105307008,2.4845557203544e-06,0.0510479945638505,0.00098799994920238
"z0012498",0.781695213896959,0.00364819876534901,1.62195506179252e-07,0.0111729575830066,0.053763698560077,0.13683906387639,5.65477172818175e-06,0.012856889786278,1.81605647061611e-05
"z0012499",0.959058865797972,0.00638509382167006,1.29169876435931e-08,0.000168090413087014,0.00886566276501487,0.0113561755794448,1.78862919127045e-09,0.00176097252786311,0.0124051243893308
"z0012500",0.148811938110974,0.011222920021822,1.53517829852803e-09,0.0263548150084655,0.182004965209226,0.630487213740904,6.31487834994966e-09,0.000937943031569438,0.000180197026981376
"z0012501",0.814518084109989,0.0135989745901385,2.70375643748979e-07,0.00370892123810459,0.0534574675115531,0.0954182042709419,7.5035176683334e-08,0.0192292758243492,6.8727044103527e-05
"z0012503",0.295768913242908,1.98817808694746e-05,5.17135049279624e-07,0.0926005600414903,0.233825771454669,0.373722350769194,5.44283771927312e-10,0.00405797222797199,4.03280356498468e-06
"z0012504",0.400252733704617,0.00517304021686508,2.71909195635734e-06,0.00274627618330437,0.506370366571654,0.0852581707168099,5.5316570105013e-06,0.000129446050077937,6.17158077053234e-05
"z0012505",0.640169053043444,0.00344719451344672,2.40753924738001e-07,0.000221514908215891,0.250040220795825,0.084069361658401,0.00259909528548761,0.019384182539635,6.91365016193986e-05
"z0012506",0.543567562688895,0.0650132353018166,6.8591117728874e-13,0.000290146517166714,0.287154123996874,0.0898389148518059,1.78897080361288e-06,0.0116673474439576,0.0024668802279945
"z0012507",0.69534646348726,0.150086646662923,9.89158883488439e-06,2.2744360724079e-05,0.0909695492206174,0.00680390926209495,8.17549834041866e-09,0.000223226860521096,0.0565375603815263
"z0012509",0.0730342128595933,0.000267259178692561,1.45538091659725e-08,0.06352484959657,0.615399653194832,0.222820538213985,0.000769223541417296,0.024183804649633,4.44211468016488e-07
"z0012511",0.557045541684968,0.0239577236836074,7.8637788176002e-07,0.000218620458372247,0.0163401019719879,0.401460099030591,5.83749173625281e-10,1.84769758075739e-05,0.000958649233034076
"z0012515",0.704700747266506,0.164764475453398,0.00128568616121331,0.000171090698025631,0.00611819420695161,0.0384238627856953,2.93119320776685e-07,0.000202733127035188,0.0843329171818538
"z0012516",0.886026326183887,0.0686822494985737,2.58891832756894e-09,0.000264790800888406,0.0152180590849734,0.0214469433204111,5.73179417975998e-05,0.000153563513045802,0.00815074706750419
"z0012517",0.968392308306849,0.000499390556392345,4.11684858849076e-10,1.28098957684675e-05,0.00231725111022894,0.028391988864908,5.73086522877752e-07,6.01101123078074e-05,0.000325567655337403
"z0012518",0.29390354281185,0.0232059367870628,7.71372300820006e-11,0.00159290156216673,0.215035193404924,0.463327257278689,1.04884530935799e-08,0.00289599886616657,3.91587235512694e-05
"z0012519",0.720978018277254,0.00524305230842077,1.34408873269734e-09,0.00377418397921484,0.0326337706322471,0.0569623955335107,7.48066227183479e-07,0.180133042702558,0.000274787156477979
"z0012520",0.715627905863313,0.00118785910628141,1.35832379366913e-08,3.62313363744461e-05,0.175560934694602,0.0963396373086165,5.61955004731641e-07,0.00530597243561974,0.00594088371694993
"z0012521",0.833582379130034,4.95302817079303e-06,3.57985817046863e-06,0.000308619416575873,0.00895459935202989,0.0133803271760957,1.50565655162892e-10,0.143764519721235,1.02216712202358e-06
"z0012522",0.97304925058576,0.00857823048739623,6.92606977445632e-07,5.9600226260544e-05,0.00509422584512407,0.0110862300384668,1.42945774671286e-09,0.00210307037561102,2.86984049464309e-05
"z0012523",0.165590169868346,0.0593542868047153,2.66537414588855e-08,0.00893952707383232,0.0527613335802295,0.713222265089497,3.07698196636352e-11,0.000131613024038418,7.77874830017688e-07
"z0012524",0.984442730323174,4.5933881876374e-05,7.63137852297702e-10,0.00011141872045243,0.00201973344326269,0.0132771923663827,5.13892286803775e-09,7.83824571110557e-05,2.46029056797342e-05
"z0012525",0.877293982413833,0.00022954896802424,0.0608020026468837,0.000115868036444989,0.00499629997845399,0.0274684857894869,2.68916163529616e-07,0.0266018445204217,0.00249169873028742
"z0012527",0.359554415682158,0.000213873829060921,3.54672153843135e-13,0.00600080362327201,0.0770882665867304,0.195505492181121,8.43051004729245e-07,0.360604190825668,0.0010321142206309
"z0016882",0.000140886812605184,9.2369275831829e-08,0.999855824042318,1.121008339964e-08,2.01419655080296e-07,1.86141081794122e-06,4.88226851415678e-13,1.1114725526578e-06,1.12622037858357e-08
"z0016883",2.10015050212941e-10,1.71526318806051e-11,0.999999999570361,6.59997549587931e-14,2.27603696131935e-11,1.78079100534289e-10,3.64851136431798e-19,8.41243722058226e-13,7.24733022795119e-13
"z0016884",0.0652839739544048,0.000705473323816209,0.917312966047667,3.56799010631676e-06,0.00374298720563499,0.00968667946989555,4.0839636387065e-12,0.00326414004828826,2.11956102627426e-07
"z0016885",3.34189923667245e-06,1.96577074205839e-09,0.999996492281736,2.78608372416813e-10,3.02166725073114e-08,1.32000827933582e-07,2.41232935159809e-17,9.66111525392923e-10,3.910357984115e-10
"z0016886",9.66913943145921e-06,5.91585400404205e-08,0.99999013364793,5.01968570981556e-11,5.161111951894e-09,1.26578438242729e-07,2.83827967797856e-15,1.29417202855338e-10,6.13493107566464e-09
"z0016887",0.0130103385836171,3.4553428641847e-05,0.986462745702887,6.33226114701738e-08,6.68809020709775e-05,0.000277108660356646,2.45447786638729e-10,6.64009633337533e-08,0.000148242753403296
"z0016888",7.56567510072926e-09,3.26673282568377e-10,0.999999984205172,1.52622111141377e-12,4.94401885415286e-09,2.84686025903973e-09,6.63486592387591e-15,3.42965174036896e-11,7.57710140796068e-11
"z0026450",0.0791310776552155,0.30418379702619,1.59956593120763e-14,0.000254279070472009,0.495092952711967,0.0914924898612345,0.0289475896242304,0.000426559534519672,0.000471254516154721
"z0026451",0.0272135280715229,0.923573718274771,5.18291137500775e-06,8.27537731391086e-05,0.0347828767435552,0.0129945438421855,1.4766811737409e-08,0.000120573708981414,0.00122680790765854
"z0026452",0.0634338084096986,0.850391005112775,0.0143106332876882,0.00357318636680441,0.00814874776339667,0.0577775413688348,4.01765711373518e-09,0.0020943419076767,0.000270731765469099
"z0026456",0.00120588211071829,0.995178900882311,1.75123551890228e-06,0.000109932229355855,0.000558581872015748,0.00265302303694682,1.16311568355837e-12,6.45105528875906e-06,0.000285477576681701
"z0026457",0.152953538490303,0.743179005191925,2.95633101774682e-10,0.00226829019866079,0.0208789349470258,0.0769887137163316,3.44590924859857e-12,0.00345211207220542,0.000279405084469856
"z0026458",0.0681745468640778,0.659565738396234,5.79901629358709e-09,0.00785182147383705,0.0427928772360303,0.220017404027418,1.30454181439692e-06,0.0014682631477168,0.000128038513855835
"z0032021",0.0199249843174006,0.897360764119481,6.07149078721227e-11,0.00270830857174829,0.0408099349715234,0.0379558599103585,1.58626737688437e-07,0.00117953981216934,6.04496098659399e-05
"z0032022",0.308190961665695,0.0109864771708312,8.46495788181144e-09,0.0227190524593044,0.105915462758531,0.537651682523988,0.000326910282885446,0.0141290727231104,8.03719506959718e-05
"z0032023",0.0168580678928738,0.92963586856363,2.84081279312808e-07,0.0028611861256956,0.00171776040109586,0.0486906279442613,3.26112622474393e-10,0.000167448679947679,6.87559851035504e-05
