"id","stratum","num.loci.genotyped","num.loci.missing.genotypes","pct.loci.missing.genotypes","pct.loci.homozygous"
"z0037412","Bird's Head-Summer",151,1,0.00657894736842105,0.592105263157895
"z0037417","Bird's Head-Summer",148,4,0.0263157894736842,0.473684210526316
"z0037418","Bird's Head-Summer",149,3,0.0197368421052632,0.618421052631579
"z0037419","Bird's Head-Summer",151,1,0.00657894736842105,0.664473684210526
"z0037422","Bird's Head-Summer",149,3,0.0197368421052632,0.578947368421053
"z0037463","Bird's Head-Summer",152,0,0,0.625
"z0037464","Bird's Head-Summer",152,0,0,0.657894736842105
"z0037466","Bird's Head-Summer",151,1,0.00657894736842105,0.519736842105263
"z0037467","Bird's Head-Summer",143,9,0.0592105263157895,0.605263157894737
"z0037468","Bird's Head-Summer",150,2,0.0131578947368421,0.618421052631579
"z0037471","Bird's Head-Summer",150,2,0.0131578947368421,0.578947368421053
"z0062622","Bird's Head-Summer",152,0,0,0.578947368421053
"z0062627","Bird's Head-Summer",151,1,0.00657894736842105,0.638157894736842
"z0062630","Bird's Head-Summer",152,0,0,0.671052631578947
"z0062634","Bird's Head-Summer",152,0,0,0.651315789473684
"z0062636","Bird's Head-Summer",152,0,0,0.618421052631579
"z0062680","Bird's Head-Summer",149,3,0.0197368421052632,0.611842105263158
"z0062681","Bird's Head-Summer",150,2,0.0131578947368421,0.578947368421053
"z0076691","Bird's Head-Summer",152,0,0,0.526315789473684
"z0076693","Bird's Head-Summer",152,0,0,0.664473684210526
"z0076695","Bird's Head-Summer",151,1,0.00657894736842105,0.638157894736842
"z0076697","Bird's Head-Summer",152,0,0,0.506578947368421
"z0076699","Bird's Head-Summer",150,2,0.0131578947368421,0.644736842105263
"z0076701","Bird's Head-Summer",147,5,0.0328947368421053,0.578947368421053
"z0076703","Bird's Head-Summer",146,6,0.0394736842105263,0.532894736842105
"z0076705","Bird's Head-Summer",150,2,0.0131578947368421,0.651315789473684
"z0076707","Bird's Head-Summer",152,0,0,0.625
"z0076709","Bird's Head-Summer",151,1,0.00657894736842105,0.56578947368421
"z0076711","Bird's Head-Summer",152,0,0,0.644736842105263
"z0076713","Bird's Head-Summer",147,5,0.0328947368421053,0.532894736842105
"z0076715","Bird's Head-Summer",150,2,0.0131578947368421,0.56578947368421
"z0102589","Bird's Head-Summer",152,0,0,0.592105263157895
"z0102605","Bird's Head-Summer",152,0,0,0.644736842105263
"z0102610","Bird's Head-Summer",152,0,0,0.572368421052632
"z0102616","Bird's Head-Summer",151,1,0.00657894736842105,0.605263157894737
"z0102682","Bird's Head-Summer",127,25,0.164473684210526,0.480263157894737
"z0134055","Bird's Head-Summer",139,13,0.0855263157894737,0.585526315789474
"z0134059","Bird's Head-Summer",135,17,0.111842105263158,0.526315789473684
"z0134061","Bird's Head-Summer",126,26,0.171052631578947,0.480263157894737
"z0134066","Bird's Head-Summer",121,31,0.203947368421053,0.447368421052632
"z0134070","Bird's Head-Summer",152,0,0,0.644736842105263
"z0134074","Bird's Head-Summer",151,1,0.00657894736842105,0.578947368421053
"z0134087","Bird's Head-Summer",126,26,0.171052631578947,0.552631578947368
"z0134095","Bird's Head-Summer",117,35,0.230263157894737,0.5
"z0134097","Bird's Head-Summer",135,17,0.111842105263158,0.585526315789474
"z0134098","Bird's Head-Summer",144,8,0.0526315789473684,0.55921052631579
"z0134101","Bird's Head-Summer",152,0,0,0.572368421052632
"z0134108","Bird's Head-Summer",147,5,0.0328947368421053,0.592105263157895
"z0134109","Bird's Head-Summer",146,6,0.0394736842105263,0.539473684210526
"z0134111","Bird's Head-Summer",138,14,0.0921052631578947,0.5
"z0134112","Bird's Head-Summer",151,1,0.00657894736842105,0.611842105263158
"z0134113","Bird's Head-Summer",151,1,0.00657894736842105,0.592105263157895
"z0062632","Bird's Head-Winter",133,19,0.125,0.552631578947368
"z0062684","Bird's Head-Winter",128,24,0.157894736842105,0.55921052631579
"z0062686","Bird's Head-Winter",133,19,0.125,0.578947368421053
"z0062687","Bird's Head-Winter",152,0,0,0.513157894736842
"z0062690","Bird's Head-Winter",132,20,0.131578947368421,0.532894736842105
"z0062691","Bird's Head-Winter",125,27,0.177631578947368,0.506578947368421
"z0062692","Bird's Head-Winter",110,42,0.276315789473684,0.43421052631579
"z0062693","Bird's Head-Winter",128,24,0.157894736842105,0.5
"z0062694","Bird's Head-Winter",150,2,0.0131578947368421,0.55921052631579
"z0062697","Bird's Head-Winter",130,22,0.144736842105263,0.513157894736842
"z0062700","Bird's Head-Winter",114,38,0.25,0.421052631578947
"z0062701","Bird's Head-Winter",127,25,0.164473684210526,0.486842105263158
"z0062702","Bird's Head-Winter",143,9,0.0592105263157895,0.539473684210526
"z0062704","Bird's Head-Winter",134,18,0.118421052631579,0.55921052631579
"z0062707","Bird's Head-Winter",122,30,0.197368421052632,0.519736842105263
"z0062708","Bird's Head-Winter",139,13,0.0855263157894737,0.611842105263158
"z0062709","Bird's Head-Winter",131,21,0.138157894736842,0.546052631578947
"z0062710","Bird's Head-Winter",133,19,0.125,0.506578947368421
"z0062712","Bird's Head-Winter",150,2,0.0131578947368421,0.55921052631579
"z0062715","Bird's Head-Winter",131,21,0.138157894736842,0.611842105263158
"z0062716","Bird's Head-Winter",144,8,0.0526315789473684,0.605263157894737
"z0062717","Bird's Head-Winter",138,14,0.0921052631578947,0.552631578947368
"z0062718","Bird's Head-Winter",139,13,0.0855263157894737,0.578947368421053
"z0062720","Bird's Head-Winter",111,41,0.269736842105263,0.467105263157895
"z0062721","Bird's Head-Winter",133,19,0.125,0.539473684210526
"z0062724","Bird's Head-Winter",147,5,0.0328947368421053,0.625
"z0062725","Bird's Head-Winter",131,21,0.138157894736842,0.546052631578947
"z0062726","Bird's Head-Winter",152,0,0,0.717105263157895
"z0062727","Bird's Head-Winter",141,11,0.0723684210526316,0.539473684210526
"z0062729","Bird's Head-Winter",141,11,0.0723684210526316,0.611842105263158
"z0062730","Bird's Head-Winter",132,20,0.131578947368421,0.467105263157895
"z0062731","Bird's Head-Winter",141,11,0.0723684210526316,0.552631578947368
"z0062735","Bird's Head-Winter",131,21,0.138157894736842,0.480263157894737
"z0062736","Bird's Head-Winter",139,13,0.0855263157894737,0.585526315789474
"z0062737","Bird's Head-Winter",149,3,0.0197368421052632,0.592105263157895
"z0062738","Bird's Head-Winter",144,8,0.0526315789473684,0.5
"z0062740","Bird's Head-Winter",134,18,0.118421052631579,0.506578947368421
"z0062742","Bird's Head-Winter",151,1,0.00657894736842105,0.56578947368421
"z0062743","Bird's Head-Winter",152,0,0,0.625
"z0062744","Bird's Head-Winter",139,13,0.0855263157894737,0.592105263157895
"z0062751","Bird's Head-Winter",145,7,0.0460526315789474,0.625
"z0062752","Bird's Head-Winter",152,0,0,0.592105263157895
"z0062757","Bird's Head-Winter",142,10,0.0657894736842105,0.526315789473684
"z0062761","Bird's Head-Winter",152,0,0,0.585526315789474
"z0062762","Bird's Head-Winter",135,17,0.111842105263158,0.532894736842105
"z0062763","Bird's Head-Winter",138,14,0.0921052631578947,0.552631578947368
"z0062764","Bird's Head-Winter",140,12,0.0789473684210526,0.55921052631579
"z0062765","Bird's Head-Winter",136,16,0.105263157894737,0.519736842105263
"z0062766","Bird's Head-Winter",152,0,0,0.572368421052632
"z0062769","Bird's Head-Winter",138,14,0.0921052631578947,0.56578947368421
"z0062770","Bird's Head-Winter",131,21,0.138157894736842,0.493421052631579
"z0062771","Bird's Head-Winter",138,14,0.0921052631578947,0.552631578947368
"z0062772","Bird's Head-Winter",131,21,0.138157894736842,0.506578947368421
"z0062773","Bird's Head-Winter",128,24,0.157894736842105,0.460526315789474
"z0062775","Bird's Head-Winter",147,5,0.0328947368421053,0.56578947368421
"z0062776","Bird's Head-Winter",147,5,0.0328947368421053,0.578947368421053
"z0062779","Bird's Head-Winter",147,5,0.0328947368421053,0.572368421052632
"z0062780","Bird's Head-Winter",148,4,0.0263157894736842,0.618421052631579
"z0062783","Bird's Head-Winter",144,8,0.0526315789473684,0.638157894736842
"z0062784","Bird's Head-Winter",146,6,0.0394736842105263,0.539473684210526
"z0062787","Bird's Head-Winter",151,1,0.00657894736842105,0.585526315789474
"z0216926","HaevoSI-Summer",119,33,0.217105263157895,0.467105263157895
"z0216927","HaevoSI-Summer",129,23,0.151315789473684,0.526315789473684
"z0216928","HaevoSI-Summer",150,2,0.0131578947368421,0.631578947368421
"z0216930","HaevoSI-Summer",149,3,0.0197368421052632,0.56578947368421
"z0216904","HaevoSI-Winter",150,2,0.0131578947368421,0.644736842105263
"z0216906","HaevoSI-Winter",149,3,0.0197368421052632,0.585526315789474
"z0216907","HaevoSI-Winter",117,35,0.230263157894737,0.407894736842105
"z0216913","HaevoSI-Winter",129,23,0.151315789473684,0.598684210526316
"z0216918","HaevoSI-Winter",141,11,0.0723684210526316,0.592105263157895
"z0216947","HaevoSI-Winter",96,56,0.368421052631579,0.421052631578947
"z0216948","HaevoSI-Winter",97,55,0.361842105263158,0.368421052631579
"z0035352","In-water, CA",150,2,0.0131578947368421,0.605263157894737
"z0178009","In-water, CA",152,0,0,0.644736842105263
"z0178011","In-water, CA",152,0,0,0.657894736842105
"z0178014","In-water, CA",152,0,0,0.611842105263158
"z0207730","In-water, CA",152,0,0,0.638157894736842
"z0207745","In-water, CA",150,2,0.0131578947368421,0.611842105263158
"z0210588","In-water, CA",152,0,0,0.546052631578947
"z0117088","In-water, Indonesia",131,21,0.138157894736842,0.55921052631579
"z0117094","In-water, Indonesia",126,26,0.171052631578947,0.493421052631579
"z0117103","In-water, Indonesia",146,6,0.0394736842105263,0.644736842105263
"z0006796","IsabelSI-South",142,10,0.0657894736842105,0.55921052631579
"z0006798","IsabelSI-South",152,0,0,0.611842105263158
"z0006799","IsabelSI-South",150,2,0.0131578947368421,0.56578947368421
