"Indiv","loci.genoed","prop.genoed"
"z0006796",142,0.93421052631579
"z0006798",152,1
"z0006799",150,0.986842105263158
"z0006800",150,0.986842105263158
"z0006801",145,0.953947368421053
"z0006802",151,0.993421052631579
"z0006803",149,0.980263157894737
"z0006805",152,1
"z0012480",147,0.967105263157895
"z0012481",152,1
"z0012482",146,0.960526315789474
"z0012483",151,0.993421052631579
"z0012484",143,0.94078947368421
"z0012485",152,1
"z0012486",146,0.960526315789474
"z0012487",143,0.94078947368421
"z0012488",141,0.927631578947368
"z0012489",152,1
"z0012490",116,0.763157894736842
"z0012491",146,0.960526315789474
"z0012492",152,1
"z0012493",143,0.94078947368421
"z0012494",144,0.947368421052632
"z0012496",142,0.93421052631579
"z0012497",151,0.993421052631579
"z0012498",124,0.81578947368421
"z0012499",152,1
"z0012500",151,0.993421052631579
"z0012501",121,0.796052631578947
"z0012503",149,0.980263157894737
"z0012504",152,1
"z0012505",149,0.980263157894737
"z0012506",141,0.927631578947368
"z0012507",146,0.960526315789474
"z0012509",149,0.980263157894737
"z0012511",147,0.967105263157895
"z0012514",152,1
"z0012515",120,0.789473684210526
"z0012516",151,0.993421052631579
"z0012517",141,0.927631578947368
"z0012518",137,0.901315789473684
"z0012519",151,0.993421052631579
"z0012520",148,0.973684210526316
"z0012521",152,1
"z0012522",138,0.907894736842105
"z0012523",135,0.888157894736842
"z0012524",139,0.914473684210526
"z0012525",145,0.953947368421053
"z0012527",152,1
"z0016882",132,0.868421052631579
"z0016883",151,0.993421052631579
"z0016884",152,1
"z0016885",144,0.947368421052632
"z0016886",131,0.861842105263158
"z0016887",133,0.875
"z0016888",139,0.914473684210526
"z0026450",152,1
"z0026451",147,0.967105263157895
"z0026452",144,0.947368421052632
"z0026456",137,0.901315789473684
"z0026457",151,0.993421052631579
"z0026458",133,0.875
"z0032021",152,1
"z0032022",101,0.664473684210526
"z0032023",130,0.855263157894737
"z0032024",150,0.986842105263158
"z0032025",147,0.967105263157895
"z0032028",139,0.914473684210526
"z0032031",143,0.94078947368421
"z0035352",150,0.986842105263158
"z0037412",151,0.993421052631579
"z0037417",148,0.973684210526316
"z0037418",149,0.980263157894737
"z0037419",151,0.993421052631579
"z0037422",149,0.980263157894737
"z0037463",152,1
"z0037464",152,1
"z0037466",151,0.993421052631579
"z0037467",143,0.94078947368421
"z0037468",150,0.986842105263158
"z0037471",150,0.986842105263158
"z0040942",150,0.986842105263158
"z0040943",133,0.875
"z0040945",151,0.993421052631579
"z0061449",135,0.888157894736842
"z0061452",141,0.927631578947368
"z0061453",134,0.881578947368421
"z0061455",131,0.861842105263158
"z0061457",150,0.986842105263158
"z0061459",137,0.901315789473684
"z0061461",149,0.980263157894737
"z0061462",131,0.861842105263158
"z0061464",151,0.993421052631579
"z0061467",152,1
"z0061468",140,0.921052631578947
"z0062622",152,1
"z0062627",151,0.993421052631579
"z0062630",152,1
"z0062632",133,0.875
"z0062634",152,1
"z0062636",152,1
"z0062680",149,0.980263157894737
"z0062681",150,0.986842105263158
"z0062684",128,0.842105263157895
"z0062686",133,0.875
"z0062687",152,1
"z0062690",132,0.868421052631579
"z0062691",125,0.822368421052632
"z0062692",110,0.723684210526316
"z0062693",128,0.842105263157895
"z0062694",150,0.986842105263158
"z0062697",130,0.855263157894737
"z0062700",114,0.75
"z0062701",127,0.835526315789474
"z0062702",143,0.94078947368421
"z0062704",134,0.881578947368421
"z0062707",122,0.802631578947368
"z0062708",139,0.914473684210526
"z0062709",131,0.861842105263158
"z0062710",133,0.875
"z0062712",150,0.986842105263158
"z0062715",131,0.861842105263158
"z0062716",144,0.947368421052632
"z0062717",138,0.907894736842105
"z0062718",139,0.914473684210526
"z0062720",111,0.730263157894737
"z0062721",133,0.875
"z0062724",147,0.967105263157895
"z0062725",131,0.861842105263158
"z0062726",152,1
"z0062727",141,0.927631578947368
"z0062729",141,0.927631578947368
"z0062730",132,0.868421052631579
"z0062731",141,0.927631578947368
"z0062735",131,0.861842105263158
"z0062736",139,0.914473684210526
"z0062737",149,0.980263157894737
"z0062738",144,0.947368421052632
"z0062740",134,0.881578947368421
"z0062742",151,0.993421052631579
"z0062743",152,1
"z0062744",139,0.914473684210526
"z0062751",145,0.953947368421053
"z0062752",152,1
"z0062757",142,0.93421052631579
"z0062761",152,1
"z0062762",135,0.888157894736842
"z0062763",138,0.907894736842105
"z0062764",140,0.921052631578947
"z0062765",136,0.894736842105263
"z0062766",152,1
"z0062769",138,0.907894736842105
"z0062770",131,0.861842105263158
"z0062771",138,0.907894736842105
"z0062772",131,0.861842105263158
"z0062773",128,0.842105263157895
"z0062775",147,0.967105263157895
"z0062776",147,0.967105263157895
"z0062779",147,0.967105263157895
"z0062780",148,0.973684210526316
"z0062783",144,0.947368421052632
"z0062784",146,0.960526315789474
"z0062787",151,0.993421052631579
"z0076691",152,1
"z0076693",152,1
"z0076695",151,0.993421052631579
"z0076697",152,1
"z0076699",150,0.986842105263158
"z0076701",147,0.967105263157895
"z0076703",146,0.960526315789474
"z0076705",150,0.986842105263158
"z0076707",152,1
"z0076709",151,0.993421052631579
"z0076711",152,1
"z0076713",147,0.967105263157895
"z0076715",150,0.986842105263158
"z0102589",152,1
"z0102605",152,1
"z0102610",152,1
"z0102616",151,0.993421052631579
"z0102682",127,0.835526315789474
"z0117088",131,0.861842105263158
"z0117094",126,0.828947368421053
"z0117103",146,0.960526315789474
"z0134055",139,0.914473684210526
"z0134059",135,0.888157894736842
"z0134061",126,0.828947368421053
"z0134066",121,0.796052631578947
"z0134070",152,1
"z0134074",151,0.993421052631579
"z0134087",126,0.828947368421053
"z0134095",117,0.769736842105263
"z0134097",135,0.888157894736842
"z0134098",144,0.947368421052632
"z0134101",152,1
"z0134108",147,0.967105263157895
"z0134109",146,0.960526315789474
"z0134111",138,0.907894736842105
"z0134112",151,0.993421052631579
"z0134113",151,0.993421052631579
"z0178009",152,1
"z0178011",152,1
"z0178014",152,1
"z0207730",152,1
"z0207745",150,0.986842105263158
"z0210588",152,1
"z0216904",150,0.986842105263158
"z0216906",149,0.980263157894737
"z0216907",117,0.769736842105263
"z0216913",129,0.848684210526316
"z0216918",141,0.927631578947368
"z0216926",119,0.782894736842105
"z0216927",129,0.848684210526316
"z0216928",150,0.986842105263158
"z0216930",149,0.980263157894737
"z0216931",141,0.927631578947368
"z0216932",152,1
"z0216933",122,0.802631578947368
"z0216934",148,0.973684210526316
"z0216935",147,0.967105263157895
"z0216936",145,0.953947368421053
"z0216939",142,0.93421052631579
"z0216940",92,0.605263157894737
"z0216941",104,0.68421052631579
"z0216942",131,0.861842105263158
"z0216947",96,0.631578947368421
"z0216948",97,0.638157894736842
