"Indiv","loci.genoed","prop.genoed"
"z0006796",150,0.847457627118644
"z0006797",42,0.23728813559322
"z0006798",166,0.937853107344633
"z0006799",175,0.988700564971751
"z0006800",161,0.909604519774011
"z0006801",150,0.847457627118644
"z0006802",175,0.988700564971751
"z0006803",160,0.903954802259887
"z0006805",165,0.932203389830508
"z0012480",157,0.887005649717514
"z0012481",166,0.937853107344633
"z0012482",153,0.864406779661017
"z0012483",162,0.915254237288136
"z0012484",149,0.84180790960452
"z0012485",168,0.949152542372881
"z0012486",152,0.858757062146893
"z0012487",144,0.813559322033898
"z0012488",146,0.824858757062147
"z0012489",172,0.971751412429379
"z0012490",117,0.661016949152542
"z0012491",163,0.92090395480226
"z0012492",175,0.988700564971751
"z0012493",144,0.813559322033898
"z0012494",152,0.858757062146893
"z0012496",175,0.988700564971751
"z0012497",169,0.954802259887006
"z0012498",124,0.700564971751412
"z0012499",167,0.943502824858757
"z0012500",174,0.983050847457627
"z0012501",122,0.689265536723164
"z0012502",92,0.519774011299435
"z0012503",153,0.864406779661017
"z0012504",170,0.96045197740113
"z0012505",158,0.892655367231638
"z0012506",143,0.807909604519774
"z0012507",148,0.836158192090395
"z0012509",172,0.971751412429379
"z0012511",152,0.858757062146893
"z0012513",61,0.344632768361582
"z0012515",132,0.745762711864407
"z0012516",169,0.954802259887006
"z0012517",147,0.830508474576271
"z0012518",137,0.774011299435028
"z0012519",164,0.926553672316384
"z0012520",167,0.943502824858757
"z0012521",169,0.954802259887006
"z0012522",150,0.847457627118644
"z0012523",139,0.785310734463277
"z0012524",145,0.819209039548023
"z0012525",151,0.853107344632768
"z0012527",175,0.988700564971751
"z0016882",133,0.751412429378531
"z0016883",169,0.954802259887006
"z0016884",168,0.949152542372881
"z0016885",151,0.853107344632768
"z0016886",134,0.757062146892655
"z0016887",136,0.768361581920904
"z0016888",144,0.813559322033898
"z0026450",174,0.983050847457627
"z0026451",156,0.88135593220339
"z0026452",150,0.847457627118644
"z0026456",139,0.785310734463277
"z0026457",174,0.983050847457627
"z0026458",138,0.779661016949153
"z0032021",173,0.977401129943503
"z0032022",103,0.581920903954802
"z0032023",134,0.757062146892655
"z0032024",155,0.875706214689266
"z0032025",148,0.836158192090395
"z0032028",141,0.796610169491525
"z0032030",78,0.440677966101695
"z0032031",149,0.84180790960452
"z0035352",173,0.977401129943503
"z0037412",176,0.994350282485876
"z0037417",152,0.858757062146893
"z0037418",149,0.84180790960452
"z0037419",167,0.943502824858757
"z0037422",160,0.903954802259887
"z0037463",171,0.966101694915254
"z0037464",164,0.926553672316384
"z0037466",160,0.903954802259887
"z0037467",145,0.819209039548023
"z0037468",155,0.875706214689266
"z0037471",158,0.892655367231638
"z0040942",170,0.96045197740113
"z0061449",137,0.774011299435028
"z0061452",148,0.836158192090395
"z0061453",137,0.774011299435028
"z0061455",132,0.745762711864407
"z0061457",157,0.887005649717514
"z0061459",140,0.790960451977401
"z0061461",156,0.88135593220339
"z0061462",134,0.757062146892655
"z0061467",168,0.949152542372881
"z0061468",145,0.819209039548023
"z0062622",176,0.994350282485876
"z0062627",170,0.96045197740113
"z0062630",168,0.949152542372881
"z0062632",135,0.76271186440678
"z0062634",161,0.909604519774011
"z0062636",162,0.915254237288136
"z0062680",161,0.909604519774011
"z0062681",171,0.966101694915254
"z0062684",130,0.734463276836158
"z0062686",135,0.76271186440678
"z0062687",171,0.966101694915254
"z0062690",137,0.774011299435028
"z0062691",125,0.706214689265537
"z0062692",110,0.621468926553672
"z0062693",128,0.72316384180791
"z0062694",157,0.887005649717514
"z0062697",132,0.745762711864407
"z0062700",114,0.64406779661017
"z0062701",128,0.72316384180791
"z0062702",148,0.836158192090395
"z0062704",136,0.768361581920904
"z0062707",122,0.689265536723164
"z0062708",139,0.785310734463277
"z0062709",132,0.745762711864407
"z0062710",133,0.751412429378531
"z0062712",167,0.943502824858757
"z0062715",134,0.757062146892655
"z0062716",147,0.830508474576271
"z0062717",140,0.790960451977401
"z0062718",142,0.80225988700565
"z0062720",111,0.627118644067797
"z0062721",135,0.76271186440678
"z0062724",155,0.875706214689266
"z0062725",132,0.745762711864407
"z0062726",170,0.96045197740113
"z0062727",144,0.813559322033898
"z0062729",145,0.819209039548023
"z0062730",133,0.751412429378531
"z0062731",145,0.819209039548023
"z0062735",131,0.740112994350282
"z0062736",146,0.824858757062147
"z0062737",155,0.875706214689266
"z0062738",157,0.887005649717514
"z0062740",139,0.785310734463277
"z0062742",162,0.915254237288136
"z0062743",177,1
"z0062744",142,0.80225988700565
"z0062751",151,0.853107344632768
"z0062752",176,0.994350282485876
"z0062757",147,0.830508474576271
"z0062761",173,0.977401129943503
"z0062762",135,0.76271186440678
"z0062763",143,0.807909604519774
"z0062764",145,0.819209039548023
"z0062765",136,0.768361581920904
"z0062766",174,0.983050847457627
"z0062769",139,0.785310734463277
"z0062770",131,0.740112994350282
"z0062771",139,0.785310734463277
"z0062772",132,0.745762711864407
"z0062773",129,0.728813559322034
"z0062775",162,0.915254237288136
"z0062776",155,0.875706214689266
"z0062779",151,0.853107344632768
"z0062780",161,0.909604519774011
"z0062783",146,0.824858757062147
"z0062784",151,0.853107344632768
"z0062787",166,0.937853107344633
"z0076691",176,0.994350282485876
"z0076693",171,0.966101694915254
"z0076695",172,0.971751412429379
"z0076697",175,0.988700564971751
"z0076699",162,0.915254237288136
"z0076701",154,0.870056497175141
"z0076703",150,0.847457627118644
"z0076705",151,0.853107344632768
"z0076707",162,0.915254237288136
"z0076709",162,0.915254237288136
"z0076711",158,0.892655367231638
"z0076713",151,0.853107344632768
