"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.In-water, CA_adj","p.val.In-water, Indonesia_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"locus139","locus140",0,0,NA,0.057372,0.057372,NA,0,NA,0.000336,4
"locus184","locus186",3.6e-05,3.6e-05,NA,0.287256,0.287256,NA,0.019832,NA,0.167448,3
"Dc14945","Dc22883",0.03043,0.03043,NA,NA,1,NA,1,NA,1,2
"locus064","locus264",0.03334,0.597536,NA,NA,0.427764,NA,0.04124,NA,1,2
"locus165","locus227",0.011008,1,1,NA,1,1,0.021742,1,1,2
"locus188","locus329",0.00031,0.762006,NA,NA,1,NA,0.049336,NA,0.98806,2
"Dc01018","Dc46984",0.0252,0.74882,NA,NA,1,NA,1,1,1,1
"Dc01018","Dc49080",1,1,1,NA,0.723168,NA,0.01624,1,1,1
"Dc01661","Dc47572",1,0.016032,NA,NA,1,NA,1,1,1,1
"Dc01661","locus076",0.338432,1,NA,NA,1,NA,1,NA,0.01016,1
"Dc01661","locus077",1,0.012468,NA,1,1,NA,1,NA,1,1
"Dc01661","locus301",0.02033,1,NA,NA,1,NA,1,NA,1,1
"Dc01707","Dc22883",1,0.48288,NA,NA,1,NA,1,NA,0.04592,1
"Dc01707","Dc35779",1,0.019978,NA,NA,1,1,1,1,1,1
"Dc01707","locus004",1,0.008424,NA,1,1,NA,1,NA,1,1
"Dc01707","locus060",1,1,NA,1,1,NA,0.00102,NA,1,1
"Dc01707","locus096",0.839592,1,1,NA,1,NA,0.038916,NA,0.69191,1
"Dc01784","Dc28124",1,0.024468,NA,NA,1,NA,1,1,1,1
"Dc01784","Dc47935",1,0.011196,NA,NA,0.2789,NA,1,1,1,1
"Dc01784","locus186",0.038424,0.71482,NA,1,1,NA,1,NA,1,1
"Dc01784","locus256",0.014856,1,NA,NA,1,NA,1,1,1,1
"Dc02951","Dc08463",0.037824,1,NA,NA,1,NA,0.5417,1,1,1
"Dc02951","Dc10878",1,0.0339,NA,NA,1,NA,0.392728,NA,1,1
"Dc02951","locus014",0.95899,1,NA,1,1,NA,1,NA,0.046464,1
"Dc02951","locus129",1,0.036084,NA,1,1,NA,1,NA,1,1
"Dc02951","locus256",0.1218,1,NA,NA,0.38068,NA,0.02412,1,1,1
"Dc03456","Dc08865",1,0.034752,NA,NA,0.958,NA,1,1,0.958,1
"Dc03456","locus014",1,0.003108,NA,1,1,NA,1,NA,1,1
"Dc03456","locus157",0.041904,NA,NA,NA,1,NA,0.577914,NA,0.577914,1
"Dc03456","locus323",0.502926,0.00984,NA,NA,0.230568,NA,0.600548,NA,1,1
"Dc03556","Dc08054",0.026976,1,NA,NA,1,NA,1,1,1,1
"Dc03556","Dc31007",1,NA,NA,NA,1,NA,0.034792,NA,1,1
"Dc03556","locus041",0.03888,1,NA,NA,1,NA,1,NA,1,1
"Dc03556","locus096",1,0.00834,1,NA,1,NA,1,NA,1,1
"Dc03556","locus188",0.039876,0.23361,NA,NA,1,1,1,NA,1,1
"Dc03556","locus264",1,1,NA,NA,1,NA,0.04178,NA,1,1
"Dc06503","Dc35779",1,1,NA,NA,1,NA,0.00964,NA,1,1
"Dc06503","Dc62188",1,0.00239,NA,NA,1,NA,0.13328,NA,1,1
"Dc06503","locus041",1,1,NA,NA,1,NA,0.00209,NA,1,1
"Dc07300","Dc35779",1,0.015246,NA,NA,0.516072,1,1,1,1,1
"Dc07300","Dc48207",0.031514,1,NA,NA,1,1,1,1,1,1
"Dc07300","Dc49080",1,0.034896,NA,NA,1,NA,1,1,1,1
"Dc07300","Dc58248",1,1,NA,1,1,NA,0.041856,NA,0.62952,1
"Dc07300","locus025",1,0.00126,1,1,1,NA,1,NA,0.432168,1
"Dc07300","locus055",1,1,NA,NA,1,NA,0.00979,NA,1,1
"Dc07300","locus237",1,0.02652,NA,NA,1,NA,1,0.47687,1,1
"Dc07300","locus263",0.02872,1,NA,NA,1,NA,1,NA,1,1
"Dc07300","locus359",0.01717,1,NA,NA,1,NA,1,NA,1,1
"Dc07937","Dc08463",1,0.037674,NA,NA,1,1,0.55854,1,1,1
"Dc07937","locus003",1,1,NA,1,1,NA,1,NA,0.046044,1
"Dc07937","locus047",0.267396,1,NA,NA,0.224248,NA,1,NA,0.01481,1
"Dc07937","locus098",0.02901,0.830944,NA,NA,1,NA,1,NA,1,1
"Dc07937","locus292",0.02462,0.943,NA,NA,1,NA,1,NA,1,1
"Dc08054","locus008",1,0.639432,NA,1,1,NA,0.03738,NA,0.10968,1
"Dc08054","locus083",0.007344,NA,NA,NA,1,NA,1,NA,1,1
"Dc08189","Dc14945",0.033132,1,NA,NA,1,NA,0.8086,1,1,1
"Dc08189","Dc22887",1,0.036804,NA,NA,1,NA,1,1,0.77771,1
"Dc08189","locus013",1,1,NA,1,1,NA,0.34922,NA,0.010596,1
"Dc08189","locus083",1,NA,NA,NA,1,NA,0.008856,NA,1,1
"Dc08189","locus130",0.24663,NA,NA,NA,0.547724,NA,0.006344,NA,0.547724,1
"Dc08189","locus274",0.4116,1,NA,NA,1,NA,0.0172,NA,1,1
"Dc08189","locus323",0.79644,0.027252,NA,NA,1,1,1,NA,1,1
"Dc08463","Dc11203",0.040012,1,NA,NA,1,1,1,1,0.638088,1
"Dc08463","Dc14945",0.00882,1,NA,NA,1,NA,0.36883,1,1,1
"Dc08463","locus129",0.84684,0.576324,1,1,1,NA,1,NA,0.021784,1
"Dc08463","locus130",0.610404,NA,NA,NA,0.664552,NA,0.923656,NA,0.042304,1
"Dc08463","locus146",0.007812,0.8985,1,1,1,NA,1,NA,1,1
"Dc08463","locus202",1,1,NA,NA,1,NA,0.90606,1,0.01908,1
"Dc08865","Dc62188",1,1,NA,1,1,NA,1,NA,0.017616,1
"Dc08865","locus098",1,0.01899,NA,NA,1,NA,1,NA,1,1
"Dc08865","locus157",1,NA,NA,NA,1,NA,0.030944,NA,1,1
"Dc08865","locus280",0.247928,1,NA,NA,0.0465,NA,1,NA,1,1
"Dc08865","locus329",0.946344,1,NA,NA,1,NA,0.03816,NA,0.493336,1
"Dc10003","locus332",0.301818,NA,1,NA,1,NA,0.025632,NA,NA,1
"Dc10390","locus065",0.014208,0.888176,NA,0.888176,0.888176,NA,0.888176,NA,0.71867,1
"Dc10390","locus148",1,1,NA,1,1,NA,1,NA,0.0414,1
"Dc10390","locus161",1,0.00714,NA,1,1,NA,1,NA,1,1
"Dc10390","locus280",1,1,NA,NA,1,NA,0.0466,NA,1,1
"Dc10878","locus239",0.351384,0.00918,NA,NA,1,NA,1,NA,0.351384,1
"Dc10885","Dc58248",0.60307,1,NA,1,1,NA,1,NA,0.036312,1
"Dc10885","locus045",0.01819,1,NA,NA,1,NA,1,NA,1,1
"Dc10885","locus058",0.011436,1,NA,1,1,NA,1,NA,1,1
"Dc10885","locus170",1,1,NA,1,1,NA,0.008136,NA,1,1
"Dc10885","locus296",1,1,NA,NA,1,NA,0.62256,NA,0.00831,1
"Dc11203","locus076",0.01134,1,NA,NA,1,1,1,NA,1,1
"Dc11203","locus129",1,1,NA,1,1,NA,1,NA,0.003792,1
"Dc11203","locus135",0.34763,0.049848,NA,1,1,NA,1,NA,1,1
"Dc11203","locus157",1,NA,NA,NA,1,NA,0.029512,NA,1,1
