"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"locus139","locus140",0,0,NA,0.04744,0,NA,0.000224,5
"locus184","locus186",3e-05,3e-05,NA,0.166152,0.014874,NA,0.111632,3
"Dc14945","Dc22883",0.024344,0.024344,NA,NA,1,NA,1,2
"Dc20232","locus291",0.53788,0.339524,NA,NA,0.04881,NA,0.043096,2
"Dc33907","locus146",0.526988,0.245874,NA,1,0.041104,NA,0.02815,2
"locus064","locus264",0.026672,0.597536,NA,NA,0.03093,NA,1,2
"locus083","locus116",0.047972,NA,NA,NA,0.029862,NA,0.739364,2
"locus165","locus227",0.008256,1,1,NA,0.01553,1,1,2
"locus188","locus329",0.000248,0.508004,NA,NA,0.037002,NA,0.508004,2
"Dc01018","Dc14022",0.0418,1,NA,NA,1,1,1,1
"Dc01018","Dc46984",0.021,0.599056,NA,NA,1,1,1,1
"Dc01018","Dc49080",1,1,1,NA,0.01392,1,1,1
"Dc01018","locus004",1,0.863682,NA,1,0.65688,NA,0.04971,1
"Dc01661","Dc47572",1,0.01336,NA,NA,1,1,1,1
"Dc01661","locus040",0.405714,0.046048,NA,NA,1,NA,1,1
"Dc01661","locus076",0.253824,1,NA,NA,1,NA,0.008128,1
"Dc01661","locus077",1,0.01039,NA,1,1,NA,1,1
"Dc01661","locus301",0.016264,1,NA,NA,1,NA,1,1
"Dc01707","Dc22883",1,0.36216,NA,NA,1,NA,0.036736,1
"Dc01707","Dc35779",1,0.01427,NA,NA,0.821784,1,1,1
"Dc01707","Dc49080",1,1,1,NA,0.04908,1,0.27066,1
"Dc01707","locus004",1,0.00702,NA,0.809152,1,NA,1,1
"Dc01707","locus045",1,1,NA,NA,0.037496,NA,1,1
"Dc01707","locus060",1,1,NA,1,0.00085,NA,1,1
"Dc01707","locus096",0.629694,0.937272,0.937272,NA,0.03243,NA,0.553528,1
"Dc01707","locus215",0.080376,NA,NA,NA,1,1,0.042432,1
"Dc01784","Dc28124",1,0.02039,NA,NA,1,1,1,1
"Dc01784","Dc47935",1,0.00933,NA,NA,1,1,1,1
"Dc01784","locus186",0.03202,0.571856,NA,1,1,NA,1,1
"Dc01784","locus256",0.01238,1,NA,NA,1,1,1,1
"Dc02951","Dc08463",0.03152,1,NA,NA,0.43336,1,1,1
"Dc02951","Dc10878",1,0.02712,NA,NA,0.294546,NA,1,1
"Dc02951","locus014",0.767192,1,NA,1,1,NA,0.03872,1
"Dc02951","locus022",1,1,1,1,0.045348,NA,1,1
"Dc02951","locus129",1,0.03007,NA,1,1,NA,1,1
"Dc02951","locus134",0.518228,0.045472,NA,NA,0.052296,NA,1,1
"Dc02951","locus256",0.09744,1,NA,NA,0.0201,1,1,1
"Dc03456","Dc08865",1,0.02896,NA,NA,1,1,0.7664,1
"Dc03456","Dc40235",0.189176,1,NA,NA,0.04924,0.770934,1,1
"Dc03456","locus014",1,0.00259,NA,1,1,NA,1,1
"Dc03456","locus157",0.031428,NA,NA,NA,0.385276,NA,0.385276,1
"Dc03456","locus323",0.502926,0.007872,NA,NA,0.600548,NA,1,1
"Dc03556","Dc08054",0.02248,1,NA,NA,1,1,1,1
"Dc03556","Dc31007",0.930056,NA,NA,NA,0.026094,NA,0.930056,1
"Dc03556","locus008",1,0.04275,NA,1,1,NA,1,1
"Dc03556","locus041",0.031104,1,NA,NA,1,NA,1,1
"Dc03556","locus096",1,0.00695,1,NA,1,NA,1,1
"Dc03556","locus188",0.026584,0.140166,NA,NA,0.670344,NA,0.701158,1
"Dc03556","locus264",1,1,NA,NA,0.033424,NA,1,1
"Dc06503","Dc27955",1,1,NA,NA,0.045808,NA,1,1
"Dc06503","Dc35779",1,1,NA,NA,0.007712,NA,1,1
"Dc06503","Dc62188",1,0.001912,NA,NA,0.09996,NA,1,1
"Dc06503","locus041",1,0.966468,NA,NA,0.001672,NA,0.966468,1
"Dc06503","locus301",1,0.047536,NA,NA,1,NA,1,1
"Dc07300","Dc33714",0.671712,1,NA,NA,0.03576,1,1,1
"Dc07300","Dc35779",1,0.01089,NA,NA,1,1,1,1
"Dc07300","Dc48207",0.02251,1,NA,NA,1,1,1,1
"Dc07300","Dc49080",1,0.02908,NA,NA,1,1,1,1
