"Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p"
"Dc01018","Dc01661",0.509054,0.405204,Inf,1,0.696406,Inf,0.120716,0
"Dc01018","Dc01707",0.608642,0.92272,Inf,Inf,0.492914,Inf,0.487704,0
"Dc01018","Dc01784",0.060776,1,Inf,NA,0.205442,Inf,0.544798,0
"Dc01018","Dc02951",0.916638,1,Inf,NA,0.27644,Inf,0.546758,0
"Dc01018","Dc03456",0.812528,0.415356,Inf,NA,0.764332,Inf,1,0
"Dc01018","Dc03556",0.40635,0.324756,Inf,NA,0.85371,Inf,0.66094,0
"Dc01018","Dc06503",0.373862,0.177598,Inf,NA,1,NA,0.374852,0
"Dc01018","Dc07300",0.990624,0.218888,NA,NA,0.53913,Inf,0.357136,0
"Dc01018","Dc07937",0.060802,0.06611,NA,NA,0.430572,Inf,1,0
"Dc01018","Dc08054",0.86274,0.20407,NA,NA,0.463864,Inf,1,0
"Dc01018","Dc08189",0.923872,0.199988,NA,NA,0.361392,Inf,0.131892,0
"Dc01018","Dc08463",0.502724,0.754038,NA,NA,0.240752,Inf,1,0
"Dc01018","Dc08865",0.98074,0.50585,NA,NA,0.304116,Inf,0.29761,0
"Dc01018","Dc10003",0.23281,NA,NA,NA,0.704298,Inf,NA,0
"Dc01018","Dc10390",0.885384,0.3101,NA,NA,0.84167,Inf,1,0
"Dc01018","Dc10878",0.526958,0.952512,NA,NA,0.918778,NA,1,0
"Dc01018","Dc10885",0.112872,0.197766,NA,NA,0.974284,Inf,1,0
"Dc01018","Dc11203",0.652192,0.304146,NA,NA,1,Inf,1,0
"Dc01018","Dc11714",0.15559,0.670532,NA,NA,0.023094,Inf,0.20772,1
"Dc01018","Dc13159",0.369644,0.611628,NA,NA,0.868314,Inf,0.358174,0
"Dc01018","Dc13592",0.675584,0.765052,NA,NA,0.286148,Inf,0.118886,0
"Dc01018","Dc14022",0.00836,1,NA,NA,Inf,Inf,Inf,1
"Dc01018","Dc14945",0.44657,0.375178,NA,NA,0.543994,Inf,1,0
"Dc01018","Dc16747",0.33503,0.370292,NA,NA,0.064074,Inf,1,0
"Dc01018","Dc18951",0.755746,0.867958,NA,NA,0.807762,Inf,0.463552,0
"Dc01018","Dc20232",0.92024,0.119962,NA,NA,0.487994,Inf,1,0
"Dc01018","Dc22883",0.582806,0.396446,NA,NA,0.800218,NA,0.464394,0
"Dc01018","Dc22887",0.560928,0.884282,NA,NA,0.152704,Inf,0.491392,0
"Dc01018","Dc27955",0.30624,0.615774,NA,NA,0.537248,NA,0.475208,0
"Dc01018","Dc28124",0.391254,0.137006,NA,NA,0.260126,Inf,0.514298,0
"Dc01018","Dc28776",0.794022,0.58829,NA,NA,0.201102,Inf,1,0
"Dc01018","Dc30071",0.811216,0.253202,NA,NA,0.590224,Inf,1,0
"Dc01018","Dc31007",0.19276,NA,NA,NA,1,NA,0.642282,0
"Dc01018","Dc33714",0.992572,0.703912,NA,NA,0.213118,Inf,0.43023,0
"Dc01018","Dc33907",0.537162,0.451086,NA,NA,0.421648,Inf,0.744252,0
"Dc01018","Dc34902",0.764306,0.245348,NA,NA,0.503972,Inf,0.49062,0
"Dc01018","Dc35779",0.440122,0.520926,NA,NA,0.538046,Inf,0.548092,0
"Dc01018","Dc36571",0.867136,0.655878,Inf,NA,0.122454,Inf,0.50766,0
"Dc01018","Dc36616",0.793206,1,NA,NA,0.561664,Inf,0.272664,0
"Dc01018","Dc40235",0.953934,0.272268,NA,NA,0.56975,Inf,0.516126,0
"Dc01018","Dc41234",0.8999,0.239964,NA,NA,NA,NA,0.786638,0
"Dc01018","Dc46984",0.0042,0.149764,NA,NA,0.49975,Inf,0.555128,1
"Dc01018","Dc47572",0.152966,0.331914,NA,NA,0.07306,Inf,1,0
"Dc01018","Dc47935",0.938454,0.662422,NA,NA,0.660552,Inf,1,0
"Dc01018","Dc48207",0.276556,0.350648,NA,NA,Inf,Inf,1,0
"Dc01018","Dc48950",0.522182,0.32941,NA,NA,0.949924,Inf,1,0
"Dc01018","Dc49080",0.515206,0.453042,Inf,NA,0.00232,Inf,0.492614,1
