"locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"Dc01018",179,44,0.802690582959641,2,0.0111731843575419,0,0.318873918282397,0.255605381165919,1
"Dc01661",222,1,0.995515695067265,3,0.0135135135135135,0.0045045045045045,0.620828503447013,0.605381165919282,2
"Dc01707",222,1,0.995515695067265,4,0.018018018018018,0.0045045045045045,0.655196957680028,0.704035874439462,2
"Dc01784",220,3,0.986547085201794,2,0.00909090909090909,0,0.438144543383723,0.466367713004484,1
"Dc02951",223,0,1,2,0.00896860986547085,0,0.333430745200786,0.322869955156951,1
"Dc03456",223,0,1,2,0.00896860986547085,0,0.49624628407316,0.497757847533632,1
"Dc03556",221,2,0.991031390134529,2,0.00904977375565611,0,0.491899323832097,0.542600896860987,1
"Dc06503",125,98,0.560538116591928,2,0.016,0,0.154506024096386,0.0941704035874439,1
"Dc07300",222,1,0.995515695067265,3,0.0135135135135135,0.0045045045045045,0.652522725886157,0.62780269058296,2
"Dc07937",213,10,0.955156950672646,3,0.0140845070422535,0,0.56095001380834,0.556053811659193,2
"Dc08054",223,0,1,3,0.0134529147982063,0,0.597772963168237,0.609865470852018,2
"Dc08189",203,20,0.910313901345291,3,0.0147783251231527,0,0.588250319284802,0.573991031390135,2
"Dc08463",223,0,1,2,0.00896860986547085,0,0.396281553887237,0.37219730941704,1
"Dc08865",223,0,1,3,0.0134529147982063,0,0.550823802085958,0.542600896860987,2
"Dc10003",129,94,0.57847533632287,2,0.0155038759689922,0,0.294151358851386,0.134529147982063,1
"Dc10390",223,0,1,2,0.00896860986547085,0,0.196029626643825,0.174887892376682,1
"Dc10878",150,73,0.672645739910314,2,0.0133333333333333,0,0.498974358974359,0.336322869955157,1
"Dc10885",220,3,0.986547085201794,3,0.0136363636363636,0,0.586363636363636,0.560538116591928,2
"Dc11203",223,0,1,2,0.00896860986547085,0,0.236660452461329,0.237668161434978,2
"Dc11714",205,18,0.919282511210762,2,0.00975609756097561,0,0.500459180630926,0.345291479820628,1
"Dc13159",201,22,0.901345291479821,3,0.0149253731343284,0,0.541730251485714,0.479820627802691,2
"Dc13592",201,22,0.901345291479821,3,0.0149253731343284,0,0.320355826850784,0.269058295964126,2
"Dc14022",216,7,0.968609865470852,2,0.00925925925925926,0,0.0585094955744608,0.0582959641255605,1
"Dc14945",223,0,1,2,0.00896860986547085,0,0.133501284828941,0.116591928251121,1
"Dc16747",185,38,0.829596412556054,2,0.0108108108108108,0,0.412231743939061,0.354260089686099,1
"Dc18951",223,0,1,2,0.00896860986547085,0,0.444439965737895,0.385650224215247,1
"Dc20232",218,5,0.977578475336323,3,0.0137614678899083,0,0.223695033217336,0.224215246636771,2
"Dc22883",181,42,0.811659192825112,3,0.0165745856353591,0,0.637517026063268,0.524663677130045,2
"Dc22887",220,3,0.986547085201794,2,0.00909090909090909,0,0.198374404638642,0.210762331838565,1
"Dc27955",176,47,0.789237668161435,2,0.0113636363636364,0,0.342770655270655,0.246636771300448,1
"Dc28124",223,0,1,2,0.00896860986547085,0,0.203002972741472,0.228699551569507,1
"Dc28776",212,11,0.95067264573991,2,0.00943396226415094,0,0.391888576653731,0.381165919282511,1
"Dc30071",219,4,0.982062780269058,2,0.0091324200913242,0,0.499639509733237,0.515695067264574,1
"Dc31007",124,99,0.556053811659193,2,0.0161290322580645,0,0.16896304035523,0.0941704035874439,1
"Dc33714",220,3,0.986547085201794,3,0.0136363636363636,0,0.548426175191551,0.533632286995516,2
"Dc33907",210,13,0.94170403587444,2,0.00952380952380952,0,0.378270257983862,0.376681614349776,1
"Dc34902",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.175329957497,0.165919282511211,1
"Dc35779",219,4,0.982062780269058,2,0.0091324200913242,0,0.299259166379319,0.286995515695067,1
"Dc36571",205,18,0.919282511210762,2,0.00975609756097561,0,0.49544993738446,0.426008968609865,1
"Dc36616",220,3,0.986547085201794,2,0.00909090909090909,0,0.339355974321806,0.318385650224215,1
"Dc40235",217,6,0.973094170403587,2,0.00921658986175115,0,0.301401645363502,0.278026905829596,1
"Dc41234",132,91,0.591928251121076,3,0.0227272727272727,0,0.630487383339094,0.358744394618834,2
"Dc46984",223,0,1,3,0.0134529147982063,0,0.594961455131758,0.565022421524664,2
"Dc47572",223,0,1,3,0.0134529147982063,0,0.373366251826473,0.367713004484305,2
"Dc47935",222,1,0.995515695067265,4,0.018018018018018,0.0045045045045045,0.594340390051451,0.582959641255605,3
"Dc48207",196,27,0.878923766816143,2,0.0102040816326531,0,0.0449788611096612,0.0403587443946188,1
"Dc48950",223,0,1,3,0.0134529147982063,0,0.610701869300146,0.614349775784753,2
"Dc49080",223,0,1,2,0.00896860986547085,0,0.50103290169799,0.475336322869955,1
"Dc49184",223,0,1,3,0.0134529147982063,0,0.41286844359349,0.403587443946188,2
"Dc51020",223,0,1,2,0.00896860986547085,0,0.433365244117499,0.434977578475336,1
"Dc52523",213,10,0.955156950672646,4,0.0187793427230047,0,0.574879867439934,0.551569506726457,2
"Dc55481",179,44,0.802690582959641,2,0.0111731843575419,0,0.315478146565889,0.2152466367713,1
"Dc58248",223,0,1,4,0.0179372197309417,0,0.568982717791102,0.506726457399103,2
"Dc62188",222,1,0.995515695067265,3,0.0135135135135135,0.0045045045045045,0.614656417139487,0.614349775784753,2
"Dc67011",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.323958269782198,0.349775784753363,1
"locus003",223,0,1,2,0.00896860986547085,0,0.438232478460221,0.439461883408072,1
"locus004",223,0,1,2,0.00896860986547085,0,0.358421927747266,0.349775784753363,1
