"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"Dc01018","IsabelSI-South",50,17,0.746268656716418,2,0.04,0,0.357777777777778,0.343283582089552,1
"Dc01661","IsabelSI-South",66,1,0.985074626865672,3,0.0454545454545455,0.0151515151515152,0.641799676150821,0.582089552238806,2
"Dc01707","IsabelSI-South",67,0,1,4,0.0597014925373134,0,0.665357423409269,0.746268656716418,2
"Dc01784","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.415778251599147,0.492537313432836,1
"Dc02951","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.358321176074515,0.343283582089552,1
"Dc03456","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.503310515093704,0.492537313432836,1
"Dc03556","IsabelSI-South",65,2,0.970149253731343,2,0.0307692307692308,0,0.489445438282648,0.507462686567164,1
"Dc06503","IsabelSI-South",37,30,0.552238805970149,2,0.0540540540540541,0,0.195483154387264,0.119402985074627,1
"Dc07300","IsabelSI-South",66,1,0.985074626865672,3,0.0454545454545455,0.0151515151515152,0.647698357622022,0.641791044776119,2
"Dc07937","IsabelSI-South",65,2,0.970149253731343,3,0.0461538461538462,0,0.586881335718545,0.582089552238806,2
"Dc08054","IsabelSI-South",67,0,1,3,0.0447761194029851,0,0.585343956907193,0.611940298507463,2
"Dc08189","IsabelSI-South",62,5,0.925373134328358,3,0.0483870967741935,0,0.593889325990034,0.626865671641791,2
"Dc08463","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.333071484681854,0.298507462686567,1
"Dc08865","IsabelSI-South",67,0,1,3,0.0447761194029851,0,0.609471439793514,0.611940298507463,2
"Dc10003","IsabelSI-South",34,33,0.507462686567164,2,0.0588235294117647,0,0.31387181738367,0.164179104477612,1
"Dc10390","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.176523398047357,0.164179104477612,1
"Dc10878","IsabelSI-South",43,24,0.641791044776119,2,0.0465116279069767,0,0.488372093023256,0.313432835820896,1
"Dc10885","IsabelSI-South",67,0,1,3,0.0447761194029851,0,0.590842778588262,0.567164179104478,2
"Dc11203","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.176523398047357,0.194029850746269,2
"Dc11714","IsabelSI-South",64,3,0.955223880597015,2,0.03125,0,0.500861220472441,0.343283582089552,1
"Dc13159","IsabelSI-South",61,6,0.91044776119403,3,0.0491803278688525,0,0.554260940251998,0.447761194029851,2
"Dc13592","IsabelSI-South",58,9,0.865671641791045,3,0.0517241379310345,0,0.300449775112444,0.238805970149254,2
"Dc14022","IsabelSI-South",65,2,0.970149253731343,1,0.0153846153846154,0,0,0,1
"Dc14945","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.126248456963304,0.104477611940299,1
"Dc16747","IsabelSI-South",56,11,0.835820895522388,2,0.0357142857142857,0,0.395752895752896,0.298507462686567,1
"Dc18951","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.471327572663001,0.388059701492537,1
"Dc20232","IsabelSI-South",66,1,0.985074626865672,3,0.0454545454545455,0.0151515151515152,0.220217441591487,0.208955223880597,2
"Dc22883","IsabelSI-South",52,15,0.776119402985075,3,0.0576923076923077,0,0.628080657206871,0.462686567164179,2
"Dc22887","IsabelSI-South",66,1,0.985074626865672,2,0.0303030303030303,0.0151515151515152,0.153944020356234,0.164179104477612,1
"Dc27955","IsabelSI-South",49,18,0.73134328358209,2,0.0408163265306122,0,0.315800547022933,0.223880597014925,1
"Dc28124","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.164291325328246,0.17910447761194,1
"Dc28776","IsabelSI-South",65,2,0.970149253731343,2,0.0307692307692308,0,0.416935002981514,0.477611940298507,1
"Dc30071","IsabelSI-South",67,0,1,2,0.0298507462686567,0,0.503647177645607,0.447761194029851,1
"Dc31007","IsabelSI-South",40,27,0.597014925373134,2,0.05,0,0.161708860759494,0.104477611940299,1
