"locus","inds.genoed","prop.genoed"
"Dc01018",182,0.801762114537445
"Dc01661",226,0.995594713656388
"Dc01707",226,0.995594713656388
"Dc01784",224,0.986784140969163
"Dc02951",227,1
"Dc03456",227,1
"Dc03556",225,0.991189427312775
"Dc06503",127,0.559471365638767
"Dc07300",226,0.995594713656388
"Dc07937",217,0.955947136563877
"Dc08054",227,1
"Dc08189",206,0.907488986784141
"Dc08463",227,1
"Dc08865",227,1
"Dc10003",131,0.577092511013216
"Dc10390",227,1
"Dc10878",152,0.669603524229075
"Dc10885",224,0.986784140969163
"Dc11203",227,1
"Dc11714",209,0.920704845814978
"Dc13159",205,0.903083700440529
"Dc13592",205,0.903083700440529
"Dc14022",220,0.969162995594714
"Dc14945",227,1
"Dc16747",188,0.828193832599119
"Dc18951",227,1
"Dc20232",222,0.977973568281938
"Dc22883",185,0.814977973568282
"Dc22887",224,0.986784140969163
"Dc27955",179,0.788546255506608
"Dc28124",227,1
"Dc28776",215,0.947136563876652
"Dc30071",223,0.982378854625551
"Dc31007",126,0.555066079295154
"Dc33714",224,0.986784140969163
"Dc33907",214,0.94273127753304
"Dc34902",226,0.995594713656388
"Dc35779",223,0.982378854625551
"Dc36571",209,0.920704845814978
"Dc36616",224,0.986784140969163
"Dc40235",221,0.973568281938326
"Dc41234",134,0.590308370044053
"Dc46984",227,1
"Dc47572",227,1
"Dc47935",226,0.995594713656388
"Dc48207",200,0.881057268722467
"Dc48950",227,1
"Dc49080",227,1
"Dc49184",227,1
"Dc51020",227,1
"Dc52523",216,0.951541850220264
"Dc55481",182,0.801762114537445
"Dc58248",227,1
"Dc62188",226,0.995594713656388
"Dc67011",226,0.995594713656388
"locus003",227,1
"locus004",227,1
"locus005",225,0.991189427312775
"locus006",227,1
"locus008",226,0.995594713656388
"locus013",227,1
"locus014",227,1
"locus022",227,1
"locus024",219,0.964757709251101
"locus025",219,0.964757709251101
"locus027",140,0.616740088105727
"locus030",226,0.995594713656388
"locus035",226,0.995594713656388
"locus038",207,0.911894273127753
"locus039",221,0.973568281938326
"locus040",201,0.885462555066079
"locus041",194,0.854625550660793
"locus045",219,0.964757709251101
"locus047",227,1
"locus048",225,0.991189427312775
"locus053",225,0.991189427312775
"locus055",226,0.995594713656388
"locus056",227,1
"locus058",226,0.995594713656388
"locus060",227,1
"locus061",157,0.691629955947137
"locus062",226,0.995594713656388
"locus064",227,1
"locus065",227,1
"locus073",219,0.964757709251101
"locus074",227,1
"locus076",197,0.86784140969163
"locus077",207,0.911894273127753
"locus080",191,0.841409691629956
"locus083",145,0.638766519823789
"locus088",227,1
"locus093",169,0.744493392070485
"locus096",227,1
"locus098",208,0.916299559471366
"locus100",227,1
"locus106",220,0.969162995594714
"locus116",206,0.907488986784141
"locus119",227,1
"locus120",227,1
"locus128",192,0.845814977973568
"locus129",227,1
"locus130",143,0.629955947136564
"locus134",201,0.885462555066079
"locus135",224,0.986784140969163
"locus137",227,1
"locus139",227,1
"locus140",227,1
"locus146",224,0.986784140969163
"locus148",227,1
"locus151",166,0.731277533039648
"locus157",160,0.704845814977974
"locus161",226,0.995594713656388
"locus165",180,0.79295154185022
"locus170",227,1
"locus176",177,0.779735682819383
"locus184",227,1
"locus186",226,0.995594713656388
"locus188",189,0.832599118942731
"locus189",226,0.995594713656388
"locus190",227,1
"locus191",179,0.788546255506608
"locus192",201,0.885462555066079
"locus195",211,0.929515418502203
"locus202",227,1
"locus215",172,0.757709251101322
"locus227",220,0.969162995594714
"locus231",177,0.779735682819383
"locus235",227,1
"locus236",227,1
"locus237",227,1
"locus239",227,1
"locus248",227,1
"locus256",196,0.863436123348018
"locus263",195,0.859030837004405
"locus264",227,1
"locus274",221,0.973568281938326
"locus280",206,0.907488986784141
"locus282",219,0.964757709251101
"locus286",196,0.863436123348018
"locus291",227,1
"locus292",227,1
"locus296",227,1
"locus301",213,0.938325991189427
"locus314",187,0.823788546255507
"locus321",219,0.964757709251101
"locus322",227,1
"locus323",224,0.986784140969163
"locus329",221,0.973568281938326
"locus332",227,1
"locus358",227,1
"locus359",196,0.863436123348018
"locus360",189,0.832599118942731
