"locus","inds.genoed","prop.genoed"
"Dc00544",96,0.380952380952381
"Dc01018",182,0.722222222222222
"Dc01661",231,0.916666666666667
"Dc01707",228,0.904761904761905
"Dc01784",228,0.904761904761905
"Dc02951",237,0.94047619047619
"Dc03456",236,0.936507936507937
"Dc03556",230,0.912698412698413
"Dc03887",54,0.214285714285714
"Dc05864",119,0.472222222222222
"Dc06503",128,0.507936507936508
"Dc07300",241,0.956349206349206
"Dc07937",219,0.869047619047619
"Dc08054",237,0.94047619047619
"Dc08189",207,0.821428571428571
"Dc08463",233,0.924603174603175
"Dc08578",100,0.396825396825397
"Dc08865",240,0.952380952380952
"Dc10003",131,0.51984126984127
"Dc10390",242,0.96031746031746
"Dc10878",152,0.603174603174603
"Dc10885",227,0.900793650793651
"Dc11062",82,0.325396825396825
"Dc11203",242,0.96031746031746
"Dc11295",73,0.28968253968254
"Dc11714",215,0.853174603174603
"Dc12329",61,0.242063492063492
"Dc13159",207,0.821428571428571
"Dc13592",208,0.825396825396825
"Dc14022",223,0.884920634920635
"Dc14945",231,0.916666666666667
"Dc16747",190,0.753968253968254
"Dc16962",76,0.301587301587302
"Dc18951",239,0.948412698412698
"Dc20232",223,0.884920634920635
"Dc21465",65,0.257936507936508
"Dc21637",49,0.194444444444444
"Dc22013",63,0.25
"Dc22883",186,0.738095238095238
"Dc22887",225,0.892857142857143
"Dc27955",179,0.71031746031746
"Dc28124",236,0.936507936507937
"Dc28776",216,0.857142857142857
"Dc30071",227,0.900793650793651
"Dc31007",126,0.5
"Dc33714",226,0.896825396825397
"Dc33907",216,0.857142857142857
"Dc34902",233,0.924603174603175
"Dc35779",225,0.892857142857143
"Dc36571",210,0.833333333333333
"Dc36616",230,0.912698412698413
"Dc36767",111,0.44047619047619
"Dc40235",222,0.880952380952381
"Dc41234",135,0.535714285714286
"Dc46984",237,0.94047619047619
"Dc47572",242,0.96031746031746
"Dc47935",234,0.928571428571429
"Dc48207",200,0.793650793650794
"Dc48950",244,0.968253968253968
"Dc49080",243,0.964285714285714
"Dc49184",242,0.96031746031746
"Dc51020",234,0.928571428571429
"Dc52523",223,0.884920634920635
"Dc55481",183,0.726190476190476
"Dc58248",237,0.94047619047619
"Dc62188",234,0.928571428571429
"Dc67011",229,0.908730158730159
"locus002",110,0.436507936507937
"locus003",236,0.936507936507937
"locus004",242,0.96031746031746
"locus005",236,0.936507936507937
"locus006",231,0.916666666666667
"locus008",237,0.94047619047619
"locus013",237,0.94047619047619
"locus014",240,0.952380952380952
"locus016",227,0.900793650793651
"locus019",181,0.718253968253968
"locus022",238,0.944444444444444
"locus024",221,0.876984126984127
"locus025",221,0.876984126984127
"locus027",140,0.555555555555556
"locus030",228,0.904761904761905
"locus035",230,0.912698412698413
"locus038",208,0.825396825396825
"locus039",224,0.888888888888889
"locus040",202,0.801587301587302
"locus041",194,0.76984126984127
"locus043",61,0.242063492063492
"locus045",222,0.880952380952381
"locus047",235,0.932539682539683
"locus048",230,0.912698412698413
"locus053",228,0.904761904761905
"locus055",229,0.908730158730159
"locus056",237,0.94047619047619
"locus058",232,0.920634920634921
"locus060",239,0.948412698412698
"locus061",159,0.630952380952381
"locus062",235,0.932539682539683
"locus064",242,0.96031746031746
"locus065",238,0.944444444444444
"locus069",71,0.281746031746032
"locus073",224,0.888888888888889
"locus074",237,0.94047619047619
"locus076",197,0.781746031746032
"locus077",211,0.837301587301587
"locus080",194,0.76984126984127
"locus083",160,0.634920634920635
"locus088",238,0.944444444444444
"locus093",169,0.670634920634921
"locus096",239,0.948412698412698
"locus098",208,0.825396825396825
"locus100",240,0.952380952380952
"locus102",63,0.25
"locus106",220,0.873015873015873
"locus110",98,0.388888888888889
"locus111",10,0.0396825396825397
"locus116",208,0.825396825396825
"locus119",237,0.94047619047619
"locus120",242,0.96031746031746
"locus126",106,0.420634920634921
"locus128",192,0.761904761904762
"locus129",240,0.952380952380952
"locus130",144,0.571428571428571
"locus134",203,0.805555555555556
"locus135",233,0.924603174603175
"locus137",232,0.920634920634921
"locus139",241,0.956349206349206
"locus140",246,0.976190476190476
"locus146",227,0.900793650793651
"locus148",244,0.968253968253968
"locus151",169,0.670634920634921
"locus155",1,0.00396825396825397
"locus157",160,0.634920634920635
"locus161",235,0.932539682539683
"locus165",184,0.73015873015873
"locus170",241,0.956349206349206
"locus176",180,0.714285714285714
"locus184",236,0.936507936507937
"locus186",236,0.936507936507937
"locus188",192,0.761904761904762
"locus189",239,0.948412698412698
"locus190",238,0.944444444444444
"locus191",179,0.71031746031746
"locus192",204,0.80952380952381
"locus195",214,0.849206349206349
"locus201",16,0.0634920634920635
"locus202",239,0.948412698412698
"locus210",117,0.464285714285714
"locus215",175,0.694444444444444
"locus227",220,0.873015873015873
"locus229",30,0.119047619047619
"locus231",177,0.702380952380952
"locus235",240,0.952380952380952
"locus236",244,0.968253968253968
"locus237",239,0.948412698412698
"locus239",238,0.944444444444444
"locus248",244,0.968253968253968
"locus255",110,0.436507936507937
"locus256",199,0.78968253968254
"locus263",198,0.785714285714286
"locus264",240,0.952380952380952
"locus271",16,0.0634920634920635
"locus274",223,0.884920634920635
"locus280",206,0.817460317460317
"locus282",221,0.876984126984127
"locus286",202,0.801587301587302
"locus289",43,0.170634920634921
"locus291",251,0.996031746031746
"locus292",240,0.952380952380952
"locus296",233,0.924603174603175
"locus298",67,0.265873015873016
"locus301",214,0.849206349206349
"locus314",198,0.785714285714286
"locus321",223,0.884920634920635
"locus322",239,0.948412698412698
"locus323",227,0.900793650793651
"locus329",223,0.884920634920635
"locus332",241,0.956349206349206
"locus334",103,0.408730158730159
"locus349",113,0.448412698412698
"locus358",241,0.956349206349206
"locus359",201,0.797619047619048
"locus360",189,0.75
