"locus","inds.genoed","prop.genoed"
"Dc00544",96,0.395061728395062
"Dc01018",182,0.748971193415638
"Dc01661",231,0.950617283950617
"Dc01707",228,0.938271604938272
"Dc01784",228,0.938271604938272
"Dc02951",236,0.97119341563786
"Dc03456",236,0.97119341563786
"Dc03556",230,0.946502057613169
"Dc03887",54,0.222222222222222
"Dc05864",119,0.489711934156379
"Dc06503",128,0.526748971193416
"Dc07300",240,0.987654320987654
"Dc07937",219,0.901234567901235
"Dc08054",237,0.975308641975309
"Dc08189",207,0.851851851851852
"Dc08463",233,0.958847736625514
"Dc08578",100,0.411522633744856
"Dc08865",240,0.987654320987654
"Dc10003",131,0.539094650205761
"Dc10390",241,0.991769547325103
"Dc10878",152,0.625514403292181
"Dc10885",227,0.934156378600823
"Dc11062",82,0.337448559670782
"Dc11203",242,0.995884773662551
"Dc11295",73,0.300411522633745
"Dc11714",215,0.88477366255144
"Dc12329",61,0.251028806584362
"Dc13159",207,0.851851851851852
"Dc13592",208,0.8559670781893
"Dc14022",223,0.917695473251029
"Dc14945",231,0.950617283950617
"Dc16747",190,0.781893004115226
"Dc16962",76,0.312757201646091
"Dc18951",239,0.983539094650206
"Dc20232",223,0.917695473251029
"Dc21465",65,0.267489711934156
"Dc21637",49,0.201646090534979
"Dc22013",63,0.259259259259259
"Dc22883",186,0.765432098765432
"Dc22887",225,0.925925925925926
"Dc27955",179,0.736625514403292
"Dc28124",235,0.967078189300412
"Dc28776",216,0.888888888888889
"Dc30071",227,0.934156378600823
"Dc31007",126,0.518518518518518
"Dc33714",226,0.930041152263374
"Dc33907",216,0.888888888888889
"Dc34902",233,0.958847736625514
"Dc35779",225,0.925925925925926
"Dc36571",210,0.864197530864197
"Dc36616",230,0.946502057613169
"Dc36767",111,0.45679012345679
"Dc40235",222,0.91358024691358
"Dc41234",135,0.555555555555556
"Dc46984",237,0.975308641975309
"Dc47572",239,0.983539094650206
"Dc47935",234,0.962962962962963
"Dc48207",200,0.823045267489712
"Dc48950",243,1
"Dc49080",242,0.995884773662551
"Dc49184",241,0.991769547325103
"Dc51020",234,0.962962962962963
"Dc52523",223,0.917695473251029
"Dc55481",183,0.753086419753086
"Dc58248",236,0.97119341563786
"Dc62188",234,0.962962962962963
"Dc67011",229,0.94238683127572
"locus002",110,0.452674897119342
"locus003",236,0.97119341563786
"locus004",240,0.987654320987654
"locus005",236,0.97119341563786
"locus006",231,0.950617283950617
"locus008",237,0.975308641975309
"locus013",237,0.975308641975309
"locus014",240,0.987654320987654
"locus022",238,0.979423868312757
"locus024",221,0.909465020576132
"locus025",221,0.909465020576132
"locus027",140,0.576131687242798
"locus030",228,0.938271604938272
"locus035",230,0.946502057613169
"locus038",208,0.8559670781893
"locus039",224,0.921810699588477
"locus040",202,0.831275720164609
"locus041",194,0.798353909465021
"locus043",61,0.251028806584362
"locus045",222,0.91358024691358
"locus047",235,0.967078189300412
"locus048",230,0.946502057613169
"locus053",228,0.938271604938272
"locus055",229,0.94238683127572
"locus056",237,0.975308641975309
"locus058",232,0.954732510288066
"locus060",238,0.979423868312757
"locus061",159,0.654320987654321
"locus062",235,0.967078189300412
"locus064",241,0.991769547325103
"locus065",237,0.975308641975309
"locus069",71,0.292181069958848
"locus073",224,0.921810699588477
"locus074",237,0.975308641975309
"locus076",197,0.810699588477366
"locus077",211,0.868312757201646
"locus080",194,0.798353909465021
"locus083",160,0.65843621399177
"locus088",237,0.975308641975309
"locus093",169,0.695473251028807
"locus096",239,0.983539094650206
"locus098",208,0.8559670781893
"locus100",240,0.987654320987654
"locus102",63,0.259259259259259
"locus106",220,0.905349794238683
"locus110",98,0.403292181069959
"locus116",208,0.8559670781893
"locus119",236,0.97119341563786
"locus120",242,0.995884773662551
"locus126",106,0.436213991769547
"locus128",192,0.790123456790123
"locus129",240,0.987654320987654
"locus130",144,0.592592592592593
"locus134",203,0.835390946502058
"locus135",233,0.958847736625514
"locus137",232,0.954732510288066
"locus139",241,0.991769547325103
"locus140",243,1
"locus146",227,0.934156378600823
"locus148",241,0.991769547325103
"locus151",169,0.695473251028807
"locus157",160,0.65843621399177
"locus161",235,0.967078189300412
"locus165",184,0.757201646090535
"locus170",240,0.987654320987654
"locus176",180,0.740740740740741
"locus184",235,0.967078189300412
"locus186",236,0.97119341563786
"locus188",192,0.790123456790123
"locus189",237,0.975308641975309
"locus190",236,0.97119341563786
"locus191",179,0.736625514403292
"locus192",204,0.839506172839506
"locus195",214,0.880658436213992
"locus202",239,0.983539094650206
"locus210",117,0.481481481481481
"locus215",175,0.720164609053498
"locus227",220,0.905349794238683
"locus229",30,0.123456790123457
"locus231",177,0.728395061728395
"locus235",240,0.987654320987654
"locus236",241,0.991769547325103
"locus237",239,0.983539094650206
"locus239",238,0.979423868312757
"locus248",242,0.995884773662551
"locus255",110,0.452674897119342
"locus256",199,0.818930041152263
"locus263",198,0.814814814814815
"locus264",240,0.987654320987654
"locus274",223,0.917695473251029
"locus280",206,0.847736625514403
"locus282",221,0.909465020576132
"locus286",202,0.831275720164609
"locus289",43,0.176954732510288
"locus291",243,1
"locus292",237,0.975308641975309
"locus296",233,0.958847736625514
"locus298",67,0.275720164609054
"locus301",214,0.880658436213992
"locus314",197,0.810699588477366
"locus321",223,0.917695473251029
"locus322",239,0.983539094650206
"locus323",227,0.934156378600823
"locus329",223,0.917695473251029
"locus332",240,0.987654320987654
"locus334",103,0.423868312757202
"locus349",113,0.465020576131687
"locus358",241,0.991769547325103
"locus359",201,0.82716049382716
"locus360",189,0.777777777777778
