"k","reps","mean.ln.k","sd.ln.k","ln.pk","ln.ppk","delta.k"
1,3,-38243.8333333333,0.152752523166147,NA,NA,NA
2,3,-38686.6666666667,218.127424532846,-442.833333333328,48.4666666666599,0.222194282862226
3,3,-39081.0333333333,106.910538925466,-394.366666666669,16.5666666666657,0.154958218648727
4,3,-39458.8333333333,165.373556934998,-377.800000000003,116.166666666664,0.702450070130166
5,3,-39952.8,565.992261431197,-493.966666666667,511.600000000006,0.903899284252311
6,3,-39935.1666666667,321.065823988373,17.6333333333387,182.733333333344,0.569146012064997
7,3,-40100.2666666667,159.073264043122,-165.100000000006,7.33333333334303,0.0461003511649519
8,3,-40258.0333333333,498.705136662272,-157.766666666663,138.899999999994,0.278521294024807
9,3,-40276.9,79.8173540027493,-18.8666666666686,250.266666666663,3.13549189638687
10,3,-40546.0333333333,394.107058213036,-269.133333333331,NA,NA
