"indiv","mixture_collection","assigned_population","assignment_probability"
"z0035352","In-water, CA","Bird's Head-Winter",0.996703566099171
"z0117088","In-water, Indonesia","Bird's Head-Summer",0.571774566266793
"z0117094","In-water, Indonesia","Bird's Head-Summer",0.775862324544903
"z0117103","In-water, Indonesia","Bird's Head-Summer",0.992411004897311
"z0178009","In-water, CA","Bird's Head-Winter",0.997880983037755
"z0178011","In-water, CA","Bird's Head-Winter",0.946217829459987
"z0178014","In-water, CA","Bird's Head-Winter",0.991150953021048
"z0207730","In-water, CA","Bird's Head-Winter",0.793905419416703
"z0207745","In-water, CA","Bird's Head-Winter",0.986801620879088
"z0210588","In-water, CA","Bird's Head-Winter",0.493948178004761
