"indiv","mixture_collection","assigned_population","assignment_probability"
"z0210588","In-water, CA","Bird's Head-Summer","0.007509"
"z0210588","In-water, CA","Bird's Head-Winter","0.4939"
"z0210588","In-water, CA","Malaysia","2.933e-16"
"z0210588","In-water, CA","PNG","0.4913"
"z0210588","In-water, CA","HaevoSI-Summer","7.669e-11"
"z0210588","In-water, CA","HaevoSI-Winter","8.121e-08"
"z0210588","In-water, CA","IsabelSI-South","0.007246"
"z0178009","In-water, CA","Bird's Head-Summer","0.001762"
"z0178009","In-water, CA","Bird's Head-Winter","0.9979"
"z0178009","In-water, CA","Malaysia","3.563e-13"
"z0178009","In-water, CA","PNG","2.545e-06"
"z0178009","In-water, CA","HaevoSI-Summer","1.218e-11"
"z0178009","In-water, CA","HaevoSI-Winter","2.629e-06"
"z0178009","In-water, CA","IsabelSI-South","0.0003521"
"z0207730","In-water, CA","Bird's Head-Summer","0.1951"
"z0207730","In-water, CA","Bird's Head-Winter","0.7939"
"z0207730","In-water, CA","Malaysia","3.794e-15"
"z0207730","In-water, CA","PNG","0.007242"
"z0207730","In-water, CA","HaevoSI-Summer","5.369e-09"
"z0207730","In-water, CA","HaevoSI-Winter","0.0006444"
"z0207730","In-water, CA","IsabelSI-South","0.003116"
"z0178011","In-water, CA","Bird's Head-Summer","0.04719"
"z0178011","In-water, CA","Bird's Head-Winter","0.9462"
"z0178011","In-water, CA","Malaysia","2.529e-12"
"z0178011","In-water, CA","PNG","0.005542"
"z0178011","In-water, CA","HaevoSI-Summer","2.016e-07"
"z0178011","In-water, CA","HaevoSI-Winter","1.304e-08"
"z0178011","In-water, CA","IsabelSI-South","0.001053"
"z0178014","In-water, CA","Bird's Head-Summer","0.008593"
"z0178014","In-water, CA","Bird's Head-Winter","0.9912"
"z0178014","In-water, CA","Malaysia","7.561e-15"
"z0178014","In-water, CA","PNG","3.561e-09"
"z0178014","In-water, CA","HaevoSI-Summer","1.246e-16"
"z0178014","In-water, CA","HaevoSI-Winter","1.074e-05"
"z0178014","In-water, CA","IsabelSI-South","0.0002451"
"z0035352","In-water, CA","Bird's Head-Summer","0.002962"
"z0035352","In-water, CA","Bird's Head-Winter","0.9967"
"z0035352","In-water, CA","Malaysia","5.636e-15"
"z0035352","In-water, CA","PNG","1.837e-06"
"z0035352","In-water, CA","HaevoSI-Summer","6.255e-12"
"z0035352","In-water, CA","HaevoSI-Winter","3.365e-05"
"z0035352","In-water, CA","IsabelSI-South","0.0002992"
"z0207745","In-water, CA","Bird's Head-Summer","0.001438"
"z0207745","In-water, CA","Bird's Head-Winter","0.9868"
"z0207745","In-water, CA","Malaysia","3.227e-13"
"z0207745","In-water, CA","PNG","0.01064"
"z0207745","In-water, CA","HaevoSI-Summer","5.673e-09"
"z0207745","In-water, CA","HaevoSI-Winter","7.72e-11"
"z0207745","In-water, CA","IsabelSI-South","0.001121"
"z0117088","In-water, Indonesia","Bird's Head-Summer","0.5718"
"z0117088","In-water, Indonesia","Bird's Head-Winter","0.02368"
"z0117088","In-water, Indonesia","Malaysia","1.67e-08"
"z0117088","In-water, Indonesia","PNG","0.000137"
"z0117088","In-water, Indonesia","HaevoSI-Summer","4.903e-05"
"z0117088","In-water, Indonesia","HaevoSI-Winter","9.468e-05"
"z0117088","In-water, Indonesia","IsabelSI-South","0.4043"
"z0117094","In-water, Indonesia","Bird's Head-Summer","0.7759"
"z0117094","In-water, Indonesia","Bird's Head-Winter","0.1235"
"z0117094","In-water, Indonesia","Malaysia","1.224e-13"
"z0117094","In-water, Indonesia","PNG","2.049e-05"
"z0117094","In-water, Indonesia","HaevoSI-Summer","6.999e-12"
"z0117094","In-water, Indonesia","HaevoSI-Winter","3.137e-06"
"z0117094","In-water, Indonesia","IsabelSI-South","0.1006"
"z0117103","In-water, Indonesia","Bird's Head-Summer","0.9924"
"z0117103","In-water, Indonesia","Bird's Head-Winter","0.003423"
"z0117103","In-water, Indonesia","Malaysia","1.38e-16"
"z0117103","In-water, Indonesia","PNG","4.428e-08"
"z0117103","In-water, Indonesia","HaevoSI-Summer","8.972e-10"
"z0117103","In-water, Indonesia","HaevoSI-Winter","2.907e-09"
"z0117103","In-water, Indonesia","IsabelSI-South","0.004166"
