"","indiv","collection","repunit","inferred_collection","inferred_repunit","scaled_likelihood","log_likelihood","z_score","n_non_miss_loci","n_miss_loci","missing_loci"
"1","z0037466","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Winter","Bird's Head-Winter",0.552555965568105,-145.757329947719,-0.362037124992077,149,1,"c(locus314_1 = 142)"
"2","z0037467","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.808351085006257,-132.624677516284,0.660386164147997,141,9,"c(Dc01018_1 = 1, Dc06503_1 = 8, Dc10003_1 = 15, Dc10878_1 = 17, Dc30071_1 = 33, Dc31007_1 = 34, locus027_1 = 66, locus093_1 = 92, locus314_1 = 142)"
"3","z0037468","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.938015340629224,-134.824040964546,1.07931805369843,148,2,"c(Dc06503_1 = 8, Dc31007_1 = 34)"
"4","z0037412","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Winter","Bird's Head-Winter",0.642087718020697,-138.616804520844,0.658960783672967,149,1,"c(locus314_1 = 142)"
"5","z0037417","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.578675776799671,-137.511808569327,0.44154587128394,146,4,"c(Dc06503_1 = 8, Dc10878_1 = 17, Dc31007_1 = 34, locus027_1 = 66)"
"6","z0037418","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Winter","Bird's Head-Winter",0.75367791734387,-131.103908819846,1.4595195367617,147,3,"c(locus027_1 = 66, locus130_1 = 102, locus165_1 = 112)"
"7","z0037419","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.785022043812191,-148.936629405598,-0.864994234373851,149,1,"c(locus314_1 = 142)"
"8","z0037422","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.730272978321001,-142.177198271135,-0.16365583770894,147,3,"c(locus027_1 = 66, locus083_1 = 90, locus130_1 = 102)"
"9","z0062622","Bird's Head-Summer","Bird's Head-Summer","IsabelSI-South","IsabelSI-South",0.500162214262764,-136.050665927661,0.94971306391339,150,0,"integer(0)"
"10","z0062627","Bird's Head-Summer","Bird's Head-Summer","IsabelSI-South","IsabelSI-South",0.589645240965052,-146.605979178772,-0.543447946470939,149,1,"c(locus314_1 = 142)"
"11","z0062630","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Winter","Bird's Head-Winter",0.431600821304036,-145.265480891495,-0.191177029080309,150,0,"integer(0)"
"12","z0062634","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Winter","Bird's Head-Winter",0.960359264650494,-134.437977105941,1.33352577174946,150,0,"integer(0)"
"13","z0062636","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.978372914945264,-148.665758178781,-0.716853360774235,150,0,"integer(0)"
"14","z0062680","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Winter","Bird's Head-Winter",0.586169809972021,-145.106416673754,-0.470011477481383,147,3,"c(Dc31007_1 = 34, locus130_1 = 102, locus165_1 = 112)"
"15","z0062681","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.884076638248285,-128.30621581771,1.96461007407023,148,2,"c(locus061_1 = 81, locus314_1 = 142)"
"16","z0076691","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.673323036928281,-160.903800481043,-2.41892946440026,150,0,"integer(0)"
"17","z0076693","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Winter","Bird's Head-Winter",0.831921226740183,-130.800171663511,1.8457927038883,150,0,"integer(0)"
"18","z0076695","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.669374832494518,-140.030795125865,0.392895028794324,149,1,"c(locus314_1 = 142)"
"19","z0076697","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.476153104974305,-144.26129783967,-0.104277712855082,150,0,"integer(0)"
"20","z0076699","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer","Bird's Head-Summer",0.854427983918279,-138.907828812838,0.358834305968017,148,2,"c(Dc06503_1 = 8, Dc41234_1 = 42)"
