"Indiv","loci.genoed","prop.genoed"
"z0006796",151,0.853107344632768
"z0006797",43,0.242937853107345
"z0006798",167,0.943502824858757
"z0006799",169,0.954802259887006
"z0006799b",149,0.84180790960452
"z0006800",162,0.915254237288136
"z0006801",151,0.853107344632768
"z0006802",173,0.977401129943503
"z0006802b",154,0.870056497175141
"z0006803",153,0.864406779661017
"z0006803b",124,0.700564971751412
"z0006805",166,0.937853107344633
"z0012480",142,0.80225988700565
"z0012480b",119,0.672316384180791
"z0012481",154,0.870056497175141
"z0012481b",153,0.864406779661017
"z0012482",154,0.870056497175141
"z0012483",163,0.92090395480226
"z0012484",150,0.847457627118644
"z0012485",169,0.954802259887006
"z0012486",153,0.864406779661017
"z0012487",145,0.819209039548023
"z0012488",147,0.830508474576271
"z0012489",140,0.790960451977401
"z0012489b",166,0.937853107344633
"z0012490",118,0.666666666666667
"z0012491",163,0.92090395480226
"z0012492",159,0.898305084745763
"z0012492b",162,0.915254237288136
"z0012493",145,0.819209039548023
"z0012494",153,0.864406779661017
"z0012496b",145,0.819209039548023
"z0012497",169,0.954802259887006
"z0012498",125,0.706214689265537
"z0012499",168,0.949152542372881
"z0012500",131,0.740112994350282
"z0012500b",150,0.847457627118644
"z0012501",122,0.689265536723164
"z0012502",93,0.525423728813559
"z0012503",154,0.870056497175141
"z0012504",171,0.966101694915254
"z0012505",133,0.751412429378531
"z0012506",144,0.813559322033898
"z0012507",149,0.84180790960452
"z0012508",158,0.892655367231638
"z0012509b",152,0.858757062146893
"z0012509c",157,0.887005649717514
"z0012511",153,0.864406779661017
"z0012513",61,0.344632768361582
"z0012514",165,0.932203389830508
"z0012514b",160,0.903954802259887
"z0012515",132,0.745762711864407
"z0012516",136,0.768361581920904
"z0012517",148,0.836158192090395
"z0012518",138,0.779661016949153
"z0012519",151,0.853107344632768
"z0012519b",140,0.790960451977401
"z0012520",119,0.672316384180791
"z0012520b",152,0.858757062146893
"z0012521",161,0.909604519774011
"z0012521b",155,0.875706214689266
"z0012522",151,0.853107344632768
"z0012523",140,0.790960451977401
"z0012524",146,0.824858757062147
"z0012525",152,0.858757062146893
"z0012527",172,0.971751412429379
"z0012527b",130,0.734463276836158
"z0012528",154,0.870056497175141
"z0016882",134,0.757062146892655
"z0016883",170,0.96045197740113
"z0016884",152,0.858757062146893
"z0016884b",157,0.887005649717514
"z0016885",152,0.858757062146893
"z0016886",135,0.76271186440678
"z0016887",137,0.774011299435028
"z0016888",145,0.819209039548023
"z0026450",144,0.813559322033898
"z0026450b",157,0.887005649717514
"z0026451",141,0.796610169491525
"z0026451b",128,0.72316384180791
"z0026452",140,0.790960451977401
"z0026452b",124,0.700564971751412
"z0026456",140,0.790960451977401
"z0026457",143,0.807909604519774
"z0026457b",153,0.864406779661017
"z0026458",139,0.785310734463277
"z0032021",169,0.954802259887006
"z0032021b",130,0.734463276836158
"z0032022",104,0.587570621468927
"z0032023",135,0.76271186440678
"z0032024",156,0.88135593220339
"z0032025",149,0.84180790960452
"z0032028",142,0.80225988700565
"z0032030",79,0.446327683615819
"z0032031",150,0.847457627118644
"z0035352",172,0.971751412429379
"z0037412",176,0.994350282485876
"z0037417",153,0.864406779661017
"z0037418",150,0.847457627118644
"z0037419",160,0.903954802259887
"z0037419b",130,0.734463276836158
"z0037422",160,0.903954802259887
"z0037463",172,0.971751412429379
"z0037464",165,0.932203389830508
"z0037466",161,0.909604519774011
"z0037467",146,0.824858757062147
"z0037468",156,0.88135593220339
"z0037471",159,0.898305084745763
"z0040942",171,0.966101694915254
"z0040943",140,0.790960451977401
"z0040945",167,0.943502824858757
"z0061449",138,0.779661016949153
"z0061450",136,0.768361581920904
"z0061452",118,0.666666666666667
"z0061452b",130,0.734463276836158
"z0061453",138,0.779661016949153
"z0061455",133,0.751412429378531
"z0061457",158,0.892655367231638
"z0061459",141,0.796610169491525
"z0061461",157,0.887005649717514
"z0061462",135,0.76271186440678
"z0061464",167,0.943502824858757
"z0061467",144,0.813559322033898
"z0061467b",152,0.858757062146893
"z0061468",146,0.824858757062147
"z0062622",172,0.971751412429379
"z0062622b",145,0.819209039548023
"z0062627",164,0.926553672316384
"z0062627b",135,0.76271186440678
"z0062630",160,0.903954802259887
"z0062630b",138,0.779661016949153
"z0062632",136,0.768361581920904
"z0062634",139,0.785310734463277
"z0062634b",140,0.790960451977401
"z0062636",147,0.830508474576271
"z0062636b",114,0.64406779661017
"z0062680",149,0.84180790960452
"z0062680b",121,0.68361581920904
"z0062681",171,0.966101694915254
"z0062684",131,0.740112994350282
"z0062686",136,0.768361581920904
"z0062687",162,0.915254237288136
"z0062687b",136,0.768361581920904
"z0062690",138,0.779661016949153
"z0062691",126,0.711864406779661
"z0062692",111,0.627118644067797
"z0062693",129,0.728813559322034
"z0062694",134,0.757062146892655
"z0062694b",137,0.774011299435028
"z0062697",133,0.751412429378531
"z0062700",115,0.649717514124294
"z0062701",129,0.728813559322034
"z0062702",149,0.84180790960452
"z0062704",137,0.774011299435028
"z0062707",123,0.694915254237288
"z0062708",140,0.790960451977401
"z0062709",133,0.751412429378531
"z0062710",134,0.757062146892655
"z0062712",135,0.76271186440678
"z0062712b",142,0.80225988700565
"z0062715",135,0.76271186440678
"z0062716",148,0.836158192090395
"z0062717",141,0.796610169491525
"z0062718",143,0.807909604519774
"z0062720",112,0.632768361581921
"z0062721",136,0.768361581920904
"z0062724",156,0.88135593220339
"z0062725",133,0.751412429378531
"z0062726",161,0.909604519774011
"z0062726b",152,0.858757062146893
"z0062727",145,0.819209039548023
"z0062729",146,0.824858757062147
"z0062730",134,0.757062146892655
"z0062731",146,0.824858757062147
"z0062735",132,0.745762711864407
"z0062736",147,0.830508474576271
"z0062737",156,0.88135593220339
"z0062738",158,0.892655367231638
"z0062740",140,0.790960451977401
"z0062742",148,0.836158192090395
"z0062742b",144,0.813559322033898
"z0062743",174,0.983050847457627
"z0062743b",150,0.847457627118644
"z0062744",143,0.807909604519774
"z0062751",133,0.751412429378531
"z0062751b",130,0.734463276836158
"z0062752",174,0.983050847457627
"z0062752b",163,0.92090395480226
"z0062757",148,0.836158192090395
"z0062761",156,0.88135593220339
"z0062761b",164,0.926553672316384
"z0062762",136,0.768361581920904
"z0062763",144,0.813559322033898
"z0062764",146,0.824858757062147
"z0062765",137,0.774011299435028
"z0062766",162,0.915254237288136
"z0062766b",151,0.853107344632768
"z0062767",150,0.847457627118644
"z0062769",140,0.790960451977401
"z0062770",132,0.745762711864407
"z0062771",140,0.790960451977401
"z0062772",133,0.751412429378531
"z0062773",130,0.734463276836158
"z0062775",163,0.92090395480226
