"locus","inds.genoed","prop.genoed"
"Dc01018",205,0.714285714285714
"Dc01661",280,0.975609756097561
"Dc01707",283,0.986062717770035
"Dc01784",278,0.968641114982578
"Dc02951",285,0.993031358885017
"Dc03456",287,1
"Dc03556",282,0.982578397212544
"Dc07300",286,0.996515679442509
"Dc07937",263,0.916376306620209
"Dc08054",287,1
"Dc08189",240,0.836236933797909
"Dc08463",287,1
"Dc08865",287,1
"Dc10390",287,1
"Dc10878",158,0.550522648083624
"Dc10885",282,0.982578397212544
"Dc11203",286,0.996515679442509
"Dc11714",254,0.885017421602787
"Dc13159",245,0.853658536585366
"Dc13592",258,0.898954703832753
"Dc14022",270,0.940766550522648
"Dc14945",286,0.996515679442509
"Dc16747",220,0.766550522648084
"Dc18951",287,1
"Dc20232",276,0.961672473867596
"Dc22883",210,0.731707317073171
"Dc22887",280,0.975609756097561
"Dc27955",199,0.693379790940767
"Dc28124",286,0.996515679442509
"Dc28776",259,0.902439024390244
"Dc30071",278,0.968641114982578
"Dc33714",280,0.975609756097561
"Dc33907",263,0.916376306620209
"Dc34902",282,0.982578397212544
"Dc35779",280,0.975609756097561
"Dc36571",247,0.860627177700348
"Dc36616",281,0.979094076655052
"Dc40235",280,0.975609756097561
"Dc46984",286,0.996515679442509
"Dc47572",287,1
"Dc47935",282,0.982578397212544
"Dc48207",233,0.81184668989547
"Dc48950",287,1
"Dc49080",287,1
"Dc49184",287,1
"Dc51020",285,0.993031358885017
"Dc52523",261,0.909407665505226
"Dc55481",213,0.742160278745645
"Dc58248",284,0.989547038327526
"Dc62188",285,0.993031358885017
"Dc67011",283,0.986062717770035
"locus003",287,1
"locus004",284,0.989547038327526
"locus005",282,0.982578397212544
"locus006",286,0.996515679442509
"locus008",286,0.996515679442509
"locus013",285,0.993031358885017
"locus014",287,1
"locus022",287,1
"locus024",274,0.954703832752613
"locus025",276,0.961672473867596
"locus030",283,0.986062717770035
"locus035",285,0.993031358885017
"locus038",252,0.878048780487805
"locus039",274,0.954703832752613
"locus040",238,0.829268292682927
"locus041",238,0.829268292682927
"locus045",274,0.954703832752613
"locus047",286,0.996515679442509
"locus048",282,0.982578397212544
"locus053",280,0.975609756097561
"locus055",285,0.993031358885017
"locus056",287,1
"locus058",283,0.986062717770035
"locus060",287,1
"locus061",186,0.64808362369338
"locus062",284,0.989547038327526
"locus064",287,1
"locus065",287,1
"locus073",274,0.954703832752613
"locus074",287,1
"locus076",234,0.815331010452962
"locus077",261,0.909407665505226
"locus080",245,0.853658536585366
"locus083",203,0.707317073170732
"locus088",286,0.996515679442509
"locus093",190,0.662020905923345
"locus096",286,0.996515679442509
"locus098",246,0.857142857142857
"locus100",287,1
"locus106",275,0.958188153310105
"locus116",233,0.81184668989547
"locus119",287,1
"locus120",287,1
"locus128",235,0.818815331010453
"locus129",287,1
"locus130",175,0.609756097560976
"locus134",255,0.888501742160279
"locus135",281,0.979094076655052
"locus137",287,1
"locus139",287,1
"locus140",287,1
"locus146",280,0.975609756097561
"locus148",287,1
"locus151",200,0.696864111498258
"locus157",184,0.641114982578397
"locus161",283,0.986062717770035
"locus165",235,0.818815331010453
"locus170",287,1
"locus176",226,0.787456445993031
"locus184",287,1
"locus186",285,0.993031358885017
"locus188",242,0.843205574912892
"locus189",286,0.996515679442509
"locus190",287,1
"locus191",223,0.777003484320557
"locus192",255,0.888501742160279
"locus195",262,0.912891986062718
"locus202",287,1
"locus215",217,0.75609756097561
"locus227",272,0.947735191637631
"locus231",203,0.707317073170732
"locus235",287,1
"locus236",286,0.996515679442509
"locus237",287,1
"locus239",286,0.996515679442509
"locus248",287,1
"locus256",241,0.839721254355401
"locus263",247,0.860627177700348
"locus264",287,1
"locus274",279,0.97212543554007
"locus280",247,0.860627177700348
"locus282",275,0.958188153310105
"locus286",249,0.867595818815331
"locus291",287,1
"locus292",286,0.996515679442509
"locus296",286,0.996515679442509
"locus301",266,0.926829268292683
"locus314",241,0.839721254355401
"locus321",276,0.961672473867596
"locus322",287,1
"locus323",282,0.982578397212544
"locus329",275,0.958188153310105
"locus332",286,0.996515679442509
"locus358",287,1
"locus359",253,0.881533101045296
"locus360",234,0.815331010452962
