"locus","inds.genoed","prop.genoed"
"Dc00544",82,0.263665594855305
"Dc01018",205,0.659163987138264
"Dc01661",286,0.919614147909968
"Dc01707",286,0.919614147909968
"Dc01784",283,0.909967845659164
"Dc02951",295,0.948553054662379
"Dc03456",295,0.948553054662379
"Dc03556",288,0.92604501607717
"Dc03887",44,0.141479099678457
"Dc05864",108,0.347266881028939
"Dc06503",126,0.405144694533762
"Dc07300",300,0.964630225080386
"Dc07937",266,0.855305466237942
"Dc08054",296,0.951768488745981
"Dc08189",242,0.778135048231511
"Dc08463",292,0.938906752411576
"Dc08578",95,0.305466237942122
"Dc08865",299,0.961414790996785
"Dc10003",141,0.453376205787781
"Dc10390",301,0.967845659163987
"Dc10878",158,0.508038585209003
"Dc10885",285,0.916398713826367
"Dc11062",68,0.218649517684887
"Dc11203",300,0.964630225080386
"Dc11295",59,0.189710610932476
"Dc11714",260,0.836012861736334
"Dc12329",49,0.157556270096463
"Dc13159",248,0.797427652733119
"Dc13592",260,0.836012861736334
"Dc14022",274,0.881028938906752
"Dc14945",290,0.932475884244373
"Dc16747",223,0.717041800643087
"Dc16962",62,0.19935691318328
"Dc18951",298,0.958199356913183
"Dc20232",278,0.893890675241158
"Dc21465",49,0.157556270096463
"Dc21637",35,0.112540192926045
"Dc22013",54,0.173633440514469
"Dc22883",212,0.681672025723473
"Dc22887",282,0.906752411575563
"Dc27955",199,0.639871382636656
"Dc28124",295,0.948553054662379
"Dc28776",261,0.839228295819936
"Dc30071",281,0.903536977491961
"Dc31007",122,0.392282958199357
"Dc33714",283,0.909967845659164
"Dc33907",266,0.855305466237942
"Dc34902",290,0.932475884244373
"Dc35779",283,0.909967845659164
"Dc36571",248,0.797427652733119
"Dc36616",288,0.92604501607717
"Dc36767",109,0.35048231511254
"Dc40235",281,0.903536977491961
"Dc41234",131,0.421221864951768
"Dc46984",296,0.951768488745981
"Dc47572",301,0.967845659163987
"Dc47935",291,0.935691318327974
"Dc48207",234,0.752411575562701
"Dc48950",303,0.97427652733119
"Dc49080",302,0.971061093247588
"Dc49184",301,0.967845659163987
"Dc51020",292,0.938906752411576
"Dc52523",268,0.861736334405145
"Dc55481",215,0.691318327974277
"Dc58248",295,0.948553054662379
"Dc62188",293,0.942122186495177
"Dc67011",287,0.922829581993569
"locus002",134,0.430868167202572
"locus003",295,0.948553054662379
"locus004",298,0.958199356913183
"locus005",292,0.938906752411576
"locus006",289,0.929260450160772
"locus008",296,0.951768488745981
"locus013",294,0.945337620578778
"locus014",299,0.961414790996785
"locus016",287,0.922829581993569
"locus019",229,0.736334405144695
"locus022",297,0.954983922829582
"locus024",275,0.884244372990354
"locus025",277,0.890675241157556
"locus027",148,0.47588424437299
"locus030",285,0.916398713826367
"locus035",289,0.929260450160772
"locus038",254,0.816720257234727
"locus039",277,0.890675241157556
"locus040",240,0.771704180064309
"locus041",239,0.768488745980707
"locus043",52,0.167202572347267
"locus045",276,0.887459807073955
"locus047",293,0.942122186495177
"locus048",286,0.919614147909968
"locus053",282,0.906752411575563
"locus055",287,0.922829581993569
"locus056",296,0.951768488745981
"locus058",288,0.92604501607717
"locus060",298,0.958199356913183
"locus061",187,0.60128617363344
"locus062",292,0.938906752411576
"locus064",301,0.967845659163987
"locus065",297,0.954983922829582
"locus069",70,0.22508038585209
"locus073",278,0.893890675241158
"locus074",296,0.951768488745981
"locus076",235,0.755627009646302
"locus077",264,0.84887459807074
"locus080",247,0.794212218649518
"locus083",204,0.655948553054662
"locus088",296,0.951768488745981
"locus093",191,0.614147909967846
"locus096",297,0.954983922829582
"locus098",246,0.790996784565916
"locus100",299,0.961414790996785
"locus102",49,0.157556270096463
"locus106",276,0.887459807073955
"locus110",106,0.340836012861736
"locus111",4,0.0128617363344051
"locus116",235,0.755627009646302
"locus119",296,0.951768488745981
"locus120",301,0.967845659163987
"locus126",110,0.353697749196141
"locus128",236,0.758842443729904
"locus129",299,0.961414790996785
"locus130",176,0.565916398713826
"locus134",256,0.823151125401929
"locus135",289,0.929260450160772
"locus137",291,0.935691318327974
"locus139",300,0.964630225080386
"locus140",305,0.980707395498392
"locus146",283,0.909967845659164
"locus148",303,0.97427652733119
"locus151",204,0.655948553054662
"locus155",1,0.00321543408360129
"locus157",185,0.594855305466238
"locus161",291,0.935691318327974
"locus165",238,0.765273311897106
"locus170",300,0.964630225080386
"locus176",228,0.733118971061093
"locus184",295,0.948553054662379
"locus186",294,0.945337620578778
"locus188",244,0.784565916398714
"locus189",298,0.958199356913183
"locus190",297,0.954983922829582
"locus191",224,0.720257234726688
"locus192",257,0.82636655948553
"locus195",266,0.855305466237942
"locus201",2,0.00643086816720257
"locus202",298,0.958199356913183
"locus210",121,0.389067524115756
"locus215",219,0.704180064308682
"locus227",273,0.877813504823151
"locus229",25,0.0803858520900322
"locus231",203,0.652733118971061
"locus235",299,0.961414790996785
"locus236",302,0.971061093247588
"locus237",298,0.958199356913183
"locus239",296,0.951768488745981
"locus248",303,0.97427652733119
"locus255",103,0.331189710610932
"locus256",245,0.787781350482315
"locus263",249,0.80064308681672
"locus264",299,0.961414790996785
"locus271",10,0.0321543408360129
"locus274",280,0.90032154340836
"locus280",248,0.797427652733119
"locus282",277,0.890675241157556
"locus286",254,0.816720257234727
"locus289",37,0.118971061093248
"locus291",310,0.996784565916399
"locus292",299,0.961414790996785
"locus296",291,0.935691318327974
"locus298",42,0.135048231511254
"locus301",267,0.858520900321543
"locus314",251,0.807073954983923
"locus321",279,0.897106109324759
"locus322",298,0.958199356913183
"locus323",286,0.919614147909968
"locus329",277,0.890675241157556
"locus332",299,0.961414790996785
"locus334",90,0.289389067524116
"locus349",143,0.459807073954984
"locus358",300,0.964630225080386
"locus359",257,0.82636655948553
"locus360",235,0.755627009646302
