"locus","inds.genoed","prop.genoed"
"Dc00544",82,0.272425249169435
"Dc01018",205,0.681063122923588
"Dc01661",285,0.946843853820598
"Dc01707",285,0.946843853820598
"Dc01784",282,0.93687707641196
"Dc02951",293,0.973421926910299
"Dc03456",294,0.976744186046512
"Dc03556",287,0.953488372093023
"Dc03887",44,0.146179401993355
"Dc05864",108,0.358803986710963
"Dc06503",126,0.418604651162791
"Dc07300",298,0.990033222591362
"Dc07937",265,0.880398671096346
"Dc08054",295,0.980066445182724
"Dc08189",241,0.800664451827243
"Dc08463",291,0.966777408637874
"Dc08578",95,0.315614617940199
"Dc08865",298,0.990033222591362
"Dc10003",141,0.46843853820598
"Dc10390",299,0.993355481727575
"Dc10878",158,0.524916943521595
"Dc10885",284,0.943521594684385
"Dc11062",68,0.225913621262458
"Dc11203",299,0.993355481727575
"Dc11295",59,0.196013289036545
"Dc11714",259,0.86046511627907
"Dc12329",49,0.162790697674419
"Dc13159",247,0.820598006644518
"Dc13592",260,0.863787375415282
"Dc14022",273,0.906976744186046
"Dc14945",289,0.960132890365448
"Dc16747",222,0.737541528239203
"Dc16962",62,0.205980066445183
"Dc18951",297,0.98671096345515
"Dc20232",277,0.920265780730897
"Dc21465",49,0.162790697674419
"Dc21637",35,0.116279069767442
"Dc22013",54,0.179401993355482
"Dc22883",211,0.700996677740864
"Dc22887",281,0.933554817275748
"Dc27955",199,0.661129568106312
"Dc28124",293,0.973421926910299
"Dc28776",260,0.863787375415282
"Dc30071",280,0.930232558139535
"Dc31007",121,0.401993355481728
"Dc33714",282,0.93687707641196
"Dc33907",265,0.880398671096346
"Dc34902",289,0.960132890365448
"Dc35779",282,0.93687707641196
"Dc36571",248,0.823920265780731
"Dc36616",287,0.953488372093023
"Dc36767",109,0.362126245847176
"Dc40235",280,0.930232558139535
"Dc41234",131,0.435215946843854
"Dc46984",295,0.980066445182724
"Dc47572",297,0.98671096345515
"Dc47935",290,0.963455149501661
"Dc48207",233,0.774086378737541
"Dc48950",301,1
"Dc49080",300,0.996677740863787
"Dc49184",299,0.993355481727575
"Dc51020",291,0.966777408637874
"Dc52523",267,0.887043189368771
"Dc55481",214,0.710963455149502
"Dc58248",293,0.973421926910299
"Dc62188",292,0.970099667774086
"Dc67011",286,0.950166112956811
"locus002",133,0.441860465116279
"locus003",294,0.976744186046512
"locus004",295,0.980066445182724
"locus005",291,0.966777408637874
"locus006",288,0.956810631229236
"locus008",295,0.980066445182724
"locus013",293,0.973421926910299
"locus014",298,0.990033222591362
"locus016",285,0.946843853820598
"locus022",296,0.983388704318937
"locus024",274,0.910299003322259
"locus025",276,0.916943521594684
"locus027",147,0.488372093023256
"locus030",284,0.943521594684385
"locus035",288,0.956810631229236
"locus038",253,0.840531561461794
"locus039",276,0.916943521594684
"locus040",239,0.794019933554817
"locus041",238,0.790697674418605
"locus043",52,0.172757475083056
"locus045",275,0.913621262458472
"locus047",292,0.970099667774086
"locus048",285,0.946843853820598
"locus053",281,0.933554817275748
"locus055",286,0.950166112956811
"locus056",295,0.980066445182724
"locus058",287,0.953488372093023
"locus060",296,0.983388704318937
"locus061",186,0.617940199335548
"locus062",291,0.966777408637874
"locus064",299,0.993355481727575
"locus065",295,0.980066445182724
"locus069",69,0.229235880398671
"locus073",277,0.920265780730897
"locus074",295,0.980066445182724
"locus076",234,0.777408637873754
"locus077",263,0.87375415282392
"locus080",246,0.817275747508306
"locus083",203,0.674418604651163
"locus088",294,0.976744186046512
"locus093",190,0.631229235880399
"locus096",296,0.983388704318937
"locus098",246,0.817275747508306
"locus100",298,0.990033222591362
"locus102",49,0.162790697674419
"locus106",275,0.913621262458472
"locus110",105,0.348837209302326
"locus116",235,0.780730897009967
"locus119",294,0.976744186046512
"locus120",300,0.996677740863787
"locus126",109,0.362126245847176
"locus128",235,0.780730897009967
"locus129",298,0.990033222591362
"locus130",175,0.581395348837209
"locus134",255,0.847176079734219
"locus135",288,0.956810631229236
"locus137",290,0.963455149501661
"locus139",299,0.993355481727575
"locus140",301,1
"locus146",282,0.93687707641196
"locus148",299,0.993355481727575
"locus151",203,0.674418604651163
"locus157",184,0.611295681063123
"locus161",290,0.963455149501661
"locus165",237,0.787375415282392
"locus170",298,0.990033222591362
"locus176",227,0.754152823920266
"locus184",293,0.973421926910299
"locus186",293,0.973421926910299
"locus188",243,0.807308970099668
"locus189",295,0.980066445182724
"locus190",294,0.976744186046512
"locus191",223,0.740863787375415
"locus192",256,0.850498338870432
"locus195",265,0.880398671096346
"locus202",297,0.98671096345515
"locus210",120,0.398671096345515
"locus215",218,0.724252491694352
"locus227",272,0.903654485049834
"locus231",203,0.674418604651163
"locus235",298,0.990033222591362
"locus236",298,0.990033222591362
"locus237",297,0.98671096345515
"locus239",295,0.980066445182724
"locus248",300,0.996677740863787
"locus255",103,0.3421926910299
"locus256",244,0.81063122923588
"locus263",248,0.823920265780731
"locus264",298,0.990033222591362
"locus274",279,0.926910299003322
"locus280",247,0.820598006644518
"locus282",276,0.916943521594684
"locus286",253,0.840531561461794
"locus289",37,0.122923588039867
"locus291",301,1
"locus292",295,0.980066445182724
"locus296",290,0.963455149501661
"locus298",41,0.136212624584718
"locus301",266,0.883720930232558
"locus314",250,0.830564784053156
"locus321",278,0.92358803986711
"locus322",297,0.98671096345515
"locus323",285,0.946843853820598
"locus329",276,0.916943521594684
"locus332",297,0.98671096345515
"locus334",90,0.299003322259136
"locus349",143,0.475083056478405
"locus358",299,0.993355481727575
"locus359",256,0.850498338870432
"locus360",234,0.777408637873754
