Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
216918	5	5	2	3	X	5	X	2	1	1	2	X	18	134	2	X	8	2	2	1	31	5	27	X	1	4	X	1	X	X	2	3	33
12491	X	4	2	5	1	4	X	X	6	1	X	3	11	248	X	X	4	4	X	3	331	16	44	2	X	31	X	3	2	3	1	1	119
37468	2	X	2	2	3	6	1	3	X	1	1	8	3	191	1	X	7	2	7	3	742	6	67	2	2	1	X	3	X	6	1	7	214
134108	12	1	11	27	8	32	4	5	9	10	2	8	6	220	2	X	2	5	11	20	761	21	113	1	3	2	X	6	X	5	1	6	257
102589	16	7	13	13	X	16	1	4	2	4	X	27	10	322	1	X	4	7	1	12	616	17	87	4	2	1	X	4	4	X	2	17	303
216904	5	1	13	26	2	13	2	3	8	22	4	6	21	484	1	X	7	10	1	11	579	28	88	5	X	5	X	10	1	2	10	2	169
26451	8	X	208	18	2	14	1	4	X	14	X	13	8	296	1	X	1	14	1	14	1213	14	140	7	2	X	X	7	1	4	X	5	328
76695	30	2	14	32	3	40	2	7	14	18	2	7	18	451	X	X	7	7	2	21	896	35	184	5	6	6	X	8	2	X	2	9	292
12527	28	1	9	303	3	42	57	5	47	48	1	19	20	454	1	X	46	4	9	28	406	347	142	10	9	7	X	8	4	6	5	8	198
32022	X	X	2	5	1	6	X	X	6	4	1	X	1	76	X	X	2	3	1	3	338	6	29	X	X	28	X	2	X	X	X	1	86
216929	1	1	X	X	X	12	X	X	3	X	1	X	X	9	X	X	7	1	X	2	2	X	4	X	1	X	X	X	X	X	X	X	5
62681	5	1	61	21	2	18	9	1	6	8	1	5	14	181	X	X	44	4	5	7	212	22	59	2	1	3	X	13	1	4	4	7	115
6797	X	X	3	13	X	68	X	X	29	1	X	7	2	18	X	X	19	2	X	5	32	1	10	X	9	X	X	X	X	X	1	3	11
216930	17	2	6	7	2	17	2	4	1	19	3	8	13	446	1	X	4	11	1	13	494	17	107	3	2	2	X	9	X	X	3	6	252
62737	10	X	7	16	3	14	X	3	4	3	2	9	7	152	X	X	1	X	2	11	368	9	73	3	3	4	X	2	2	3	3	2	132
37471	9	X	2	12	X	45	X	4	4	7	X	7	6	183	X	X	12	5	5	11	335	9	78	1	3	3	X	3	1	7	2	12	140
12494	17	X	4	17	4	13	1	7	2	11	1	11	6	262	X	X	3	7	3	8	841	17	121	3	X	42	X	2	1	1	X	5	237
134111	3	X	5	6	4	9	X	7	2	5	X	8	1	211	X	X	3	8	12	12	786	8	77	X	2	31	X	7	X	1	X	2	208
37412	10	1	5	27	2	21	4	5	7	13	4	20	11	740	1	X	9	7	1	19	809	43	199	14	2	11	X	13	4	6	2	13	412
12522	2	X	X	3	X	X	X	1	X	X	X	4	6	267	X	X	X	2	X	X	509	3	13	1	X	21	X	2	X	2	X	X	151
37469	1	X	X	X	X	4	X	X	X	X	X	2	X	2	X	X	6	1	X	2	6	X	1	X	X	X	X	X	X	X	X	X	4
216905	X	X	X	1	X	2	X	X	2	X	X	1	1	3	X	X	8	X	X	X	3	X	X	X	X	1	X	1	X	X	X	X	1
12490	4	X	4	12	X	7	3	X	2	5	2	6	6	142	X	X	X	3	1	14	350	13	77	2	2	4	X	7	2	2	1	2	154
37417	1	X	1	6	1	14	1	1	7	1	1	6	6	232	1	X	6	6	3	5	403	4	62	2	2	X	X	2	X	2	X	10	169
207745	5	2	1	X	3	6	X	X	1	2	X	11	9	205	X	X	1	1	1	8	299	5	41	4	X	1	X	6	X	3	4	3	122
