Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	147	109	139	117	6	182	99	134	166	131	104	30	177	134	113	X	48	154	6	54	31	113	32	34	4	22	X	25	25	2	23	17	33
	311	102	200	182	23	518	228	294	199	369	243	86	225	249	242	X	37	296	3	215	331	189	59	170	14	66	X	59	173	11	62	51	119
	461	58	212	77	26	335	77	458	99	387	202	101	97	193	145	X	14	352	10	665	743	190	89	120	5	48	X	44	66	7	25	97	214
	658	56	283	91	141	363	60	1084	95	400	189	220	67	222	117	X	7	510	27	1211	761	394	149	136	18	97	X	70	71	9	13	140	257
	603	136	258	178	49	797	201	721	278	649	264	104	204	323	281	X	21	449	8	769	617	305	121	311	11	140	X	91	159	5	29	167	303
	887	259	479	366	70	896	398	721	439	982	609	95	409	485	388	X	57	749	13	440	579	558	119	351	8	145	X	108	172	121	71	89	170
	995	95	403	146	85	493	93	1512	144	692	264	326	115	296	194	X	7	901	26	2165	1214	503	175	231	10	82	X	101	124	142	27	220	328
	883	184	406	225	103	882	253	880	311	809	392	227	262	451	343	X	46	742	24	1255	896	489	229	357	23	194	X	123	162	22	41	189	292
	512	294	262	577	100	572	461	504	526	456	246	170	262	455	256	X	115	492	41	790	406	613	172	393	81	129	X	115	159	117	70	144	198
	241	22	89	38	32	100	16	370	42	156	62	54	17	76	31	X	5	211	10	509	338	102	34	43	3	28	X	22	21	33	4	28	86
	27	5	4	11	X	33	11	32	25	11	22	4	17	9	13	X	7	14	X	9	2	15	4	11	3	2	X	3	2	X	X	X	5
	222	133	135	207	29	337	149	155	275	273	172	78	199	181	125	X	88	204	7	228	212	140	82	143	22	59	X	69	92	18	45	67	115
	46	7	22	25	11	92	13	28	42	41	18	17	14	18	9	X	20	38	1	49	32	17	10	10	12	8	X	7	7	3	2	7	11
	979	159	585	286	70	903	285	1107	369	1070	656	60	308	454	374	X	29	850	10	600	495	702	144	311	22	96	X	100	161	6	41	121	252
	361	57	181	95	61	230	67	346	101	298	162	112	74	152	130	X	6	302	12	450	368	182	90	150	9	66	X	26	57	58	23	60	132
	335	63	177	119	46	398	111	360	146	337	179	80	100	183	157	X	20	262	12	477	336	200	102	150	10	65	X	39	55	8	16	79	140
	691	74	301	124	66	450	87	910	163	512	171	217	112	262	156	X	13	645	26	1652	841	279	144	220	10	78	X	66	91	19	30	153	237
	560	57	240	60	98	222	45	804	51	301	146	152	43	211	93	X	11	449	20	1153	786	273	100	94	12	66	X	53	40	5	5	116	208
	1115	133	385	243	108	1305	343	1424	353	789	497	462	318	742	688	X	38	539	26	917	809	489	255	638	46	217	X	160	284	29	101	365	412
	289	30	78	52	7	435	152	487	110	71	251	135	158	267	209	X	18	126	5	41	509	185	18	168	1	39	X	58	102	116	25	51	151
	4	X	1	2	X	5	1	2	2	1	3	3	X	2	4	X	6	4	X	2	6	X	1	3	X	X	X	1	1	X	X	X	4
	13	X	2	6	X	10	6	5	4	8	5	2	8	3	4	X	9	9	X	X	3	4	X	1	X	5	X	1	3	X	1	X	1
	409	44	133	58	45	162	60	505	86	176	103	134	48	142	66	X	6	363	18	854	350	236	97	99	7	43	X	31	36	92	15	52	154
	387	48	143	105	36	376	105	567	141	258	147	125	107	232	170	X	11	262	13	498	403	176	80	151	7	51	X	58	86	56	31	79	169
	587	62	224	136	19	577	155	577	186	614	341	55	159	205	215	X	9	396	4	181	299	269	53	203	5	92	X	63	120	17	33	56	122
	643	51	292	86	46	235	50	897	99	441	159	171	55	181	108	X	3	522	20	1437	705	315	105	136	7	43	X	58	56	13	3	90	225
	10	2	1	X	X	10	X	11	1	4	3	1	3	3	8	X	7	4	X	2	3	3	X	4	X	X	X	X	2	X	1	1	2
	2	1	1	X	1	14	4	6	1	1	1	1	1	6	3	X	13	X	X	X	3	1	X	3	X	1	X	2	6	X	2	1	X
	677	62	289	85	64	339	67	994	128	470	165	202	88	209	125	X	8	560	21	1609	766	338	117	175	7	88	X	77	81	13	12	133	290
	755	157	375	209	118	558	206	763	240	681	376	154	204	407	283	X	48	624	22	900	673	415	201	281	29	145	X	86	116	116	38	132	293
	X	X	X	X	X	1	X	X	1	X	X	1	X	1	1	X	X	1	X	1	1	1	X	1	X	X	X	X	X	X	X	X	X
	106	49	75	56	3	159	72	142	69	121	84	32	84	72	55	X	8	108	X	86	39	99	21	37	3	37	X	18	29	3	20	15	46
	311	31	111	49	72	199	46	354	58	205	100	87	39	131	77	X	8	293	11	493	300	169	87	94	9	35	X	36	32	43	11	56	110
	630	72	277	106	90	369	77	734	152	449	180	178	94	265	176	X	11	514	15	1145	869	252	158	159	27	109	X	64	71	14	22	138	271
	655	104	338	132	48	484	159	595	246	614	253	88	159	313	246	X	17	487	13	771	786	289	127	233	14	121	X	62	116	13	30	134	277
	724	192	398	258	22	753	268	648	310	817	611	98	279	405	343	X	30	542	8	280	437	425	84	276	9	112	X	80	113	79	58	99	202
	696	52	265	108	62	319	61	1073	105	511	184	244	67	151	127	X	11	527	21	1657	638	342	94	153	9	75	X	79	72	87	17	144	251
	434	87	228	125	64	388	131	325	196	384	194	69	144	238	148	X	25	367	7	543	446	167	119	163	19	80	X	41	72	35	20	71	147
	1074	113	436	223	111	902	153	1435	296	858	313	367	156	449	280	X	29	904	40	2489	1106	535	183	337	20	138	X	165	164	24	46	289	388
	316	65	145	86	43	263	59	265	98	286	129	44	68	136	121	X	14	232	14	387	263	147	78	104	14	52	X	29	67	4	18	44	120
	776	184	320	275	77	888	333	699	407	545	378	173	259	419	324	X	65	580	17	822	524	390	229	371	40	168	X	106	197	208	78	178	213
	584	48	249	74	72	362	92	1442	115	519	122	295	100	345	95	X	13	367	24	1108	578	326	153	178	9	86	X	55	58	7	15	145	240
	421	92	223	116	57	280	103	353	158	412	192	105	88	187	148	X	40	390	7	558	508	171	89	126	19	88	X	50	57	10	27	77	158
	310	86	102	107	25	685	158	401	124	305	153	94	124	249	259	X	27	227	7	369	295	146	86	218	7	79	X	77	75	10	37	127	124
	958	219	523	395	39	1491	511	1087	427	1010	836	123	588	688	531	X	44	931	10	400	500	779	117	511	12	181	X	126	217	6	152	105	266
	186	151	92	200	27	199	134	106	187	233	120	43	166	105	87	X	50	167	17	171	121	112	52	155	12	49	X	49	41	5	46	56	65
	713	72	301	112	84	363	64	971	144	531	162	213	84	251	134	X	4	646	24	2110	1008	306	134	177	8	66	X	61	73	138	18	171	258
	690	53	284	119	50	361	68	889	118	485	161	150	77	258	137	X	3	583	27	1915	796	290	88	158	6	77	X	69	91	5	22	114	241
	1054	245	584	404	86	1813	400	1187	683	1170	577	131	565	768	559	X	37	892	18	1072	810	756	243	495	31	241	X	142	196	140	54	180	254
	563	29	215	84	100	244	74	766	93	340	154	88	64	197	105	X	4	446	14	975	511	301	128	121	13	67	X	58	48	8	9	109	222
	568	78	270	101	28	373	71	813	152	488	200	215	107	217	137	X	9	516	14	811	652	208	48	167	4	66	X	85	70	6	23	133	250
	687	81	325	89	83	330	84	883	142	483	211	157	93	210	135	X	6	600	24	1355	716	288	139	172	12	102	X	69	84	6	16	116	215
	503	101	241	162	72	367	154	274	202	501	261	69	135	261	170	X	51	449	9	549	680	226	139	191	25	74	X	61	60	43	39	61	137
	321	66	176	135	7	251	98	216	161	340	241	30	152	191	128	X	25	288	1	86	136	192	28	82	2	36	X	38	71	11	13	34	73
	416	79	223	114	58	327	109	428	136	399	193	97	91	184	159	X	15	326	10	572	428	225	101	142	12	73	X	59	60	7	17	69	168
	929	158	497	268	158	722	188	1144	340	906	324	330	189	378	287	X	38	924	35	1794	1067	517	257	314	35	144	X	103	148	18	37	220	365
	182	46	90	70	24	146	52	114	93	193	93	47	49	71	70	X	19	139	8	188	170	115	67	73	9	30	X	17	32	4	8	22	56
	517	179	252	182	61	411	160	386	259	536	274	138	180	264	204	X	67	468	13	564	576	255	130	214	19	115	X	63	117	23	47	77	206
	1027	207	511	325	144	1031	307	947	482	1077	489	291	311	564	416	X	43	904	23	1433	1382	501	276	425	22	172	X	120	214	27	56	256	457
	635	171	298	226	110	514	207	528	265	629	319	155	158	320	255	X	56	548	21	770	742	304	182	245	20	118	X	78	95	15	51	107	236
	321	88	153	103	59	410	113	287	180	356	190	120	117	208	177	X	18	274	12	405	289	213	106	177	18	78	X	36	53	7	19	88	131
	378	44	187	69	50	223	38	505	97	331	126	124	51	187	75	X	7	350	11	754	485	188	85	109	9	48	X	38	48	16	11	81	144
	757	77	305	129	70	430	106	1044	150	525	189	282	89	310	156	X	9	688	23	1800	923	342	144	216	22	94	X	73	57	23	21	147	281
	293	14	126	41	42	136	27	437	49	180	89	75	32	126	52	X	1	257	3	589	365	145	50	74	2	35	X	31	24	39	7	66	115
	676	69	256	106	31	394	65	1119	127	427	136	218	90	247	107	X	4	531	13	1787	921	218	76	146	3	84	X	57	102	98	9	150	278
	65	39	47	42	4	47	28	60	78	60	79	18	66	50	28	X	12	72	3	55	18	58	19	22	2	8	X	12	10	X	5	3	14
	811	247	403	275	58	773	288	722	355	716	494	243	327	477	377	X	34	767	12	604	868	427	121	397	14	184	X	111	210	8	77	155	328
	635	118	322	190	83	473	186	496	251	625	289	159	166	332	250	X	30	522	15	729	597	290	161	246	19	118	X	56	77	15	40	97	228
	698	62	230	132	30	1209	256	1969	102	348	282	518	197	573	423	X	21	410	13	368	943	471	52	515	4	166	X	152	187	57	86	277	355
	692	62	154	121	24	672	178	1178	142	316	194	324	146	363	261	X	6	579	20	810	731	266	123	314	7	138	X	139	98	16	40	220	272
	1396	144	558	211	159	748	179	1899	252	1000	407	366	221	494	362	X	25	1295	30	2801	1638	794	277	360	28	182	X	118	151	35	31	315	505
	674	120	332	190	113	439	178	519	242	609	315	136	169	309	246	X	45	560	14	795	764	295	192	211	26	90	X	72	110	10	26	123	237
	880	61	357	117	114	380	97	1268	141	569	279	274	85	280	181	X	14	749	27	2124	1063	442	193	203	7	80	X	81	80	10	29	187	294
	620	58	337	90	66	327	69	905	125	451	160	195	90	221	97	X	6	529	23	1765	910	251	116	128	12	48	X	70	42	16	17	133	240
	603	68	230	104	33	703	96	1153	93	416	177	246	131	239	179	X	4	519	19	1274	677	292	53	216	7	98	X	102	106	119	36	255	283
	307	158	197	216	23	477	239	229	283	370	277	23	206	260	259	X	88	205	7	305	317	206	75	160	24	58	X	81	130	21	44	115	110
	525	42	254	88	80	285	50	913	94	325	122	132	55	190	101	X	4	432	12	1165	636	306	102	115	8	61	X	50	63	25	13	115	194
	453	212	214	298	40	680	306	366	271	506	298	125	317	327	271	X	77	333	10	445	420	271	130	306	24	163	X	110	183	8	67	119	203
	1598	196	632	331	188	1157	235	2024	422	1222	440	425	263	725	439	X	24	1329	41	3072	2005	746	332	487	32	265	X	244	200	202	48	387	623
	444	107	247	157	68	549	192	465	195	472	229	154	137	283	242	X	27	335	9	586	469	293	140	204	13	87	X	54	119	10	34	78	179
	399	89	241	123	75	233	105	306	153	375	186	68	125	207	136	X	33	348	9	471	503	190	95	118	19	46	X	51	58	10	28	68	159
	401	86	187	109	47	338	126	383	144	382	194	72	115	212	144	X	23	349	10	487	444	175	91	157	9	84	X	60	67	18	24	80	143
