Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	142	104	137	114	6	177	99	132	165	130	102	30	159	X	111	X	40	152	4	53	X	108	5	34	3	18	X	24	25	2	21	14	X
	311	98	198	177	22	514	228	294	193	368	243	83	214	1	242	X	33	292	3	212	X	173	15	168	14	35	X	56	171	8	61	50	X
	459	58	210	75	23	329	76	455	99	386	201	93	94	2	144	X	7	350	3	662	1	184	22	118	3	47	X	41	66	1	24	90	X
	646	55	272	64	133	331	56	1079	86	390	187	212	61	2	115	X	5	505	16	1191	X	373	36	135	15	95	X	64	71	4	12	134	X
	587	129	245	165	49	781	200	717	276	645	264	77	194	1	280	X	17	442	7	757	1	288	34	307	9	139	X	87	155	5	27	150	X
	882	258	466	340	68	883	396	718	431	960	605	89	388	1	387	X	50	739	12	429	X	530	31	346	8	140	X	98	171	119	61	87	1
	987	95	195	128	83	479	92	1508	144	678	264	313	107	X	193	X	6	887	25	2151	1	489	35	224	8	82	X	94	123	138	27	215	X
	853	182	392	193	100	842	251	873	297	791	390	220	244	X	343	X	39	735	22	1234	X	454	45	352	17	188	X	115	160	22	39	180	X
	484	293	253	274	97	530	404	499	479	408	245	151	242	1	255	X	69	488	32	762	X	266	30	383	72	122	X	107	155	111	65	136	X
	241	22	87	33	31	94	16	370	36	152	61	54	16	X	31	X	3	208	9	506	X	96	5	43	3	X	X	20	21	33	4	27	X
	26	4	4	11	X	21	11	32	22	11	21	4	17	X	13	X	X	13	X	7	X	15	X	11	2	2	X	3	2	X	X	X	X
	217	132	74	186	27	319	140	154	269	265	171	73	185	X	125	X	44	200	2	221	X	118	23	141	21	56	X	56	91	14	41	60	X
	46	7	19	12	11	24	13	28	13	40	18	10	12	X	9	X	1	36	1	44	X	16	X	10	3	8	X	7	7	3	1	4	X
	962	157	579	279	68	886	283	1103	368	1051	653	52	295	8	373	X	25	839	9	587	1	685	37	308	20	94	X	91	161	6	38	115	X
	351	57	174	79	58	216	67	343	97	295	160	103	67	X	130	X	5	302	10	439	X	173	17	147	6	62	X	24	55	55	20	58	X
	326	63	175	107	46	353	111	356	142	330	179	73	94	X	157	X	8	257	7	466	1	191	24	149	7	62	X	36	54	1	14	67	X
	674	74	297	107	62	437	86	903	161	501	170	206	106	X	156	X	10	638	23	1644	X	262	23	217	10	36	X	64	90	18	30	148	X
	557	57	235	54	94	213	45	797	49	296	146	144	42	X	93	X	8	441	8	1141	X	265	23	94	10	35	X	46	40	4	5	114	X
	1105	132	380	216	106	1284	339	1419	346	776	493	442	307	2	687	X	29	532	25	898	X	446	56	624	44	206	X	147	280	23	99	352	X
	287	30	78	49	7	435	152	486	110	71	251	131	152	X	209	X	18	124	5	41	X	182	5	167	1	18	X	56	102	114	25	51	X
	3	X	1	2	X	1	1	2	2	1	3	1	X	X	4	X	X	3	X	X	X	X	X	3	X	X	X	1	1	X	X	X	X
	13	X	2	5	X	8	6	5	2	8	5	1	7	X	4	X	1	9	X	X	X	4	X	1	X	4	X	X	3	X	1	X	X
	405	44	129	46	45	155	57	505	84	171	101	128	42	X	66	X	6	360	17	840	X	223	20	97	5	39	X	24	34	90	14	50	X
	386	48	142	99	35	362	104	566	134	257	146	119	101	X	169	X	5	256	10	493	X	172	18	149	5	51	X	56	86	54	31	69	X
	582	60	223	136	16	571	155	577	185	612	341	44	150	X	215	X	8	395	3	173	X	264	12	199	5	91	X	57	120	14	29	53	X
	639	51	289	80	44	230	50	895	97	438	152	167	54	1	106	X	1	515	18	1413	X	306	27	134	7	41	X	57	56	11	3	84	X
	10	2	1	X	X	9	X	11	X	4	3	1	3	X	8	X	X	4	X	2	X	3	X	4	X	X	X	X	2	X	1	1	X
	X	1	X	X	1	14	4	6	X	1	1	X	1	X	3	X	X	X	X	X	X	1	X	3	X	1	X	2	6	X	2	1	X
	661	59	285	81	64	327	66	987	127	463	164	190	82	X	125	X	7	557	13	1586	X	326	18	173	5	87	X	73	81	11	11	127	X
	744	153	366	186	110	512	205	760	225	654	375	144	190	1	282	X	29	623	6	873	X	392	53	275	28	67	X	75	115	112	38	125	X
	X	X	X	X	X	1	X	X	1	X	X	1	X	X	1	X	X	1	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
	103	49	74	50	3	156	72	141	68	117	83	28	79	X	55	X	4	107	X	84	X	96	3	36	3	15	X	18	29	2	19	12	X
	305	30	107	40	67	185	44	353	49	198	100	81	38	1	77	X	5	289	10	487	X	159	18	93	8	34	X	34	32	41	11	55	X
	620	71	267	89	86	349	74	730	145	438	178	164	86	X	176	X	9	508	14	1133	X	222	31	159	25	49	X	61	70	12	21	133	X
	646	103	336	128	48	476	157	594	244	603	252	79	150	1	245	X	13	479	8	767	1	281	21	231	13	117	X	53	114	12	27	123	X
	718	192	396	253	21	738	267	638	307	802	606	93	270	1	341	X	21	538	7	274	X	415	22	270	8	110	X	74	111	79	56	92	X
	693	51	258	102	60	309	60	1073	105	503	182	236	64	2	126	X	9	523	18	1645	1	328	21	152	9	32	X	70	72	86	15	140	X
	428	86	225	105	64	341	129	324	176	376	188	63	131	X	148	X	10	364	5	536	X	149	27	161	14	79	X	36	71	34	20	62	X
	1060	111	426	190	106	891	150	1428	289	842	313	350	149	4	280	X	24	881	26	2432	X	496	38	335	16	134	X	159	162	23	45	273	X
	313	65	139	80	40	249	58	260	90	273	129	38	63	X	121	X	5	229	11	381	2	134	17	101	11	X	X	28	67	4	18	41	X
	760	181	315	223	71	858	325	690	391	535	377	158	243	1	323	X	45	573	11	802	X	339	60	359	33	162	X	96	197	204	75	164	X
	573	48	233	59	69	354	91	1437	109	503	120	282	96	1	95	X	12	364	9	1083	X	305	32	174	7	45	X	46	58	X	14	140	X
	416	90	217	97	56	222	102	352	140	402	190	97	82	X	148	X	18	385	2	538	1	152	17	126	12	87	X	46	56	8	27	73	X
	304	86	102	93	24	675	156	400	120	302	153	88	115	3	259	X	20	227	5	366	1	134	19	218	7	77	X	76	75	9	36	121	X
	948	217	521	383	37	1488	510	1083	425	1004	834	113	569	1	528	X	39	921	10	393	X	754	19	503	11	178	X	118	216	5	147	101	X
	184	149	90	179	27	191	127	105	174	229	120	41	151	1	87	X	14	166	11	165	X	95	12	153	9	48	X	44	41	3	45	35	X
	708	68	299	105	81	357	63	970	141	525	161	204	79	1	134	X	2	638	23	2084	X	288	23	175	7	61	X	55	73	133	17	165	X
	673	53	279	111	49	356	68	871	115	474	158	140	72	1	137	X	3	570	25	1882	X	278	17	155	6	75	X	68	90	4	21	107	X
	1030	240	580	350	82	1787	392	1176	664	1153	563	112	544	4	556	X	30	850	18	1030	X	698	49	491	24	107	X	134	191	140	52	164	1
	552	29	204	76	99	229	73	756	90	331	150	76	61	1	104	X	3	441	6	954	X	270	30	118	12	38	X	52	48	8	9	109	X
	565	77	265	98	27	373	71	806	151	487	199	201	103	X	136	X	8	512	8	798	X	201	11	166	3	66	X	79	70	3	23	128	X
	676	81	318	84	80	320	83	875	137	472	209	143	90	X	134	X	5	594	10	1335	X	270	28	171	11	101	X	63	84	6	16	109	X
	498	101	233	143	71	312	150	272	186	492	261	67	130	2	170	X	23	444	3	540	1	206	22	189	20	73	X	56	57	42	38	57	X
	313	66	175	131	7	248	97	215	160	331	236	27	148	1	128	X	17	287	1	81	X	187	6	79	2	34	X	34	71	11	13	30	X
	409	78	218	99	54	309	107	427	134	389	192	92	84	X	159	X	12	321	5	568	X	218	23	141	12	31	X	55	60	7	14	66	X
	916	158	487	208	153	682	181	1140	329	895	323	312	184	1	284	X	23	910	15	1762	X	461	44	312	26	141	X	92	147	16	36	198	X
	180	46	86	56	22	135	50	114	84	186	92	42	47	X	70	X	16	139	4	185	2	106	14	73	9	28	X	17	32	3	6	17	X
	511	174	249	166	56	382	159	385	249	525	273	132	170	4	203	X	43	465	11	551	X	242	29	210	16	112	X	60	116	20	46	73	X
	1021	204	504	275	126	989	306	939	469	1071	489	274	285	2	415	X	26	896	10	1402	X	461	52	419	18	169	X	105	212	12	51	241	1
	629	171	293	199	103	458	203	526	253	604	318	145	149	2	255	X	37	540	3	745	X	276	31	237	15	55	X	75	94	15	50	97	X
	316	88	152	84	55	390	109	283	173	349	189	110	111	1	177	X	12	265	10	395	X	186	21	175	17	77	X	33	50	7	16	83	X
