minimum depth threshold,20
DermGT_01,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_05,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_06,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_10,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_13,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_15,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_18,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_22,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_39,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_43,0.15 0.4 0.7 0.6 0.8 0.2
DermGT_48,0.15 0.4 0.7 0.6 0.8 0.2
GT_14-5,0.15 0.4 0.7 0.6 0.8 0.2
GT_A1,0.15 0.4 0.7 0.6 0.8 0.2
GT_A6,0.15 0.4 0.7 0.6 0.8 0.2
GT_B116,0.15 0.4 0.7 0.6 0.8 0.2
GT_C102,0.15 0.4 0.7 0.6 0.8 0.2
GT_Cc1G02,0.15 0.4 0.7 0.6 0.8 0.2
GT_Cc5C08,0.15 0.4 0.7 0.6 0.8 0.2
GT_Cc5F01,0.15 0.4 0.7 0.6 0.8 0.2
GT_Cc5H07,0.15 0.4 0.7 0.6 0.8 0.2
GT_Cm3,0.15 0.4 0.7 0.6 0.8 0.2
GT_D1,0.15 0.4 0.7 0.6 0.8 0.2
GT_D115,0.15 0.4 0.7 0.6 0.8 0.2
GT_D8,0.15 0.4 0.7 0.6 0.8 0.2
GT_LB123,0.15 0.4 0.7 0.6 0.8 0.2
GT_LB133,0.15 0.4 0.7 0.6 0.8 0.2
GT_LB141,0.15 0.4 0.7 0.6 0.8 0.2
GT_LB142,0.15 0.4 0.7 0.6 0.8 0.2
GT_LB143,0.15 0.4 0.7 0.6 0.8 0.2
GT_LB145,0.15 0.4 0.7 0.6 0.8 0.2
GT_LB158,0.15 0.4 0.7 0.6 0.8 0.2
GT_Or2,0.15 0.4 0.7 0.6 0.8 0.2
GT_Or7,0.15 0.4 0.7 0.6 0.8 0.2
