Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	20	7	8	5	X	20	10	10	15	11	10	6	12	9	12	X	2	13	2	4	9	6	6	4	1	4	X	5	2	1	2	3	2
	101	30	34	24	2	120	41	99	51	64	54	17	36	44	31	X	8	64	X	43	15	74	13	24	2	17	X	17	14	X	7	12	16
	176	31	84	64	28	110	46	82	64	182	99	28	36	88	48	X	18	185	3	190	239	69	49	57	7	23	X	24	14	21	12	19	46
	335	42	128	79	24	323	90	427	102	177	142	101	74	191	130	X	11	192	5	402	367	137	70	136	4	47	X	37	88	5	19	64	137
	433	88	225	138	74	326	130	357	182	382	200	97	117	216	174	X	28	394	10	525	514	188	127	143	12	66	X	48	85	8	18	75	165
	505	87	256	135	29	556	179	575	174	546	337	78	164	231	227	X	32	478	X	259	251	328	87	200	10	68	X	67	122	67	39	68	129
	625	65	245	129	77	316	77	802	125	449	203	188	98	244	148	X	6	506	18	1443	664	251	114	182	19	110	X	81	66	8	17	81	208
	630	72	277	106	90	369	77	734	152	449	180	178	94	265	176	X	11	514	15	1145	869	252	158	159	27	109	X	64	71	14	22	138	271
	325	52	151	74	47	203	83	241	94	260	121	90	90	147	97	X	15	226	9	345	313	173	76	106	7	58	X	19	51	38	16	27	94
	740	49	335	111	68	333	73	1217	129	485	190	131	84	208	148	X	11	604	27	2041	1059	323	99	157	17	77	X	75	65	23	20	157	257
	778	68	302	135	70	425	95	1150	120	522	185	243	106	273	140	X	8	624	18	1903	797	318	127	202	8	91	X	90	65	13	20	110	273
	420	76	206	132	76	342	105	378	129	322	201	108	101	177	148	X	19	277	10	430	358	221	119	157	16	91	X	28	66	7	21	86	161
	479	127	250	184	68	534	194	423	257	565	237	148	148	306	261	X	31	372	15	633	474	330	154	247	21	126	X	73	97	75	28	135	199
	409	53	153	78	45	213	126	434	98	214	147	105	52	175	92	X	30	295	14	584	310	267	100	174	8	61	X	36	34	12	23	89	134
	310	86	102	107	25	685	158	401	124	305	153	94	124	249	259	X	27	227	7	369	295	146	86	218	7	79	X	77	75	10	37	127	124
	443	83	170	112	35	511	137	530	157	392	199	112	139	266	236	X	14	310	9	616	640	213	109	198	13	73	X	55	99	15	38	118	221
	437	151	241	162	30	402	168	338	209	442	269	144	205	276	192	X	22	408	9	369	496	216	83	234	8	92	X	57	113	6	44	88	163
	214	50	133	67	35	153	64	175	96	215	102	36	64	93	80	X	19	191	6	276	266	108	50	68	10	19	X	29	35	8	13	32	69
	690	53	284	119	50	361	68	889	118	485	161	150	77	258	137	X	3	583	27	1915	796	290	88	158	6	77	X	69	91	5	22	114	241
	293	50	154	69	54	183	63	257	111	259	130	50	68	123	88	X	20	241	11	355	304	146	66	78	7	49	X	17	42	3	16	44	114
	469	151	339	154	83	613	225	802	258	532	294	277	226	420	202	X	38	451	15	722	393	337	195	283	17	132	X	80	80	15	39	113	239
	188	38	93	57	28	148	61	177	69	177	71	37	42	107	70	X	8	187	3	222	157	129	70	60	5	38	X	20	32	3	6	39	61
	710	72	287	91	71	333	74	954	120	466	153	200	72	164	128	X	12	523	20	1511	847	348	87	155	12	80	X	65	45	23	10	164	246
	10	2	1	X	X	10	X	11	1	4	3	1	3	3	8	X	7	4	X	2	3	3	X	4	X	X	X	X	2	X	1	1	2
	409	44	133	58	45	162	60	505	86	176	103	134	48	142	66	X	6	363	18	854	350	236	97	99	7	43	X	31	36	92	15	52	154
	724	192	398	258	22	753	268	648	310	817	611	98	279	405	343	X	30	542	8	280	437	425	84	276	9	112	X	80	113	79	58	99	202
	505	50	264	79	89	269	63	741	95	377	138	154	65	165	106	X	7	480	13	1169	596	269	118	119	14	42	X	39	48	7	8	107	188
	525	42	254	88	80	285	50	913	94	325	122	132	55	190	101	X	4	432	12	1165	636	306	102	115	8	61	X	50	63	25	13	115	194
	586	85	281	163	49	546	131	511	223	505	217	108	152	266	199	X	18	437	4	661	637	246	111	250	12	121	X	55	108	62	25	120	216
	644	64	245	109	35	451	94	915	145	480	154	254	80	242	148	X	7	514	18	1439	820	244	83	193	7	89	X	88	95	116	20	189	245
	715	84	306	105	74	377	71	955	160	504	203	188	98	273	148	X	8	612	19	1713	648	345	140	179	9	100	X	81	72	12	20	177	277
	X	X	X	X	X	1	X	X	1	X	X	1	X	1	1	X	X	1	X	1	1	1	X	1	X	X	X	X	X	X	X	X	X
	13	X	2	6	X	10	6	5	4	8	5	2	8	3	4	X	9	9	X	X	3	4	X	1	X	5	X	1	3	X	1	X	1
	26	10	12	15	1	36	20	33	14	25	21	3	12	25	15	X	2	17	X	6	10	22	6	11	X	3	X	6	12	1	7	5	12
	266	19	13	62	4	851	138	534	31	7	97	194	172	304	335	X	19	71	3	12	429	372	24	304	5	84	X	127	196	2	58	78	171
	483	43	193	41	66	272	66	1119	88	326	136	241	72	245	75	X	3	334	13	1044	428	259	141	133	7	60	X	47	28	63	16	80	195
	9	X	3	4	X	8	5	3	2	X	4	X	7	4	5	X	6	3	1	3	X	6	X	5	2	X	X	1	X	X	X	3	4
	379	82	210	129	48	328	127	314	176	410	176	93	109	219	170	X	20	299	10	437	342	197	108	167	10	82	X	34	46	11	30	60	159
	427	81	215	108	47	298	102	378	126	386	207	111	115	226	154	X	20	338	16	597	451	206	112	155	15	65	X	34	58	55	16	66	152
	528	39	201	66	31	255	47	975	75	320	128	152	68	149	84	X	3	417	15	1228	583	247	48	104	5	43	X	46	43	73	14	107	192
	510	67	210	121	58	485	80	624	167	419	169	179	81	212	169	X	16	418	26	1005	425	264	96	178	13	61	X	95	85	12	28	131	180
	550	54	224	101	29	456	100	930	91	334	215	256	117	259	167	X	14	406	9	365	657	264	44	184	3	77	X	64	73	33	29	138	244
	2	1	1	X	1	14	4	6	1	1	1	1	1	6	3	X	13	X	X	X	3	1	X	3	X	1	X	2	6	X	2	1	X
	29	10	16	13	1	15	1	25	15	35	23	2	10	15	15	X	6	32	1	14	17	14	6	14	X	5	X	3	3	X	6	3	8
	552	44	209	84	73	252	58	830	89	372	180	174	54	153	128	X	10	495	10	1318	642	275	122	142	6	52	X	56	48	5	16	119	184
	587	62	213	72	74	355	77	762	129	427	157	219	63	188	146	X	5	482	27	1133	501	305	128	185	18	83	X	61	52	16	27	108	176
	444	107	247	157	68	549	192	465	195	472	229	154	137	283	242	X	27	335	9	586	469	293	140	204	13	87	X	54	119	10	34	78	179
	241	22	89	38	32	100	16	370	42	156	62	54	17	76	31	X	5	211	10	509	338	102	34	43	3	28	X	22	21	33	4	28	86
	674	76	263	111	68	461	114	1072	148	441	198	145	84	258	164	X	8	586	18	1701	707	312	141	199	12	99	X	64	67	8	19	171	253
	358	34	177	58	60	164	49	569	53	223	101	96	38	115	80	X	14	268	18	638	484	197	79	72	13	43	X	37	30	8	8	77	151
	442	116	188	143	78	302	143	360	173	350	225	125	131	206	213	X	25	318	15	412	451	223	144	157	19	60	X	46	118	10	32	84	172
	178	33	77	34	20	83	28	126	51	141	76	30	30	62	50	X	11	128	2	210	171	44	26	33	6	30	X	15	19	6	11	21	53
	687	81	325	89	83	330	84	883	142	483	211	157	93	210	135	X	6	600	24	1355	716	288	139	172	12	102	X	69	84	6	16	116	215
	370	66	178	87	47	250	101	340	118	362	162	68	101	198	121	X	20	294	17	474	344	178	87	140	15	63	X	45	41	62	15	62	159
	353	95	202	133	58	423	130	333	147	419	191	95	137	193	193	X	32	342	11	501	433	202	95	153	17	73	X	40	85	5	8	52	174
	376	81	207	146	48	384	112	318	167	415	196	87	127	223	161	X	28	332	9	489	473	221	100	186	22	108	X	66	83	7	21	77	146
