Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
37418	3	1	3	8	2	16	1	2	4	5	X	13	3	191	X	X	9	2	1	4	367	2	55	2	X	2	X	3	X	X	1	6	137
12481b	6	2	6	22	3	9	1	5	2	4	X	13	5	243	X	X	X	9	X	12	663	21	96	2	2	55	X	4	X	X	X	5	208
216926	1	X	3	1	X	2	X	1	2	X	X	2	1	44	1	X	4	X	X	2	15	1	10	1	X	11	X	5	X	X	X	X	16
26457	18	1	4	8	1	11	1	5	2	10	1	19	4	207	1	X	X	13	15	32	1057	13	77	1	4	1	X	6	X	X	1	10	257
12481	12	1	2	10	1	13	1	5	3	2	X	8	4	273	X	X	3	4	1	11	796	14	93	3	X	44	X	8	1	2	X	7	273
216911	X	X	X	X	X	X	X	X	X	X	X	2	2	9	X	X	2	1	1	1	9	X	6	X	X	X	X	X	X	X	X	X	2
62787	1	1	5	17	4	19	1	1	10	16	X	8	4	215	X	X	14	1	8	6	514	16	102	1	X	41	X	2	1	1	1	6	165
62630b	X	X	X	6	X	26	1	X	5	X	X	X	3	87	X	X	11	4	2	6	239	5	44	1	1	1	X	2	1	X	X	1	46
207730	7	1	13	6	1	8	1	1	2	11	6	3	18	231	1	X	6	1	X	3	250	11	44	3	X	43	X	5	1	5	2	6	129
134109	10	1	10	17	4	20	3	4	7	11	2	14	8	265	X	X	2	6	1	12	869	30	127	X	2	60	X	3	1	2	1	5	271
76703	2	X	4	8	3	8	X	1	3	4	X	2	8	147	1	X	7	1	1	9	312	9	61	1	3	4	X	X	2	3	1	2	94
62752b	13	2	3	14	4	20	5	1	10	6	1	5	9	177	X	X	2	2	3	13	358	19	98	3	2	1	X	4	X	X	1	6	161
40942	7	4	5	27	2	11	4	1	9	4	1	9	5	306	1	X	5	9	6	11	474	25	120	3	2	80	X	3	X	3	2	11	199
12514	9	X	1	7	1	4	X	X	2	9	1	5	10	275	2	X	3	6	2	6	496	11	66	3	X	5	X	5	X	1	3	4	163
37466	6	1	7	4	X	10	X	5	3	9	X	7	8	265	X	X	5	6	3	4	640	12	91	3	X	3	X	3	X	1	1	11	221
12523	17	X	5	8	1	5	X	18	3	11	3	10	5	257	X	X	X	13	2	33	796	12	71	3	X	2	X	1	1	1	1	7	241
12505	11	1	2	16	2	22	2	1	7	6	1	10	1	175	X	X	23	2	11	13	310	27	81	3	3	29	X	3	X	2	X	12	133
37422	6	X	X	14	1	10	2	1	4	3	X	6	9	246	X	X	7	X	2	3	294	12	67	X	X	2	X	1	X	1	1	6	124
62634	4	X	2	8	X	21	2	2	6	2	1	2	9	92	X	X	6	X	1	1	266	9	40	2	2	X	X	3	X	1	X	1	69
62742	2	2	2	11	2	22	X	X	7	7	X	3	7	123	X	X	9	2	1	10	304	11	52	1	1	28	X	1	X	X	1	3	114
16883	9	X	X	21	X	17	1	2	2	9	X	10	12	419	1	X	9	3	10	9	393	24	153	8	4	67	X	9	1	2	1	8	239
210588	6	X	2	5	1	15	1	10	3	15	5	5	9	404	2	X	9	4	1	6	437	10	62	6	1	2	X	6	2	X	2	7	202
12519	13	X	2	10	5	7	1	5	5	11	X	10	4	164	1	X	8	7	8	21	847	14	77	1	1	1	X	6	X	1	2	4	246
61467	7	1	9	12	X	6	2	4	3	9	3	15	2	242	X	X	1	9	1	30	820	23	70	2	X	2	X	9	1	11	X	9	245
134059	7	X	11	8	2	14	X	4	1	1	1	9	2	190	X	X	X	4	7	20	636	15	79	4	2	2	X	4	X	4	X	2	194
12490	4	X	4	12	X	7	3	X	2	5	2	6	6	142	X	X	X	3	1	14	350	13	77	2	2	4	X	7	2	2	1	2	154
62742b	1	1	3	7	2	11	X	1	2	1	2	1	2	107	X	X	1	2	1	4	157	7	53	1	2	23	X	1	X	1	1	1	61
12489	7	X	7	14	5	16	1	2	1	3	1	2	2	165	2	X	3	8	9	11	596	16	94	X	2	1	X	6	X	1	X	9	188
134101	5	X	4	9	1	9	1	3	4	5	1	8	6	266	X	X	X	8	X	11	637	13	86	6	X	2	X	5	4	1	1	4	216
12500	1	X	1	13	X	1	1	11	X	X	1	6	7	303	1	X	X	X	X	2	429	13	18	4	X	X	X	8	2	X	6	2	171
12495	X	X	X	X	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	1	1	1	X	X	X	X	X	X	X	X	X	X	X
216919	X	X	X	X	X	1	X	X	1	X	X	X	X	3	X	X	7	X	X	X	3	X	X	X	X	X	X	X	X	X	X	X	2
6799b	6	3	141	21	4	16	1	4	5	8	5	7	9	270	X	X	X	6	13	8	648	17	101	2	2	97	X	5	X	3	1	6	277
16886	4	1	3	6	1	13	3	2	5	12	X	10	3	245	X	X	1	5	2	16	428	11	116	3	2	1	X	5	X	4	X	3	195
216905	X	X	X	1	X	2	X	X	2	X	X	1	1	3	X	X	8	X	X	X	3	X	X	X	X	1	X	1	X	X	X	X	1
102605	2	1	100	10	X	26	2	1	7	10	1	4	10	226	X	X	3	X	1	17	451	12	90	1	2	1	X	2	1	2	X	1	152
117103	5	X	2	X	X	2	X	4	1	9	X	4	3	149	1	X	X	1	2	8	583	7	36	1	X	32	X	6	X	3	X	1	191
12520b	3	X	4	3	1	2	X	3	X	3	1	8	8	258	X	X	X	3	4	4	657	5	38	5	X	2	X	2	1	2	X	6	244
216923	X	X	X	X	X	4	X	X	X	X	X	X	3	4	X	X	6	X	1	X	X	X	X	X	1	X	X	X	X	X	X	1	4
216914	1	X	1	X	1	4	X	X	1	X	1	1	2	25	X	X	X	1	X	1	10	1	3	X	X	1	X	1	X	X	1	X	12
62687	3	1	3	19	1	32	2	X	11	17	2	3	5	218	X	X	15	5	5	10	341	16	83	1	4	79	X	5	X	1	1	5	159
26450b	7	1	7	25	2	8	3	4	4	8	X	7	3	209	X	X	2	10	7	19	425	24	74	1	2	2	X	5	2	X	X	8	180
26452	8	1	4	11	1	20	1	4	1	17	X	8	1	152	X	X	7	3	X	27	642	12	91	X	X	31	X	10	2	X	1	2	184
76693	9	2	6	20	2	17	5	3	4	5	X	9	7	282	1	X	8	7	X	12	469	30	79	3	2	3	X	5	1	7	1	7	179
6801	13	2	5	5	4	6	2	4	5	11	1	11	5	188	X	X	X	2	3	22	501	17	108	2	2	3	X	5	1	2	X	4	176
216908	1	X	X	X	X	7	X	X	1	X	X	X	2	15	1	X	6	X	1	1	17	X	3	X	X	X	X	2	X	X	X	1	8
32022	X	X	2	5	1	6	X	X	6	4	1	X	1	76	X	X	2	3	1	3	338	6	29	X	X	28	X	2	X	X	X	1	86
12526	2	X	1	X	X	X	X	X	1	X	X	1	X	6	X	X	13	X	X	X	3	X	X	X	X	X	X	X	X	X	X	X	X
134066	9	4	5	21	6	8	8	8	10	11	X	7	3	114	1	X	10	6	9	23	484	23	67	X	10	8	X	1	1	X	1	6	151
12484	9	X	16	16	4	10	2	1	2	12	2	24	8	257	X	X	X	15	X	8	707	18	104	3	X	2	X	4	X	X	X	11	253
37463	8	X	2	15	5	11	2	2	5	23	1	7	3	206	X	X	10	2	3	8	451	18	115	2	3	41	X	3	X	X	X	6	170
6798	8	2	3	16	3	26	2	2	9	9	1	7	6	269	X	X	6	4	2	8	702	27	74	3	4	1	X	5	1	X	X	4	193
12511	11	X	7	5	3	10	1	8	5	11	2	14	3	210	1	X	1	6	14	20	716	18	111	1	1	1	X	6	X	X	X	7	215
62761	4	X	1	10	4	20	1	3	6	16	X	5	8	198	1	X	8	X	11	10	344	10	70	3	X	35	X	5	X	2	X	4	159
