Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	332	41	125	71	22	307	89	425	98	172	142	88	71	X	130	X	2	190	4	398	X	135	15	134	4	45	X	34	88	5	18	58	X
	619	63	239	107	74	307	76	797	123	445	203	175	93	1	148	X	6	497	18	1431	1	230	18	180	17	55	X	77	66	8	17	76	X
	100	30	31	23	2	118	41	98	49	64	54	15	35	X	30	X	4	64	X	41	X	73	3	23	2	6	X	12	14	X	7	12	X
	722	48	331	103	67	322	72	1212	127	475	189	112	80	1	147	X	11	591	12	2009	2	310	22	156	13	76	X	69	65	23	19	147	X
	766	67	300	125	69	413	93	1145	117	520	185	235	102	X	140	X	5	620	17	1892	1	304	34	199	8	47	X	82	64	11	20	103	X
	20	7	8	5	X	20	10	10	15	11	10	4	10	X	12	X	X	12	1	3	X	6	X	4	1	4	X	5	2	1	2	3	X
	432	87	220	121	70	307	129	356	172	366	200	89	113	1	174	X	14	393	2	519	X	172	25	142	12	25	X	46	84	7	17	69	X
	176	31	84	58	28	84	45	82	59	182	99	28	33	1	48	X	7	181	1	184	X	64	5	56	6	22	X	22	13	21	12	18	X
	498	86	243	129	28	548	178	574	172	535	331	75	146	X	226	X	26	477	X	256	1	317	43	197	10	25	X	62	121	62	37	62	X
	620	71	267	89	86	349	74	730	145	438	178	164	86	X	176	X	9	508	14	1133	X	222	31	159	25	49	X	61	70	12	21	133	X
	323	52	147	66	44	195	83	240	91	256	121	88	82	X	96	X	8	225	8	336	1	164	15	105	4	54	X	19	49	35	15	25	X
	407	74	203	118	72	322	100	377	119	316	200	103	92	X	148	X	17	275	7	417	X	202	21	154	14	90	X	24	66	7	20	80	X
	472	123	245	157	66	523	190	422	248	561	236	139	143	X	260	X	26	363	9	622	X	305	34	244	19	46	X	70	97	72	26	124	X
	428	151	240	155	29	398	168	338	207	433	268	139	195	1	190	X	19	402	7	363	X	205	17	231	8	87	X	52	113	5	41	84	X
	437	82	163	108	35	501	137	525	154	383	199	105	131	1	236	X	9	304	6	612	X	201	18	195	13	70	X	52	99	14	37	107	X
	673	53	279	111	49	356	68	871	115	474	158	140	72	1	137	X	3	570	25	1882	X	278	17	155	6	75	X	68	90	4	21	107	X
	398	52	151	62	43	191	124	433	91	208	146	95	51	X	92	X	7	293	3	571	X	240	19	171	5	32	X	33	34	10	23	77	1
	304	86	102	93	24	675	156	400	120	302	153	88	115	3	259	X	20	227	5	366	1	134	19	218	7	77	X	76	75	9	36	121	X
	210	50	131	59	35	132	62	173	90	213	101	34	55	1	80	X	13	191	5	275	X	99	10	66	8	19	X	26	35	7	13	31	X
	291	48	152	58	52	161	63	257	104	252	130	47	61	X	88	X	11	239	10	345	X	135	14	77	6	21	X	16	42	3	15	41	X
	460	151	339	133	83	596	224	800	256	523	294	267	214	1	201	X	29	448	5	713	X	313	42	275	13	65	X	71	79	13	38	105	X
	718	192	396	253	21	738	267	638	307	802	606	93	270	1	341	X	21	538	7	274	X	415	22	270	8	110	X	74	111	79	56	92	X
	697	72	285	81	66	326	73	949	115	455	153	190	68	X	127	X	4	516	12	1490	X	334	10	154	11	79	X	59	45	22	8	160	X
	637	63	236	97	35	445	92	911	142	471	151	239	78	X	148	X	6	505	17	1409	X	221	13	191	7	87	X	79	94	105	20	180	X
	518	42	243	80	78	271	50	909	93	324	121	123	53	X	101	X	4	428	5	1145	X	291	23	111	6	59	X	46	63	21	13	113	X
	405	44	129	46	45	155	57	505	84	171	101	128	42	X	66	X	6	360	17	840	X	223	20	97	5	39	X	24	34	90	14	50	X
	187	37	90	50	26	137	61	176	67	176	69	36	40	X	70	X	7	185	2	218	X	122	17	59	3	15	X	19	32	2	5	38	X
	498	50	257	65	84	253	62	739	94	374	137	152	63	X	104	X	4	472	4	1158	X	253	24	119	12	41	X	33	48	6	8	98	X
	581	85	277	154	48	537	130	508	219	500	216	100	146	X	199	X	18	429	4	650	X	233	25	244	12	119	X	50	104	61	24	116	X
	265	19	12	49	4	850	137	523	31	7	96	188	165	1	334	X	19	71	3	10	X	359	6	300	5	84	X	119	194	2	52	76	X
	X	X	X	X	X	1	X	X	1	X	X	1	X	X	1	X	X	1	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
	10	2	1	X	X	9	X	11	X	4	3	1	3	X	8	X	X	4	X	2	X	3	X	4	X	X	X	X	2	X	1	1	X
	709	81	165	84	70	361	70	951	155	496	198	181	89	3	148	X	8	606	6	1705	X	328	39	177	7	3	X	76	72	9	19	171	X
	479	42	190	35	65	259	63	1117	83	314	136	231	69	X	75	X	2	329	11	1028	X	248	25	130	5	59	X	42	28	59	16	77	X
	13	X	2	5	X	8	6	5	2	8	5	1	7	X	4	X	1	9	X	X	X	4	X	1	X	4	X	X	3	X	1	X	X
	425	80	115	98	47	272	100	377	119	376	206	107	105	X	154	X	17	338	15	580	X	194	22	154	13	64	X	32	57	53	16	65	X
	523	39	199	66	31	253	47	971	74	311	128	148	65	X	83	X	3	416	13	1220	X	240	12	103	5	11	X	40	43	70	14	106	1
	547	54	220	98	28	454	100	927	91	331	214	248	109	1	167	X	14	403	5	361	X	259	6	179	3	75	X	62	72	31	29	132	X
	9	X	3	4	X	4	5	3	2	X	4	X	4	X	5	X	X	3	X	3	X	6	X	5	1	X	X	1	X	X	X	2	X
	25	10	11	15	X	32	20	33	13	25	20	2	10	X	15	X	2	16	X	5	X	21	3	11	X	2	X	5	12	1	6	5	X
	376	81	207	110	47	296	125	314	165	393	174	90	104	1	170	X	5	294	5	427	1	181	25	166	6	3	X	29	46	10	29	55	X
	503	66	203	96	56	477	77	620	163	411	169	172	78	3	169	X	14	408	19	986	X	240	22	177	11	59	X	90	83	12	28	123	X
	544	43	205	73	72	232	57	826	88	355	180	166	53	1	128	X	3	492	10	1291	X	263	31	142	6	21	X	46	46	5	15	117	X
	435	105	241	137	66	532	187	462	191	467	229	145	130	1	241	X	19	328	9	574	X	263	61	201	11	84	X	49	118	3	33	71	X
	574	60	208	67	70	349	75	758	124	416	156	208	58	X	146	X	5	480	24	1111	X	288	20	183	16	80	X	56	51	14	27	104	X
	28	10	16	13	1	8	1	25	14	35	23	2	8	X	14	X	X	32	X	13	X	14	3	14	X	5	X	1	3	X	6	2	X
	241	22	87	33	31	94	16	370	36	152	61	54	16	X	31	X	3	208	9	506	X	96	5	43	3	X	X	20	21	33	4	27	X
	X	1	X	X	1	14	4	6	X	1	1	X	1	X	3	X	X	X	X	X	X	1	X	3	X	1	X	2	6	X	2	1	X
	349	30	172	37	54	156	41	561	43	212	101	89	35	1	79	X	4	262	9	615	X	174	12	72	3	35	X	36	29	8	7	71	X
	665	76	247	95	64	451	112	1071	146	429	196	121	76	1	164	X	8	571	18	1693	X	294	37	196	12	97	X	60	67	8	19	160	X
	434	116	186	128	73	291	141	358	168	327	224	118	128	X	213	X	15	316	12	404	X	205	29	155	16	19	X	43	118	10	32	78	2
	512	67	242	111	76	294	122	507	135	498	225	98	123	X	151	X	14	427	14	696	X	216	26	164	10	72	X	54	90	52	23	79	X
	676	81	318	84	80	320	83	875	137	472	209	143	90	X	134	X	5	594	10	1335	X	270	28	171	11	101	X	63	84	6	16	109	X
	366	66	177	77	43	230	100	337	112	346	162	63	93	X	120	X	12	294	6	464	X	168	17	137	15	28	X	40	41	60	15	58	X
	343	94	194	118	57	397	127	328	131	403	190	88	131	1	192	X	19	341	11	495	X	180	22	149	10	72	X	38	83	4	7	45	X
	178	33	74	29	19	59	27	126	42	139	75	27	29	X	50	X	8	125	X	199	1	39	3	33	3	29	X	13	19	4	11	20	X
	1030	240	580	350	82	1787	392	1176	664	1153	563	112	544	4	556	X	30	850	18	1030	X	698	49	491	24	107	X	134	191	140	52	164	1
	370	80	201	129	45	368	111	312	158	406	193	75	116	2	161	X	19	330	3	477	X	205	20	185	17	60	X	62	81	7	21	64	X
	368	24	132	43	70	155	40	428	48	185	75	110	42	X	58	X	5	244	7	544	1	150	14	70	9	31	X	24	25	19	7	50	X
	671	66	316	107	76	361	78	930	145	456	184	80	85	1	141	X	10	610	23	1707	X	340	35	152	14	59	X	54	66	19	12	125	X
	380	96	185	112	55	325	125	334	132	372	193	119	82	X	143	X	6	360	14	521	X	166	25	144	2	104	X	44	60	90	12	68	X
	239	31	105	43	37	103	46	161	56	222	114	37	52	2	72	X	7	166	1	269	1	96	13	65	13	5	X	23	25	1	8	43	X
	557	136	420	303	31	1268	334	953	307	623	547	111	317	1	403	X	27	564	7	570	X	459	41	347	20	88	X	69	300	7	66	124	X
	693	51	258	102	60	309	60	1073	105	503	182	236	64	2	126	X	9	523	18	1645	1	328	21	152	9	32	X	70	72	86	15	140	X
	318	63	154	83	57	217	58	276	94	310	183	62	64	X	128	X	4	304	5	399	X	181	20	104	8	31	X	43	69	5	18	81	X
	656	84	285	96	92	509	105	772	166	482	220	212	103	X	178	X	14	540	20	1099	X	341	32	238	21	123	X	56	80	4	18	104	X
	546	99	249	123	43	381	132	495	157	403	233	155	138	X	190	X	14	407	9	651	X	226	24	175	11	30	X	61	83	103	26	69	X
	3	X	1	1	X	1	1	2	2	1	3	1	X	X	3	X	X	3	X	X	X	X	X	3	X	X	X	1	1	X	X	X	X
	197	63	97	76	21	529	159	263	147	149	135	87	87	1	224	X	11	162	4	297	X	103	13	154	4	107	X	56	87	2	40	97	X
	43	13	27	25	1	30	17	39	35	36	24	12	23	X	15	X	1	45	X	22	X	28	X	6	X	7	X	1	7	X	1	2	X
	209	36	60	49	1	160	35	162	77	132	96	30	74	X	68	X	4	154	X	65	X	102	1	26	2	10	X	17	18	6	6	11	X
	171	28	88	25	32	87	35	100	50	159	63	22	37	X	49	X	5	132	2	230	X	60	13	45	5	21	X	13	23	14	8	20	X
	257	58	137	80	32	254	94	224	126	217	125	41	94	X	99	X	5	232	3	306	X	89	14	116	9	58	X	23	48	20	12	42	X
	26	4	4	11	X	21	11	32	22	11	21	4	17	X	13	X	X	13	X	7	X	15	X	11	2	2	X	3	2	X	X	X	X
	334	98	159	78	40	257	88	271	149	342	173	91	106	3	126	X	17	341	8	418	X	159	21	122	9	77	X	35	70	14	25	53	X
	772	95	8	128	99	605	123	998	203	585	222	209	131	X	239	X	9	609	21	1410	X	347	35	234	15	112	X	114	102	104	22	192	X
	781	95	9	154	86	537	107	1014	208	609	214	184	115	1	197	X	14	687	20	1600	2	353	20	237	14	146	X	115	97	97	24	175	X
	386	48	142	99	35	362	104	566	134	257	146	119	101	X	169	X	5	256	10	493	X	172	18	149	5	51	X	56	86	54	31	69	X
	238	57	143	68	37	163	75	226	98	263	115	70	53	X	98	X	10	260	2	339	X	113	14	93	9	58	X	33	37	4	16	53	X
	46	7	19	12	11	24	13	28	13	40	18	10	12	X	9	X	1	36	1	44	X	16	X	10	3	8	X	7	7	3	1	4	X
	404	72	207	89	63	275	102	339	119	344	157	81	95	1	144	X	17	309	7	502	X	186	23	134	9	38	X	35	72	79	24	71	X
	612	54	277	81	83	311	55	1000	112	356	160	125	59	X	124	X	6	574	25	1758	X	236	27	140	6	2	X	53	48	56	15	120	X
	297	155	195	195	22	473	238	226	280	363	272	14	192	X	258	X	80	196	4	299	X	189	12	156	22	55	X	76	130	16	41	112	X
	286	30	104	32	2	184	22	209	50	116	71	55	48	X	49	X	X	148	3	268	X	32	2	36	3	29	X	21	11	30	8	71	X
	64	38	46	42	3	45	28	60	77	57	79	17	60	X	28	X	4	69	2	54	X	58	2	22	1	8	X	12	10	X	4	3	X
	382	41	211	56	72	184	45	632	78	274	103	121	49	1	70	X	2	392	8	1121	1	200	18	88	5	58	X	47	32	7	7	85	X
	357	65	171	93	63	192	84	356	127	317	193	97	74	X	122	X	13	296	4	483	X	173	17	125	15	53	X	41	56	7	17	57	X
	316	88	152	84	55	390	109	283	173	349	189	110	111	1	177	X	12	265	10	395	X	186	21	175	17	77	X	33	50	7	16	83	X
	411	37	146	54	7	352	77	562	40	299	144	219	47	X	74	X	1	304	5	461	X	119	12	135	X	38	X	45	53	36	16	174	X
	139	16	45	22	39	84	15	165	24	83	49	36	21	X	31	X	4	114	6	197	X	74	5	24	3	6	X	10	17	2	5	27	X
	962	157	579	279	68	886	283	1103	368	1051	653	52	295	8	373	X	25	839	9	587	1	685	37	308	20	94	X	91	161	6	38	115	X
	746	47	165	117	34	523	83	1061	123	464	178	216	105	X	168	X	3	496	13	1730	X	268	18	225	3	87	X	72	73	54	22	197	X
	552	59	160	73	107	310	67	942	152	487	156	207	134	1	102	X	8	360	9	923	1	266	27	147	17	82	X	49	84	55	21	113	X
	368	95	162	108	28	369	120	382	146	267	224	92	119	1	185	X	11	359	3	235	X	206	7	163	5	88	X	49	96	2	33	61	X
	140	18	72	17	27	86	13	154	20	89	42	37	13	X	41	X	1	122	1	267	X	60	15	37	3	23	X	14	13	3	5	20	X
	409	78	218	99	54	309	107	427	134	389	192	92	84	X	159	X	12	321	5	568	X	218	23	141	12	31	X	55	60	7	14	66	X
	1105	132	380	216	106	1284	339	1419	346	776	493	442	307	2	687	X	29	532	25	898	X	446	56	624	44	206	X	147	280	23	99	352	X
	614	58	333	80	66	319	68	897	124	446	159	192	88	1	97	X	6	519	11	1732	X	231	28	126	11	48	X	66	41	12	15	130	X
	243	104	157	116	36	273	97	179	183	257	154	45	126	1	161	X	31	182	14	254	X	144	28	139	20	42	X	37	92	3	36	49	X
	1242	161	602	311	44	1595	387	1712	370	1044	782	215	347	6	499	X	14	880	10	912	X	828	28	439	10	161	X	123	268	6	64	123	X
	1177	208	392	276	98	2111	520	1529	349	951	763	447	340	2	936	X	43	624	10	1280	X	550	63	757	18	324	X	162	324	207	110	356	1
	27	8	13	8	2	40	17	38	36	14	27	4	16	X	12	X	1	23	X	22	X	31	X	8	X	5	X	4	5	1	1	3	X
	646	103	336	128	48	476	157	594	244	603	252	79	150	1	245	X	13	479	8	767	1	281	21	231	13	117	X	53	114	12	27	123	X
	737	71	274	102	90	305	85	1056	102	476	208	186	101	X	134	X	11	656	1	1572	X	370	28	151	13	75	X	55	78	15	11	167	X
	30	9	14	9	1	40	12	22	8	18	18	3	9	X	21	X	1	15	X	10	X	20	2	9	X	8	X	1	4	1	4	3	X
	184	149	88	178	27	191	127	105	174	229	120	40	150	1	87	X	14	166	11	165	X	95	12	153	9	48	X	44	41	3	45	35	X
	283	113	133	153	27	458	193	209	264	229	153	61	151	X	162	X	26	228	5	251	X	123	20	172	15	78	X	53	101	92	47	70	X
	300	43	117	45	2	244	36	234	43	118	81	85	58	X	59	X	1	143	4	342	X	29	1	37	1	37	X	35	24	20	10	82	X
	443	26	154	38	67	164	34	593	57	223	100	118	35	X	63	X	4	312	14	708	X	200	13	82	6	47	X	35	36	10	7	65	X
	701	71	301	103	95	294	72	927	166	471	197	164	91	1	138	X	6	617	9	1804	2	285	36	157	9	104	X	91	62	21	13	131	X
	385	82	176	85	46	297	105	399	132	347	158	88	98	X	120	X	16	348	9	530	X	202	17	149	4	73	X	36	51	10	18	80	X
	557	45	223	94	50	414	73	808	126	431	144	178	71	1	111	X	10	473	7	1446	X	256	16	158	5	75	X	69	79	11	17	150	X
	562	62	240	98	77	468	102	705	146	353	176	136	87	1	170	X	9	478	8	1142	X	264	34	182	10	60	X	60	67	75	31	117	X
	549	85	226	109	77	402	134	684	184	408	219	114	105	1	204	X	8	510	24	945	X	273	38	223	10	31	X	53	72	72	26	113	X
	181	38	107	45	40	61	38	131	49	156	83	26	57	X	55	X	9	155	3	188	X	76	5	50	7	25	X	22	23	2	14	34	X
	142	104	137	114	6	177	99	132	165	130	102	30	159	X	111	X	40	152	4	53	X	108	5	34	3	18	X	24	25	2	21	14	X
	519	57	220	54	77	244	73	1177	112	302	119	220	77	X	84	X	7	393	12	945	X	270	21	103	5	48	X	40	26	10	15	102	X
	291	22	132	33	61	140	24	532	37	191	95	88	27	1	57	X	3	236	10	583	X	200	19	67	7	56	X	28	38	X	5	55	X
	322	70	149	85	43	228	105	190	127	310	162	39	97	1	122	X	16	263	2	356	1	142	17	133	14	51	X	34	44	21	26	39	X
	661	59	285	81	64	327	66	987	127	463	164	190	82	X	125	X	7	557	13	1586	X	326	18	173	5	87	X	73	81	11	11	127	X
	882	258	466	340	68	883	396	718	431	960	605	89	388	1	387	X	50	739	12	429	X	530	31	346	8	140	X	98	171	119	61	87	1
