"Indiv","loci.genoed","prop.genoed"
"z0006796",151,0.825136612021858
"z0006797",43,0.234972677595628
"z0006798",167,0.912568306010929
"z0006799",180,0.983606557377049
"z0006800",163,0.890710382513661
"z0006801",152,0.830601092896175
"z0006802",178,0.972677595628415
"z0006803",162,0.885245901639344
"z0006805",167,0.912568306010929
"z0012480",159,0.868852459016393
"z0012481",170,0.92896174863388
"z0012482",155,0.846994535519126
"z0012483",164,0.896174863387978
"z0012484",151,0.825136612021858
"z0012485",169,0.923497267759563
"z0012486",154,0.841530054644809
"z0012488",148,0.808743169398907
"z0012489",176,0.961748633879781
"z0012490",118,0.644808743169399
"z0012491",166,0.907103825136612
"z0012492",177,0.967213114754098
"z0012493",146,0.797814207650273
"z0012494",154,0.841530054644809
"z0012497",172,0.939890710382514
"z0012499",169,0.923497267759563
"z0012500",176,0.961748633879781
"z0012502",93,0.508196721311475
"z0012503",155,0.846994535519126
"z0012504",172,0.939890710382514
"z0012505",134,0.73224043715847
"z0012509",173,0.945355191256831
"z0012511",154,0.841530054644809
"z0012514",166,0.907103825136612
"z0012515",134,0.73224043715847
"z0012517",148,0.808743169398907
"z0012519",165,0.901639344262295
"z0012520",169,0.923497267759563
"z0012521",172,0.939890710382514
"z0012522",152,0.830601092896175
"z0012523",141,0.770491803278688
"z0012524",146,0.797814207650273
"z0012525",153,0.836065573770492
"z0012526",1,0.00546448087431694
"z0012527",179,0.978142076502732
"z0012528",155,0.846994535519126
"z0016882",135,0.737704918032787
"z0016883",171,0.934426229508197
"z0016884",171,0.934426229508197
"z0016885",153,0.836065573770492
"z0016886",136,0.743169398907104
"z0016887",138,0.754098360655738
"z0016888",146,0.797814207650273
"z0026450",177,0.967213114754098
"z0026451",158,0.863387978142076
"z0026452",152,0.830601092896175
"z0026456",141,0.770491803278688
"z0026457",177,0.967213114754098
"z0026458",139,0.759562841530055
"z0032021",175,0.956284153005464
"z0032022",105,0.573770491803279
"z0032023",136,0.743169398907104
"z0032024",157,0.85792349726776
"z0032030",79,0.431693989071038
"z0032031",151,0.825136612021858
"z0035352",175,0.956284153005464
"z0037412",180,0.983606557377049
"z0037417",154,0.841530054644809
"z0037418",151,0.825136612021858
"z0037419",169,0.923497267759563
"z0037422",162,0.885245901639344
"z0037463",173,0.945355191256831
"z0037464",166,0.907103825136612
"z0037466",162,0.885245901639344
"z0037467",147,0.80327868852459
"z0037468",157,0.85792349726776
"z0037471",160,0.87431693989071
"z0040942",172,0.939890710382514
"z0040943",141,0.770491803278688
"z0040945",167,0.912568306010929
"z0061457",159,0.868852459016393
"z0061464",168,0.918032786885246
"z0061467",170,0.92896174863388
"z0061468",147,0.80327868852459
"z0062622",178,0.972677595628415
"z0062627",171,0.934426229508197
"z0062630",170,0.92896174863388
"z0062634",163,0.890710382513661
"z0062636",164,0.896174863387978
"z0062680",163,0.890710382513661
"z0062681",173,0.945355191256831
"z0062687",173,0.945355191256831
"z0062737",157,0.85792349726776
"z0062742",164,0.896174863387978
"z0062743",178,0.972677595628415
"z0062752",179,0.978142076502732
"z0062761",175,0.956284153005464
"z0062766",175,0.956284153005464
"z0062787",168,0.918032786885246
"z0076691",178,0.972677595628415
"z0076693",173,0.945355191256831
"z0076695",173,0.945355191256831
"z0076697",177,0.967213114754098
"z0076699",164,0.896174863387978
"z0076701",155,0.846994535519126
"z0076703",152,0.830601092896175
"z0076705",153,0.836065573770492
"z0076707",164,0.896174863387978
"z0076709",164,0.896174863387978
"z0076711",160,0.87431693989071
"z0076713",152,0.830601092896175
"z0076715",157,0.85792349726776
"z0102589",165,0.901639344262295
"z0102605",170,0.92896174863388
"z0102610",177,0.967213114754098
"z0102616",170,0.92896174863388
"z0102682",134,0.73224043715847
"z0117088",133,0.726775956284153
"z0117094",128,0.699453551912568
"z0117103",153,0.836065573770492
"z0134055",146,0.797814207650273
"z0134059",143,0.781420765027322
"z0134061",133,0.726775956284153
"z0134064",91,0.497267759562842
"z0134066",126,0.688524590163934
"z0134070",171,0.934426229508197
"z0134074",173,0.945355191256831
"z0134087",132,0.721311475409836
"z0134095",121,0.66120218579235
"z0134097",142,0.775956284153005
"z0134098",154,0.841530054644809
"z0134101",162,0.885245901639344
"z0134108",156,0.852459016393443
"z0134109",155,0.846994535519126
"z0134111",146,0.797814207650273
"z0134112",180,0.983606557377049
"z0134113",171,0.934426229508197
"z0178009",177,0.967213114754098
"z0178011",177,0.967213114754098
"z0178014",176,0.961748633879781
"z0207730",177,0.967213114754098
"z0207745",173,0.945355191256831
"z0210588",178,0.972677595628415
"z0216904",177,0.967213114754098
"z0216906",169,0.923497267759563
"z0216907",120,0.655737704918033
"z0216908",52,0.284153005464481
"z0216910",72,0.39344262295082
"z0216911",8,0.0437158469945355
"z0216912",1,0.00546448087431694
"z0216913",133,0.726775956284153
"z0216914",55,0.300546448087432
"z0216915",30,0.163934426229508
"z0216916",38,0.207650273224044
"z0216917",14,0.0765027322404372
"z0216918",158,0.863387978142076
"z0216919",1,0.00546448087431694
"z0216920",74,0.404371584699454
"z0216921",38,0.207650273224044
"z0216922",12,0.0655737704918033
"z0216924",79,0.431693989071038
"z0216926",120,0.655737704918033
"z0216927",134,0.73224043715847
"z0216928",176,0.961748633879781
"z0216929",30,0.163934426229508
"z0216930",175,0.956284153005464
"z0216931",148,0.808743169398907
