"locus","inds.genoed","prop.genoed"
"Dc00544",75,0.357142857142857
"Dc01018",136,0.647619047619048
"Dc01661",196,0.933333333333333
"Dc01707",196,0.933333333333333
"Dc01784",193,0.919047619047619
"Dc02951",203,0.966666666666667
"Dc03456",204,0.971428571428571
"Dc03556",199,0.947619047619048
"Dc03887",37,0.176190476190476
"Dc05864",79,0.376190476190476
"Dc06503",84,0.4
"Dc07300",208,0.99047619047619
"Dc07937",180,0.857142857142857
"Dc08054",205,0.976190476190476
"Dc08189",166,0.79047619047619
"Dc08463",202,0.961904761904762
"Dc08578",79,0.376190476190476
"Dc08865",207,0.985714285714286
"Dc10003",121,0.576190476190476
"Dc10390",209,0.995238095238095
"Dc10878",102,0.485714285714286
"Dc10885",196,0.933333333333333
"Dc11062",56,0.266666666666667
"Dc11203",208,0.99047619047619
"Dc11295",55,0.261904761904762
"Dc11714",183,0.871428571428571
"Dc12329",45,0.214285714285714
"Dc13159",167,0.795238095238095
"Dc13592",182,0.866666666666667
"Dc14022",188,0.895238095238095
"Dc14945",199,0.947619047619048
"Dc16747",152,0.723809523809524
"Dc16962",56,0.266666666666667
"Dc18951",207,0.985714285714286
"Dc20232",189,0.9
"Dc21465",44,0.20952380952381
"Dc21637",32,0.152380952380952
"Dc22013",46,0.219047619047619
"Dc22883",147,0.7
"Dc22887",196,0.933333333333333
"Dc27955",131,0.623809523809524
"Dc28124",203,0.966666666666667
"Dc28776",179,0.852380952380952
"Dc30071",197,0.938095238095238
"Dc31007",92,0.438095238095238
"Dc33714",194,0.923809523809524
"Dc33907",186,0.885714285714286
"Dc34902",199,0.947619047619048
"Dc35779",195,0.928571428571429
"Dc36571",167,0.795238095238095
"Dc36616",200,0.952380952380952
"Dc36767",86,0.40952380952381
"Dc40235",196,0.933333333333333
"Dc41234",93,0.442857142857143
"Dc46984",205,0.976190476190476
"Dc47572",207,0.985714285714286
"Dc47935",201,0.957142857142857
"Dc48207",157,0.747619047619048
"Dc48950",210,1
"Dc49080",209,0.995238095238095
"Dc49184",209,0.995238095238095
"Dc51020",201,0.957142857142857
"Dc52523",190,0.904761904761905
"Dc55481",158,0.752380952380952
"Dc58248",202,0.961904761904762
"Dc62188",202,0.961904761904762
"Dc67011",197,0.938095238095238
"locus002",125,0.595238095238095
"locus003",206,0.980952380952381
"locus004",206,0.980952380952381
"locus005",203,0.966666666666667
"locus006",200,0.952380952380952
"locus008",206,0.980952380952381
"locus013",204,0.971428571428571
"locus014",208,0.99047619047619
"locus016",200,0.952380952380952
"locus022",205,0.976190476190476
"locus024",193,0.919047619047619
"locus025",191,0.90952380952381
"locus027",96,0.457142857142857
"locus030",197,0.938095238095238
"locus035",199,0.947619047619048
"locus038",175,0.833333333333333
"locus039",193,0.919047619047619
"locus040",164,0.780952380952381
"locus041",170,0.80952380952381
"locus043",46,0.219047619047619
"locus045",194,0.923809523809524
"locus047",203,0.966666666666667
"locus048",199,0.947619047619048
"locus053",195,0.928571428571429
"locus055",198,0.942857142857143
"locus056",206,0.980952380952381
"locus058",199,0.947619047619048
"locus060",207,0.985714285714286
"locus061",162,0.771428571428571
"locus062",204,0.971428571428571
"locus064",209,0.995238095238095
"locus065",206,0.980952380952381
"locus069",68,0.323809523809524
"locus073",195,0.928571428571429
"locus074",206,0.980952380952381
"locus076",159,0.757142857142857
"locus077",187,0.89047619047619
"locus080",192,0.914285714285714
"locus083",176,0.838095238095238
"locus088",205,0.976190476190476
"locus093",126,0.6
"locus096",207,0.985714285714286
"locus098",166,0.79047619047619
"locus100",210,1
"locus102",49,0.233333333333333
"locus106",193,0.919047619047619
"locus110",96,0.457142857142857
"locus116",160,0.761904761904762
"locus119",205,0.976190476190476
"locus120",210,1
"locus126",102,0.485714285714286
"locus128",165,0.785714285714286
"locus129",207,0.985714285714286
"locus130",159,0.757142857142857
"locus134",185,0.880952380952381
"locus135",202,0.961904761904762
"locus137",202,0.961904761904762
"locus139",209,0.995238095238095
"locus140",210,1
"locus146",195,0.928571428571429
"locus148",208,0.99047619047619
"locus151",174,0.828571428571429
"locus157",150,0.714285714285714
"locus161",201,0.957142857142857
"locus165",180,0.857142857142857
"locus170",207,0.985714285714286
"locus176",186,0.885714285714286
"locus184",204,0.971428571428571
"locus186",205,0.976190476190476
"locus188",192,0.914285714285714
"locus189",204,0.971428571428571
"locus190",203,0.966666666666667
"locus191",185,0.880952380952381
"locus192",188,0.895238095238095
"locus195",191,0.90952380952381
"locus202",207,0.985714285714286
"locus210",113,0.538095238095238
"locus215",183,0.871428571428571
"locus227",189,0.9
"locus229",25,0.119047619047619
"locus231",138,0.657142857142857
"locus235",209,0.995238095238095
"locus236",207,0.985714285714286
"locus237",207,0.985714285714286
"locus239",206,0.980952380952381
"locus248",209,0.995238095238095
"locus255",75,0.357142857142857
"locus256",176,0.838095238095238
"locus263",193,0.919047619047619
"locus264",208,0.99047619047619
"locus274",195,0.928571428571429
"locus280",174,0.828571428571429
"locus282",194,0.923809523809524
"locus286",195,0.928571428571429
"locus289",33,0.157142857142857
"locus291",210,1
"locus292",204,0.971428571428571
"locus296",202,0.961904761904762
"locus298",40,0.19047619047619
"locus301",189,0.9
"locus314",162,0.771428571428571
"locus321",196,0.933333333333333
"locus322",206,0.980952380952381
"locus323",198,0.942857142857143
"locus329",193,0.919047619047619
"locus332",207,0.985714285714286
"locus334",59,0.280952380952381
"locus349",137,0.652380952380952
"locus358",208,0.99047619047619
"locus359",199,0.947619047619048
"locus360",182,0.866666666666667
