"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0006796",0.366702128563237,0.0333856499292528,3.15389520142386e-05,0.218157577145613,0.255068898307992,0.110639084223336,0.000754637725582299,0.0140947070531649,0.00116577809980756
"z0006798",0.686698804444356,0.0038588843105017,0.000147390837996699,0.0208866194121152,0.19414678556043,0.0900672516359655,0.000297111403939998,0.00231700237696424,0.00158015001773053
"z0006799",0.625742733745744,0.0286898338899628,2.39968027273774e-09,0.0171795631286666,0.29834732016766,0.0130137957774562,0.00126736181575625,0.00385496387719388,0.0119044251978806
"z0006800",0.027645999483532,0.00515784386212588,6.22527380570746e-09,0.0282482983148917,0.813580609660234,0.000589162367638614,0.123736561758373,0.00101889181869532,2.26265092357217e-05
"z0006801",0.825306360006632,0.000243235933818986,0.00462768566360816,0.00430948207573914,0.120849566436885,0.00192681753126495,0.00819282024273702,0.0276728974053938,0.00687113470392101
"z0006802",0.784332670469207,0.00495399192932077,6.50735853231557e-05,0.00160352293610207,0.0847912943025379,0.00313973795731727,1.41601486077027e-05,0.0460070878067469,0.0750924608648375
"z0006803",0.874395101041979,0.00941639588238844,6.29225295920914e-06,0.00859323822970983,0.0214919700365747,0.0836567736545597,9.46130906135325e-05,0.000684561847140411,0.00166105396407546
"z0006805",0.142276604645807,0.550531191366477,5.14675362594273e-08,0.0380315489459441,0.246290277254411,0.00454357558601027,0.000716752204504873,0.00148336069653957,0.0161266378327702
"z0012480",0.73023209332308,0.040933613373481,7.27083337799189e-05,0.0735549332846562,0.134163267988714,0.00814922838481859,0.000952876702213862,0.0115220379157981,0.000419240693458575
"z0012481",0.88036910009363,0.0183762048394911,3.67309386773671e-05,0.00382401583721779,0.0659049066212621,0.0136502529741425,5.2607738686117e-05,0.00160866481540639,0.0161775161414863
"z0012482",0.132874234455024,0.00587159579734019,5.06668027180701e-08,0.000365596395678608,0.0469925879619346,0.00135492370207788,0.000127355526609674,0.00336549018040606,0.809048165314126
"z0012483",0.6465316085785,0.000632025189140729,1.34137274978419e-06,0.0088481799608565,0.30454121461936,0.000327647815677347,0.00770363655825322,0.0247688669179778,0.00664547898748454
"z0012484",0.779804922939743,0.00976786792082757,0.0211182608249171,0.0124443856055614,0.152218194474749,0.0171608542920574,0.000172872318221547,0.00202983152535177,0.0052828100985714
"z0012485",0.761011203825994,0.0128968358638512,0.000177770603649941,0.00672887009171373,0.180576924304603,0.00129777520506505,0.0118166505990212,0.0134198098532208,0.0120741596528813
"z0012486",0.15942301664688,0.110079346109501,7.95657565030541e-07,0.0188458091955309,0.69363682040563,0.00847417987092075,0.00564142387291047,0.00281156805018323,0.00108704019087912
"z0012488",0.659377379649163,0.240077274247179,0.000482131152639476,0.0259296497405038,0.0515512555701998,0.0056472815613151,0.000112939608612003,0.0035378608182048,0.0132842276521825
"z0012489",0.19466597769364,0.273958110474948,0.000960955641173838,0.0722065463739377,0.411134582822459,0.00262624985257946,0.00226660431354033,0.0378472513516358,0.00433372147608697
