id,Stratum,Locality,Region,Country
z0035352,"In-water, CA",Central Coast,CA,USA
z0178009,"In-water, CA",Central Coast,CA,USA
z0178011,"In-water, CA",Central Coast,CA,USA
z0178014,"In-water, CA",Central Coast,CA,USA
z0207730,"In-water, CA",Central Coast,CA,USA
z0207745,"In-water, CA",Central Coast,CA,USA
z0210588,"In-water, CA",Central Coast,CA,USA
z0216904,HaevoSI-Winter,Haevo Beach,Isabel Island,Solomon Islands
z0216906,HaevoSI-Winter,Haevo Beach,Isabel Island,Solomon Islands
z0216907,HaevoSI-Winter,Haevo Beach,Isabel Island,Solomon Islands
z0216913,HaevoSI-Winter,Haevo Beach,Isabel Island,Solomon Islands
z0216918,HaevoSI-Winter,Haevo Beach,Isabel Island,Solomon Islands
z0216926,HaevoSI-Summer,Haevo Beach,Isabel Island,Solomon Islands
z0216927,HaevoSI-Summer,Haevo Beach,Isabel Island,Solomon Islands
z0216928,HaevoSI-Summer,Haevo Beach,Isabel Island,Solomon Islands
z0216930,HaevoSI-Summer,Haevo Beach,Isabel Island,Solomon Islands
z0134074,Bird's Head-Summer,Jeen Syuab,West Papua,Indonesia
z0062687,Bird's Head-Winter,Jeen Syuab,West Papua,Indonesia
z0062737,Bird's Head-Winter,Jeen Syuab,West Papua,Indonesia
z0062742,Bird's Head-Winter,Jeen Syuab,West Papua,Indonesia
z0062743,Bird's Head-Winter,Jeen Syuab,West Papua,Indonesia
z0062752,Bird's Head-Winter,Jeen Syuab,West Papua,Indonesia
z0062761,Bird's Head-Winter,Jeen Syuab,West Papua,Indonesia
z0062766,Bird's Head-Winter,Jeen Syuab,West Papua,Indonesia
z0062787,Bird's Head-Winter,Jeen Syuab,West Papua,Indonesia
z0037412,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037417,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037418,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037419,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037422,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037463,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037464,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037466,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037467,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037468,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0037471,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0062622,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0062627,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0062630,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0062634,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0062636,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0062680,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0062681,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076691,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076693,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076695,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076697,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076699,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076701,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076703,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076705,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076707,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076709,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076711,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076713,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0076715,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0102589,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0102605,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0102610,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0102616,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0102682,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134055,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134059,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134061,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134066,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134070,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134087,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134095,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134097,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134098,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
z0134101,Bird's Head-Summer,Jeen Yessa,West Papua,Indonesia
