,Locality,Region,Country,Stratum,full_address,Latitude,Longitude
1,Central Coast,CA,USA,"In-water, CA","Central Coast, CA, USA",36.92984206,-122.5869694
2,Haevo Beach,Isabel Island,Solomon Islands,HaevoSI-Winter,"Haevo Beach, Isabel Island, Solomon Islands",-8.266919484,159.7566079
3,Haevo Beach,Isabel Island,Solomon Islands,HaevoSI-Summer,"Haevo Beach, Isabel Island, Solomon Islands",-8.266919484,159.7566079
4,Jeen Syuab,West Papua,Indonesia,Bird's Head-Summer,"Jeen Syuab, West Papua, Indonesia",-0.419601787,132.8274859
5,Jeen Syuab,West Papua,Indonesia,Bird's Head-Winter,"Jeen Syuab, West Papua, Indonesia",-0.419601787,132.8274859
6,Jeen Yessa,West Papua,Indonesia,Bird's Head-Summer,"Jeen Yessa, West Papua, Indonesia",-0.348269159,132.4609671
7,Litoghahira,Isabel Island,Solomon Islands,IsabelSI-South,"Litoghahira, Isabel Island, Solomon Islands",-7.917754314,158.7932988
8,NA,NA,Malaysia,Malaysia,"NA, NA, Malaysia",5.605930009,103.4356729
9,NA,Maluku Islands,Indonesia,"In-water, Indonesia","NA, Maluku Islands, Indonesia",-2.764195935,129.9572884
10,NA,Morobe,Papua New Guinea,PNG,"NA, Morobe, Papua New Guinea",-7.753060126,147.5973412
11,NA,NA,Papua New Guinea,PNG,"NA, NA, Papua New Guinea",-7.753060126,147.5973412
12,Sasakolo,Isabel Island,Solomon Islands,IsabelSI-South,"Sasakolo, Isabel Island, Solomon Islands",-7.829744901,158.6899893
13,NA,Isabel Island,Solomon Islands,IsabelSI-South,"NA, Isabel Island, Solomon Islands",-7.829744901,158.6899893
