"k","reps","mean.ln.k","sd.ln.k","ln.pk","ln.ppk","delta.k"
1,3,-29314.1666666667,365.639581190732,NA,NA,NA
2,3,-28538.6,272.111135384056,775.566666666666,421.099999999999,1.54752946587673
3,3,-28184.1333333333,144.285977604662,354.466666666667,384,2.66138128163877
4,3,-28213.6666666667,548.068110122576,-29.5333333333328,291.533333333333,0.531929021135952
5,3,-27951.6666666667,178.019586937318,262,235.933333333331,1.32532232768523
6,3,-27925.6,81.4202063372478,26.0666666666693,366.23333333333,4.49806442170347
7,3,-27533.3,227.200264084354,392.299999999999,297,1.30721679042473
8,3,-27438,65.9596088526898,95.2999999999993,115.533333333333,1.75157699299518
9,3,-27458.2333333333,259.421516712343,-20.2333333333336,1.33333333333576,0.00513964049795534
10,3,-27477.1333333333,37.2747009824806,-18.8999999999978,NA,NA
