"k","reps","mean.ln.k","sd.ln.k","ln.pk","ln.ppk","delta.k"
1,3,-26902.7,0.556776436284048,NA,NA,NA
2,3,-26888.4333333333,3.44286702231426,14.2666666666664,71.8333333333321,20.8643937938232
3,3,-26946,36.0867011515323,-57.5666666666657,48.6333333333314,1.34768021962203
4,3,-26954.9333333333,34.3767848021504,-8.9333333333343,102.299999999999,2.9758454895875
5,3,-27066.1666666667,83.1152412818101,-111.233333333334,79.6333333333314,0.958107467477921
6,3,-27257.0333333333,14.2696647940067,-190.866666666665,134.466666666664,9.42325335652875
7,3,-27313.4333333333,64.140652735478,-56.4000000000015,745.533333333333,11.6234135690508
8,3,-28115.3666666667,296.964178535615,-801.933333333334,1177.93333333334,3.96658391305626
9,3,-27739.3666666667,151.002792468661,376.000000000004,522.700000000004,3.46152538939627
10,3,-27886.0666666667,282.349116048437,-146.700000000001,NA,NA
