"indiv","mixture_collection","assigned_population","assignment_probability"
"z0035352","In-water, CA","Bird's Head-Summer",0.998092660073295
"z0117088","In-water, Indonesia","Bird's Head-Summer",0.798357635870332
"z0117094","In-water, Indonesia","Bird's Head-Summer",0.850009547817474
"z0117103","In-water, Indonesia","Bird's Head-Summer",0.999685977502181
"z0178009","In-water, CA","Bird's Head-Summer",0.643203164648253
"z0178011","In-water, CA","Bird's Head-Summer",0.942902473512379
"z0178014","In-water, CA","Bird's Head-Summer",0.996266989942549
"z0207730","In-water, CA","Bird's Head-Summer",0.990908537855689
"z0207745","In-water, CA","Bird's Head-Summer",0.792638053719091
"z0210588","In-water, CA","Bird's Head-Summer",0.493642541083919
