"indiv","mixture_collection","assigned_population","assignment_probability"
"z0178009","In-water, CA","Bird's Head-Summer","0.6432"
"z0178009","In-water, CA","Bird's Head-Winter","0.0002219"
"z0178009","In-water, CA","HaevoSI-Summer","5.068e-11"
"z0178009","In-water, CA","HaevoSI-Winter","1.268e-05"
"z0178009","In-water, CA","IsabelSI-South","0.3562"
"z0178009","In-water, CA","Malaysia","1.018e-10"
"z0178009","In-water, CA","PNG","0.0003744"
"z0207730","In-water, CA","Bird's Head-Summer","0.9909"
"z0207730","In-water, CA","Bird's Head-Winter","0.002374"
"z0207730","In-water, CA","HaevoSI-Summer","1.8e-09"
"z0207730","In-water, CA","HaevoSI-Winter","3.706e-06"
"z0207730","In-water, CA","IsabelSI-South","0.00495"
"z0207730","In-water, CA","Malaysia","1.788e-16"
"z0207730","In-water, CA","PNG","0.001764"
"z0178011","In-water, CA","Bird's Head-Summer","0.9429"
"z0178011","In-water, CA","Bird's Head-Winter","6.719e-07"
"z0178011","In-water, CA","HaevoSI-Summer","2.049e-07"
"z0178011","In-water, CA","HaevoSI-Winter","2.429e-08"
"z0178011","In-water, CA","IsabelSI-South","0.03533"
"z0178011","In-water, CA","Malaysia","8.128e-11"
"z0178011","In-water, CA","PNG","0.02177"
"z0178014","In-water, CA","Bird's Head-Summer","0.9963"
"z0178014","In-water, CA","Bird's Head-Winter","2.333e-06"
"z0178014","In-water, CA","HaevoSI-Summer","4.98e-17"
"z0178014","In-water, CA","HaevoSI-Winter","2.526e-08"
"z0178014","In-water, CA","IsabelSI-South","0.003731"
"z0178014","In-water, CA","Malaysia","4.818e-15"
"z0178014","In-water, CA","PNG","9.226e-10"
"z0035352","In-water, CA","Bird's Head-Summer","0.9981"
"z0035352","In-water, CA","Bird's Head-Winter","4.512e-06"
"z0035352","In-water, CA","HaevoSI-Summer","1.547e-11"
"z0035352","In-water, CA","HaevoSI-Winter","0.0007779"
"z0035352","In-water, CA","IsabelSI-South","0.001122"
"z0035352","In-water, CA","Malaysia","6.359e-17"
"z0035352","In-water, CA","PNG","3.067e-06"
"z0210588","In-water, CA","Bird's Head-Summer","0.4936"
"z0210588","In-water, CA","Bird's Head-Winter","2.483e-10"
"z0210588","In-water, CA","HaevoSI-Summer","1.183e-10"
"z0210588","In-water, CA","HaevoSI-Winter","1.814e-08"
"z0210588","In-water, CA","IsabelSI-South","0.07325"
"z0210588","In-water, CA","Malaysia","1.063e-14"
"z0210588","In-water, CA","PNG","0.4331"
"z0207745","In-water, CA","Bird's Head-Summer","0.7926"
"z0207745","In-water, CA","Bird's Head-Winter","0.001534"
"z0207745","In-water, CA","HaevoSI-Summer","1.872e-07"
"z0207745","In-water, CA","HaevoSI-Winter","3.854e-11"
"z0207745","In-water, CA","IsabelSI-South","0.06699"
"z0207745","In-water, CA","Malaysia","2.512e-12"
"z0207745","In-water, CA","PNG","0.1388"
"z0117088","In-water, Indonesia","Bird's Head-Summer","0.7984"
"z0117088","In-water, Indonesia","Bird's Head-Winter","2.151e-06"
"z0117088","In-water, Indonesia","HaevoSI-Summer","5.235e-05"
"z0117088","In-water, Indonesia","HaevoSI-Winter","0.002695"
"z0117088","In-water, Indonesia","IsabelSI-South","0.1989"
"z0117088","In-water, Indonesia","Malaysia","6.274e-09"
"z0117088","In-water, Indonesia","PNG","1.272e-05"
"z0117103","In-water, Indonesia","Bird's Head-Summer","0.9997"
"z0117103","In-water, Indonesia","Bird's Head-Winter","1.924e-10"
"z0117103","In-water, Indonesia","HaevoSI-Summer","5.737e-10"
"z0117103","In-water, Indonesia","HaevoSI-Winter","3.61e-12"
"z0117103","In-water, Indonesia","IsabelSI-South","0.000314"
"z0117103","In-water, Indonesia","Malaysia","1.07e-17"
"z0117103","In-water, Indonesia","PNG","1.296e-09"
"z0117094","In-water, Indonesia","Bird's Head-Summer","0.85"
"z0117094","In-water, Indonesia","Bird's Head-Winter","0.000639"
"z0117094","In-water, Indonesia","HaevoSI-Summer","7.228e-12"
"z0117094","In-water, Indonesia","HaevoSI-Winter","4.924e-06"
"z0117094","In-water, Indonesia","IsabelSI-South","0.1493"
"z0117094","In-water, Indonesia","Malaysia","3.28e-13"
"z0117094","In-water, Indonesia","PNG","1.782e-05"
