"mixture_collection","repunit","mixing_proportion"
"In-water, CA","Bird's Head-Summer",0.75664800737512
"In-water, CA","Bird's Head-Winter",0.0175213264238613
"In-water, CA","HaevoSI-Summer",0.0167534562251356
"In-water, CA","HaevoSI-Winter",0.0179174689237766
"In-water, CA","IsabelSI-South",0.0814788247681209
"In-water, CA","Malaysia",0.0185744202495288
"In-water, CA","PNG",0.0911064960344569
"In-water, Indonesia","Bird's Head-Summer",0.706210661374194
"In-water, Indonesia","Bird's Head-Winter",0.036567784503266
"In-water, Indonesia","HaevoSI-Summer",0.0381261443048307
"In-water, Indonesia","HaevoSI-Winter",0.0370243515325172
"In-water, Indonesia","IsabelSI-South",0.117093492488385
"In-water, Indonesia","Malaysia",0.0301314939323719
"In-water, Indonesia","PNG",0.0348460718644355
