"locus","inds.genoed","prop.genoed"
"Dc00544",86,0.585034013605442
"Dc01018",120,0.816326530612245
"Dc01661",146,0.993197278911565
"Dc01707",146,0.993197278911565
"Dc01784",144,0.979591836734694
"Dc02951",147,1
"Dc03456",147,1
"Dc03556",146,0.993197278911565
"Dc05864",89,0.605442176870748
"Dc06503",88,0.598639455782313
"Dc07300",147,1
"Dc07937",139,0.945578231292517
"Dc08054",147,1
"Dc08189",135,0.918367346938776
"Dc08463",147,1
"Dc08578",82,0.557823129251701
"Dc08865",147,1
"Dc10003",111,0.755102040816326
"Dc10390",147,1
"Dc10878",101,0.687074829931973
"Dc10885",145,0.986394557823129
"Dc11203",147,1
"Dc11714",138,0.938775510204082
"Dc13159",131,0.891156462585034
"Dc13592",138,0.938775510204082
"Dc14022",142,0.965986394557823
"Dc14945",147,1
"Dc16747",122,0.829931972789116
"Dc18951",147,1
"Dc20232",143,0.972789115646258
"Dc22883",123,0.836734693877551
"Dc22887",147,1
"Dc27955",116,0.789115646258503
"Dc28124",147,1
"Dc28776",140,0.952380952380952
"Dc30071",146,0.993197278911565
"Dc31007",98,0.666666666666667
"Dc33714",145,0.986394557823129
"Dc33907",141,0.959183673469388
"Dc34902",146,0.993197278911565
"Dc35779",145,0.986394557823129
"Dc36571",136,0.925170068027211
"Dc36616",146,0.993197278911565
"Dc36767",89,0.605442176870748
"Dc40235",146,0.993197278911565
"Dc41234",98,0.666666666666667
"Dc46984",147,1
"Dc47572",147,1
"Dc47935",146,0.993197278911565
"Dc48207",129,0.877551020408163
"Dc48950",147,1
"Dc49080",147,1
"Dc49184",147,1
"Dc51020",147,1
"Dc52523",144,0.979591836734694
"Dc55481",127,0.863945578231292
"Dc58248",147,1
"Dc62188",146,0.993197278911565
"Dc67011",147,1
"locus002",102,0.693877551020408
"locus003",147,1
"locus004",147,1
"locus005",146,0.993197278911565
"locus006",147,1
"locus008",146,0.993197278911565
"locus013",147,1
"locus014",147,1
"locus022",147,1
"locus024",145,0.986394557823129
"locus025",142,0.965986394557823
"locus027",92,0.625850340136054
"locus030",147,1
"locus035",146,0.993197278911565
"locus038",134,0.91156462585034
"locus039",146,0.993197278911565
"locus040",131,0.891156462585034
"locus041",132,0.897959183673469
"locus045",145,0.986394557823129
"locus047",147,1
"locus048",147,1
"locus053",147,1
"locus055",146,0.993197278911565
"locus056",147,1
"locus058",146,0.993197278911565
"locus060",147,1
"locus061",131,0.891156462585034
"locus062",147,1
"locus064",147,1
"locus065",147,1
"locus073",145,0.986394557823129
"locus074",147,1
"locus076",127,0.863945578231292
"locus077",138,0.938775510204082
"locus080",142,0.965986394557823
"locus083",129,0.877551020408163
"locus088",147,1
"locus093",110,0.748299319727891
"locus096",147,1
"locus098",133,0.904761904761905
"locus100",147,1
"locus106",146,0.993197278911565
"locus110",88,0.598639455782313
"locus116",136,0.925170068027211
"locus119",147,1
"locus120",147,1
"locus126",95,0.646258503401361
"locus128",128,0.870748299319728
"locus129",147,1
"locus130",123,0.836734693877551
"locus134",138,0.938775510204082
"locus135",146,0.993197278911565
"locus137",147,1
"locus139",147,1
"locus140",147,1
"locus146",146,0.993197278911565
"locus148",147,1
"locus151",139,0.945578231292517
"locus157",125,0.850340136054422
"locus161",146,0.993197278911565
"locus165",131,0.891156462585034
"locus170",147,1
"locus176",136,0.925170068027211
"locus184",147,1
"locus186",147,1
"locus188",142,0.965986394557823
"locus189",146,0.993197278911565
"locus190",147,1
"locus191",140,0.952380952380952
"locus192",138,0.938775510204082
"locus195",143,0.972789115646258
"locus202",147,1
"locus210",104,0.707482993197279
"locus215",136,0.925170068027211
"locus227",145,0.986394557823129
"locus231",116,0.789115646258503
"locus235",147,1
"locus236",147,1
"locus237",147,1
"locus239",147,1
"locus248",147,1
"locus255",83,0.564625850340136
"locus256",134,0.91156462585034
"locus263",143,0.972789115646258
"locus264",147,1
"locus274",145,0.986394557823129
"locus280",138,0.938775510204082
"locus282",145,0.986394557823129
"locus286",145,0.986394557823129
"locus291",147,1
"locus292",147,1
"locus296",147,1
"locus301",143,0.972789115646258
"locus314",110,0.748299319727891
"locus321",145,0.986394557823129
"locus322",147,1
"locus323",145,0.986394557823129
"locus329",146,0.993197278911565
"locus332",147,1
"locus349",106,0.72108843537415
"locus358",147,1
"locus359",146,0.993197278911565
"locus360",140,0.952380952380952
