"Indiv","loci.genoed","prop.genoed"
"z0006796",147,0.907407407407407
"z0006798",161,0.993827160493827
"z0006799",160,0.987654320987654
"z0006800",158,0.975308641975309
"z0006801",149,0.919753086419753
"z0006802",161,0.993827160493827
"z0006803",156,0.962962962962963
"z0006805",158,0.975308641975309
"z0012480",154,0.950617283950617
"z0012481",162,1
"z0012482",152,0.938271604938272
"z0012483",156,0.962962962962963
"z0012484",148,0.91358024691358
"z0012485",161,0.993827160493827
"z0012486",151,0.932098765432099
"z0012488",146,0.901234567901235
"z0012489",162,1
"z0012490",117,0.722222222222222
"z0012491",151,0.932098765432099
"z0012492",162,1
"z0012493",143,0.882716049382716
"z0012494",150,0.925925925925926
"z0012497",156,0.962962962962963
"z0012499",160,0.987654320987654
"z0012500",159,0.981481481481482
"z0012503",153,0.944444444444444
"z0012504",160,0.987654320987654
"z0012505",132,0.814814814814815
"z0012509",160,0.987654320987654
"z0012511",152,0.938271604938272
"z0012515",123,0.759259259259259
"z0012517",146,0.901234567901235
"z0012519",159,0.981481481481482
"z0012520",155,0.95679012345679
"z0012521",161,0.993827160493827
"z0012522",143,0.882716049382716
"z0012523",138,0.851851851851852
"z0012524",144,0.888888888888889
"z0012525",150,0.925925925925926
"z0012527",161,0.993827160493827
"z0012528",146,0.901234567901235
"z0016882",133,0.820987654320988
"z0016883",161,0.993827160493827
"z0016884",161,0.993827160493827
"z0016885",150,0.925925925925926
"z0016886",134,0.82716049382716
"z0016887",136,0.839506172839506
"z0016888",144,0.888888888888889
"z0026450",162,1
"z0026451",153,0.944444444444444
"z0026452",149,0.919753086419753
"z0026456",139,0.858024691358025
"z0026457",161,0.993827160493827
"z0026458",138,0.851851851851852
"z0032021",160,0.987654320987654
"z0032022",103,0.635802469135803
"z0032023",133,0.820987654320988
"z0032024",154,0.950617283950617
"z0032031",148,0.91358024691358
"z0035352",159,0.981481481481482
"z0037412",161,0.993827160493827
"z0037417",151,0.932098765432099
"z0037418",149,0.919753086419753
"z0037419",160,0.987654320987654
"z0037422",153,0.944444444444444
"z0037463",161,0.993827160493827
"z0037464",160,0.987654320987654
"z0037466",157,0.969135802469136
"z0037467",144,0.888888888888889
"z0037468",155,0.95679012345679
"z0037471",157,0.969135802469136
"z0040942",160,0.987654320987654
"z0061457",157,0.969135802469136
"z0061464",156,0.962962962962963
"z0061467",162,1
"z0061468",145,0.895061728395062
"z0062622",162,1
"z0062627",161,0.993827160493827
"z0062630",161,0.993827160493827
"z0062634",158,0.975308641975309
"z0062636",159,0.981481481481482
"z0062680",157,0.969135802469136
"z0062681",158,0.975308641975309
"z0062687",162,1
"z0062737",154,0.950617283950617
"z0062742",160,0.987654320987654
"z0062743",162,1
"z0062752",162,1
"z0062761",162,1
"z0062766",162,1
"z0062787",161,0.993827160493827
"z0076691",162,1
"z0076693",159,0.981481481481482
"z0076695",161,0.993827160493827
"z0076697",162,1
"z0076699",157,0.969135802469136
"z0076701",153,0.944444444444444
"z0076703",149,0.919753086419753
"z0076705",151,0.932098765432099
"z0076707",158,0.975308641975309
"z0076709",158,0.975308641975309
"z0076711",156,0.962962962962963
"z0076713",149,0.919753086419753
"z0076715",155,0.95679012345679
"z0102589",158,0.975308641975309
"z0102605",161,0.993827160493827
"z0102610",162,1
"z0102616",157,0.969135802469136
"z0102682",131,0.808641975308642
"z0117088",131,0.808641975308642
"z0117094",127,0.783950617283951
"z0117103",150,0.925925925925926
"z0134055",144,0.888888888888889
"z0134059",140,0.864197530864197
"z0134061",131,0.808641975308642
"z0134066",124,0.765432098765432
"z0134070",160,0.987654320987654
"z0134074",161,0.993827160493827
"z0134087",131,0.808641975308642
"z0134095",119,0.734567901234568
"z0134097",140,0.864197530864197
"z0134098",149,0.919753086419753
"z0134101",157,0.969135802469136
"z0134108",152,0.938271604938272
"z0134109",151,0.932098765432099
"z0134111",143,0.882716049382716
"z0134112",161,0.993827160493827
"z0134113",160,0.987654320987654
"z0178009",162,1
"z0178011",161,0.993827160493827
"z0178014",161,0.993827160493827
"z0207730",161,0.993827160493827
"z0207745",158,0.975308641975309
"z0210588",161,0.993827160493827
"z0216904",159,0.981481481481482
"z0216906",154,0.950617283950617
"z0216907",118,0.728395061728395
"z0216913",131,0.808641975308642
"z0216918",146,0.901234567901235
"z0216926",121,0.746913580246914
"z0216927",132,0.814814814814815
"z0216928",159,0.981481481481482
"z0216930",159,0.981481481481482
"z0216931",146,0.901234567901235
