"locus","inds.genoed","prop.genoed"
"Dc00544",84,0.535031847133758
"Dc01018",118,0.751592356687898
"Dc01661",146,0.929936305732484
"Dc01707",144,0.917197452229299
"Dc01784",144,0.917197452229299
"Dc02951",152,0.968152866242038
"Dc03456",151,0.961783439490446
"Dc03556",147,0.936305732484076
"Dc03887",44,0.280254777070064
"Dc05864",87,0.554140127388535
"Dc06503",86,0.547770700636943
"Dc07300",155,0.987261146496815
"Dc07937",137,0.872611464968153
"Dc08054",152,0.968152866242038
"Dc08189",134,0.853503184713376
"Dc08463",149,0.949044585987261
"Dc08578",81,0.515923566878981
"Dc08865",155,0.987261146496815
"Dc10003",109,0.694267515923567
"Dc10390",156,0.993630573248408
"Dc10878",99,0.630573248407643
"Dc10885",144,0.917197452229299
"Dc11062",68,0.43312101910828
"Dc11203",156,0.993630573248408
"Dc11295",65,0.414012738853503
"Dc11714",139,0.885350318471338
"Dc12329",53,0.337579617834395
"Dc13159",129,0.821656050955414
"Dc13592",137,0.872611464968153
"Dc14022",142,0.904458598726115
"Dc14945",146,0.929936305732484
"Dc16747",121,0.770700636942675
"Dc16962",67,0.426751592356688
"Dc18951",154,0.980891719745223
"Dc20232",140,0.89171974522293
"Dc21465",57,0.363057324840764
"Dc21637",42,0.267515923566879
"Dc22013",51,0.32484076433121
"Dc22883",120,0.764331210191083
"Dc22887",145,0.923566878980892
"Dc27955",114,0.726114649681529
"Dc28124",150,0.955414012738854
"Dc28776",138,0.878980891719745
"Dc30071",147,0.936305732484076
"Dc31007",96,0.611464968152866
"Dc33714",143,0.910828025477707
"Dc33907",140,0.89171974522293
"Dc34902",148,0.942675159235669
"Dc35779",143,0.910828025477707
"Dc36571",134,0.853503184713376
"Dc36616",148,0.942675159235669
"Dc36767",87,0.554140127388535
"Dc40235",144,0.917197452229299
"Dc41234",96,0.611464968152866
"Dc46984",152,0.968152866242038
"Dc47572",154,0.980891719745223
"Dc47935",150,0.955414012738854
"Dc48207",126,0.802547770700637
"Dc48950",157,1
"Dc49080",156,0.993630573248408
"Dc49184",156,0.993630573248408
"Dc51020",149,0.949044585987261
"Dc52523",149,0.949044585987261
"Dc55481",126,0.802547770700637
"Dc58248",150,0.955414012738854
"Dc62188",149,0.949044585987261
"Dc67011",145,0.923566878980892
"locus002",100,0.636942675159236
"locus003",153,0.974522292993631
"locus004",156,0.993630573248408
"locus005",153,0.974522292993631
"locus006",148,0.942675159235669
"locus008",153,0.974522292993631
"locus013",153,0.974522292993631
"locus014",155,0.987261146496815
"locus016",147,0.936305732484076
"locus022",152,0.968152866242038
"locus024",144,0.917197452229299
"locus025",141,0.898089171974522
"locus027",90,0.573248407643312
"locus030",146,0.929936305732484
"locus035",146,0.929936305732484
"locus038",132,0.840764331210191
"locus039",146,0.929936305732484
"locus040",129,0.821656050955414
"locus041",129,0.821656050955414
"locus043",53,0.337579617834395
"locus045",145,0.923566878980892
"locus047",151,0.961783439490446
"locus048",149,0.949044585987261
"locus053",147,0.936305732484076
"locus055",146,0.929936305732484
"locus056",153,0.974522292993631
"locus058",149,0.949044585987261
"locus060",154,0.980891719745223
"locus061",131,0.834394904458599
"locus062",153,0.974522292993631
"locus064",156,0.993630573248408
"locus065",153,0.974522292993631
"locus069",69,0.439490445859873
"locus073",147,0.936305732484076
"locus074",153,0.974522292993631
"locus076",125,0.796178343949045
"locus077",138,0.878980891719745
"locus080",142,0.904458598726115
"locus083",128,0.815286624203822
"locus088",153,0.974522292993631
"locus093",108,0.687898089171974
"locus096",155,0.987261146496815
"locus098",130,0.828025477707006
"locus100",157,1
"locus102",60,0.382165605095541
"locus106",143,0.910828025477707
"locus110",88,0.560509554140127
"locus116",135,0.859872611464968
"locus119",152,0.968152866242038
"locus120",157,1
"locus126",93,0.592356687898089
"locus128",125,0.796178343949045
"locus129",154,0.980891719745223
"locus130",122,0.777070063694268
"locus134",137,0.872611464968153
"locus135",152,0.968152866242038
"locus137",149,0.949044585987261
"locus139",156,0.993630573248408
"locus140",157,1
"locus146",145,0.923566878980892
"locus148",155,0.987261146496815
"locus151",137,0.872611464968153
"locus157",123,0.78343949044586
"locus161",151,0.961783439490446
"locus165",132,0.840764331210191
"locus170",154,0.980891719745223
"locus176",136,0.86624203821656
"locus184",151,0.961783439490446
"locus186",153,0.974522292993631
"locus188",142,0.904458598726115
"locus189",151,0.961783439490446
"locus190",150,0.955414012738854
"locus191",137,0.872611464968153
"locus192",138,0.878980891719745
"locus195",143,0.910828025477707
"locus202",154,0.980891719745223
"locus210",102,0.64968152866242
"locus215",136,0.86624203821656
"locus227",142,0.904458598726115
"locus229",27,0.171974522292994
"locus231",114,0.726114649681529
"locus235",156,0.993630573248408
"locus236",155,0.987261146496815
"locus237",154,0.980891719745223
"locus239",154,0.980891719745223
"locus248",156,0.993630573248408
"locus255",81,0.515923566878981
"locus256",133,0.847133757961783
"locus263",143,0.910828025477707
"locus264",155,0.987261146496815
"locus274",144,0.917197452229299
"locus280",135,0.859872611464968
"locus282",144,0.917197452229299
"locus286",145,0.923566878980892
"locus289",35,0.222929936305732
"locus291",157,1
"locus292",151,0.961783439490446
"locus296",150,0.955414012738854
"locus298",63,0.401273885350318
"locus301",141,0.898089171974522
"locus314",115,0.732484076433121
"locus321",146,0.929936305732484
"locus322",153,0.974522292993631
"locus323",145,0.923566878980892
"locus329",145,0.923566878980892
"locus332",155,0.987261146496815
"locus334",69,0.439490445859873
"locus349",104,0.662420382165605
"locus358",155,0.987261146496815
"locus359",146,0.929936305732484
"locus360",137,0.872611464968153
