"SampleID","AssumedPop","Cluster1"
"z0006796",7,1
"z0006798",7,1
"z0006799",7,1
"z0006800",7,1
"z0006801",7,1
"z0006802",7,1
"z0006803",7,1
"z0006805",9,1
"z0012480",7,1
"z0012481",7,1
"z0012482",7,1
"z0012483",7,1
"z0012484",7,1
"z0012485",7,1
"z0012486",7,1
"z0012488",7,1
"z0012489",7,1
"z0012490",7,1
"z0012491",7,1
"z0012492",7,1
"z0012493",7,1
"z0012494",7,1
"z0012497",7,1
"z0012499",7,1
"z0012500",7,1
"z0012503",7,1
"z0012504",7,1
"z0012505",7,1
"z0012509",7,1
"z0012511",7,1
"z0012515",7,1
"z0012517",7,1
"z0012519",7,1
"z0012520",7,1
"z0012521",7,1
"z0012522",7,1
"z0012523",7,1
"z0012524",7,1
"z0012525",7,1
"z0012527",7,1
"z0012528",7,1
"z0016882",8,1
"z0016883",8,1
"z0016884",8,1
"z0016885",8,1
"z0016886",8,1
"z0016887",8,1
"z0016888",8,1
"z0026450",9,1
"z0026451",9,1
"z0026452",9,1
"z0026456",9,1
"z0026457",9,1
"z0026458",9,1
"z0032021",9,1
"z0032022",9,1
"z0032023",9,1
"z0032024",9,1
"z0032031",9,1
"z0035352",5,1
"z0037412",1,1
"z0037417",1,1
"z0037418",1,1
"z0037419",1,1
"z0037422",1,1
"z0037463",1,1
"z0037464",1,1
"z0037466",1,1
"z0037467",1,1
"z0037468",1,1
"z0037471",1,1
"z0040942",9,1
"z0061457",7,1
"z0061464",7,1
"z0061467",7,1
"z0061468",7,1
"z0062622",1,1
"z0062627",1,1
"z0062630",1,1
"z0062634",1,1
"z0062636",1,1
"z0062680",1,1
"z0062681",1,1
"z0062687",2,1
"z0062737",2,1
"z0062742",2,1
"z0062743",2,1
"z0062752",2,1
"z0062761",2,1
"z0062766",2,1
"z0062787",2,1
"z0076691",1,1
"z0076693",1,1
"z0076695",1,1
"z0076697",1,1
"z0076699",1,1
"z0076701",1,1
"z0076703",1,1
"z0076705",1,1
"z0076707",1,1
"z0076709",1,1
"z0076711",1,1
"z0076713",1,1
"z0076715",1,1
"z0102589",1,1
"z0102605",1,1
"z0102610",1,1
"z0102616",1,1
"z0102682",1,1
"z0117088",6,1
"z0117094",6,1
"z0117103",6,1
"z0134055",1,1
"z0134059",1,1
"z0134061",1,1
"z0134066",1,1
"z0134070",1,1
"z0134074",1,1
"z0134087",1,1
"z0134095",1,1
"z0134097",1,1
"z0134098",1,1
"z0134101",1,1
"z0134108",1,1
"z0134109",1,1
"z0134111",1,1
"z0134112",1,1
"z0134113",1,1
"z0178009",5,1
"z0178011",5,1
"z0178014",5,1
"z0207730",5,1
"z0207745",5,1
"z0210588",5,1
"z0216904",4,1
"z0216906",4,1
"z0216907",4,1
"z0216913",4,1
"z0216918",4,1
"z0216926",3,1
"z0216927",3,1
"z0216928",3,1
"z0216930",3,1
"z0216931",7,1
