"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10"
"z0006796",7,0,0.001,0,0.001,0,0,0.962,0,0,0
"z0006798",7,0,0,0,0,0,0,0.966,0,0,0
"z0006799",7,0,0.001,0,0.001,0,0,0.967,0,0,0
"z0006800",7,0.006,0.001,0.001,0.001,0.001,0,0.942,0,0.001,0.001
"z0006801",7,0,0,0.001,0,0.001,0,0.957,0.001,0,0.003
"z0006802",7,0,0,0.001,0.001,0.03,0.004,0.925,0,0,0.006
"z0006803",7,0,0.001,0.001,0.001,0,0,0.957,0,0.001,0.001
"z0006805",9,0,0,0,0,0,0,0.001,0,0.964,0
"z0012480",7,0,0,0,0,0.008,0.008,0.649,0,0,0.006
"z0012481",7,0,0.001,0.001,0.001,0.004,0.001,0.942,0,0,0.001
"z0012482",7,0,0,0.001,0,0.018,0.071,0.29,0,0.001,0
"z0012483",7,0,0.001,0.001,0.001,0.001,0,0.961,0,0,0.001
"z0012484",7,0,0.001,0.001,0.001,0,0,0.956,0,0,0
"z0012485",7,0.001,0.001,0.001,0.001,0,0,0.948,0,0.001,0.001
"z0012486",7,0.002,0.001,0.001,0.001,0.001,0,0.951,0,0.001,0.001
"z0012488",7,0.001,0.001,0.001,0.001,0.001,0,0.938,0,0.003,0.001
"z0012489",7,0.005,0.004,0.004,0.005,0.01,0.006,0.825,0,0.022,0.01
"z0012490",7,0.001,0.001,0.001,0.001,0.001,0,0.955,0,0.001,0.001
"z0012491",7,0.001,0.001,0.001,0.001,0.001,0.001,0.958,0,0.001,0.001
"z0012492",7,0.001,0.001,0.001,0.001,0.001,0,0.952,0,0.001,0.001
"z0012493",7,0,0,0,0,0,0,0.974,0,0,0.001
"z0012494",7,0,0.001,0,0.001,0.001,0,0.967,0,0,0
"z0012497",7,0.002,0.002,0.002,0.002,0.001,0,0.843,0,0.001,0.001
"z0012499",7,0.001,0.001,0.001,0.001,0,0,0.963,0,0,0
"z0012500",7,0.001,0.001,0.001,0.001,0.001,0,0.961,0,0.001,0.001
"z0012503",7,0.002,0.001,0.001,0.001,0.001,0,0.918,0,0,0.001
"z0012504",7,0.001,0.001,0.001,0.001,0.001,0,0.952,0,0.001,0.001
"z0012505",7,0.001,0.001,0.001,0.001,0.001,0,0.951,0,0.001,0.001
"z0012509",7,0.001,0.001,0.001,0.001,0,0,0.958,0,0.001,0
"z0012511",7,0,0.001,0.001,0.001,0.004,0.001,0.945,0,0,0.006
"z0012515",7,0,0.001,0.001,0.001,0,0,0.914,0.001,0.004,0.001
"z0012517",7,0,0,0,0,0.169,0.772,0.043,0,0,0
"z0012519",7,0,0.001,0.001,0.001,0,0,0.962,0,0.001,0
"z0012520",7,0.001,0,0.001,0,0.001,0,0.967,0,0,0.001
"z0012521",7,0,0,0,0,0.001,0,0.966,0,0,0.003
"z0012522",7,0,0.001,0.001,0.001,0.001,0,0.949,0,0.001,0.001
"z0012523",7,0.001,0.001,0.001,0.001,0.005,0.001,0.94,0,0.002,0.006
"z0012524",7,0,0,0,0,0.172,0.784,0.043,0,0,0
"z0012525",7,0,0,0,0,0.001,0,0.883,0.008,0,0.003
"z0012527",7,0,0.001,0.001,0.001,0.012,0.025,0.793,0,0,0.043
"z0012528",7,0.001,0.001,0.001,0.001,0,0,0.964,0,0,0
"z0016882",8,0,0,0,0,0,0,0,0.954,0,0
"z0016883",8,0,0,0,0,0,0,0,0.997,0,0
"z0016884",8,0.034,0.036,0.033,0.034,0.037,0.007,0.02,0.466,0.021,0.039
"z0016885",8,0,0,0,0,0,0,0,0.96,0,0
"z0016886",8,0,0,0,0,0,0,0,0.995,0,0
"z0016887",8,0,0,0,0,0,0,0,0.963,0,0
"z0016888",8,0,0,0,0,0,0,0,0.986,0,0
"z0026450",9,0.005,0.002,0.002,0.002,0.001,0,0.001,0,0.928,0.002
"z0026451",9,0.001,0.001,0.001,0.001,0,0,0,0,0.953,0
"z0026452",9,0,0.001,0.001,0.001,0.001,0,0,0.001,0.948,0.001
"z0026456",9,0,0,0,0,0,0,0,0.002,0.956,0
"z0026457",9,0.001,0.002,0.001,0.001,0.001,0,0.001,0,0.953,0.001
"z0026458",9,0.001,0.001,0.001,0.001,0,0,0,0,0.945,0
"z0032021",9,0.001,0,0,0,0,0,0.001,0,0.967,0
"z0032022",9,0,0.001,0.001,0.001,0,0,0.001,0,0.951,0.001
"z0032023",9,0,0,0,0,0,0,0,0,0.969,0
"z0032024",9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.958,0.002
"z0032031",9,0.001,0.001,0,0.001,0,0,0,0,0.964,0
"z0035352",5,0.123,0.111,0.108,0.112,0.09,0.081,0.108,0.067,0.105,0.095
"z0037412",1,0.944,0.001,0.001,0.001,0.001,0,0.001,0,0.004,0.001
"z0037417",1,0.958,0.001,0.001,0.001,0,0,0,0,0,0
"z0037418",1,0.934,0.001,0.001,0.002,0.001,0,0.004,0,0.001,0.001
"z0037419",1,0.966,0,0.001,0,0.001,0,0,0,0,0.001
"z0037422",1,0.97,0,0,0,0,0,0,0,0,0
"z0037463",1,0.945,0.001,0.001,0.001,0.001,0,0.001,0,0,0.001
"z0037464",1,0.96,0.001,0.001,0.001,0.001,0,0,0,0,0.001
"z0037466",1,0.957,0.001,0,0.001,0,0,0,0,0.001,0
"z0037467",1,0.966,0.001,0,0.001,0,0,0,0,0,0.001
"z0037468",1,0.968,0,0,0,0,0,0,0,0,0
"z0037471",1,0.958,0.001,0.001,0.001,0,0,0.001,0,0,0
"z0040942",9,0.001,0.001,0.001,0.001,0.001,0,0.001,0,0.957,0.001
"z0061457",7,0,0.001,0.001,0.001,0,0,0.963,0,0,0
"z0061464",7,0.001,0.002,0.002,0.002,0.001,0,0.933,0,0.007,0.001
"z0061467",7,0,0,0,0,0,0,0.955,0,0,0
"z0061468",7,0.001,0.001,0.001,0.001,0.001,0,0.952,0,0,0.001
"z0062622",1,0.943,0.001,0.002,0.001,0.001,0,0.001,0,0.001,0.001
"z0062627",1,0.953,0.001,0.001,0.001,0.001,0,0.001,0,0,0.001
"z0062630",1,0.962,0.001,0.001,0.001,0.002,0.001,0.001,0,0,0.001
"z0062634",1,0.956,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001
"z0062636",1,0.965,0.001,0,0.001,0,0,0,0,0,0.001
"z0062680",1,0.93,0.001,0.001,0,0,0,0,0.007,0,0
"z0062681",1,0.968,0,0,0,0,0,0,0,0,0
"z0062687",2,0.001,0.962,0.001,0.001,0,0,0,0,0,0
"z0062737",2,0.001,0.958,0.001,0.001,0.001,0,0.001,0,0.001,0.001
"z0062742",2,0.002,0.956,0.001,0.001,0,0,0,0,0.001,0.001
"z0062743",2,0.001,0.952,0.001,0.001,0.001,0,0.002,0,0,0.001
"z0062752",2,0.001,0.963,0.001,0.001,0.001,0,0.001,0,0.001,0.001
"z0062761",2,0.001,0.96,0.001,0.001,0,0,0,0,0.001,0
"z0062766",2,0,0.942,0.001,0.001,0,0,0.001,0,0.001,0
"z0062787",2,0.001,0.955,0.001,0.001,0.001,0,0,0,0.001,0.001
"z0076691",1,0.966,0,0.001,0.001,0,0,0.001,0,0,0
"z0076693",1,0.972,0,0,0,0,0,0,0,0,0
"z0076695",1,0.954,0,0.001,0,0,0,0,0,0,0.001
"z0076697",1,0.951,0.001,0.001,0.001,0,0,0,0,0.001,0
"z0076699",1,0.97,0,0,0,0,0,0,0,0,0
"z0076701",1,0.962,0.001,0.001,0.001,0,0,0,0,0.001,0
"z0076703",1,0.943,0.001,0.001,0.001,0,0,0.001,0,0.001,0.001
"z0076705",1,0.955,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001
"z0076707",1,0.944,0.001,0.002,0.001,0.001,0,0.002,0,0.002,0.001
"z0076709",1,0.952,0.001,0.001,0.001,0,0,0.001,0,0.001,0.001
"z0076711",1,0.949,0.001,0.001,0.001,0.001,0,0.002,0,0.002,0.001
"z0076713",1,0.957,0.001,0.001,0.001,0,0,0,0,0.001,0
"z0076715",1,0.87,0.001,0.001,0.001,0,0,0,0,0.001,0
"z0102589",1,0.959,0.001,0.001,0.001,0.001,0,0,0,0,0.001
"z0102605",1,0.956,0.001,0.001,0.001,0,0,0,0,0.002,0.001
"z0102610",1,0.943,0.001,0.001,0.001,0.001,0,0.002,0,0.001,0.001
"z0102616",1,0.976,0,0,0,0,0,0,0,0,0
"z0102682",1,0.956,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001
"z0117088",6,0.108,0.105,0.105,0.107,0.092,0.086,0.11,0.093,0.099,0.094
"z0117094",6,0.114,0.109,0.105,0.109,0.092,0.077,0.111,0.086,0.105,0.093
"z0117103",6,0.133,0.106,0.109,0.109,0.092,0.083,0.106,0.069,0.101,0.093
"z0134055",1,0.953,0.001,0.001,0.001,0.001,0,0.001,0,0,0.001
"z0134059",1,0.96,0,0,0.001,0,0,0.001,0,0,0
"z0134061",1,0.968,0,0,0,0,0,0,0,0,0
"z0134066",1,0.918,0.001,0.001,0.001,0,0,0.001,0,0.001,0.001
"z0134070",1,0.968,0,0,0,0,0,0,0,0.001,0
"z0134074",1,0.892,0.006,0.005,0.005,0.005,0.001,0.006,0,0.005,0.006
"z0134087",1,0.95,0.001,0.001,0.001,0.002,0.001,0.001,0,0.003,0.001
"z0134095",1,0.959,0.001,0.001,0.001,0,0,0.001,0,0.001,0.001
"z0134097",1,0.97,0,0,0,0,0,0,0,0,0
"z0134098",1,0.959,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001
"z0134101",1,0.948,0.001,0.001,0.001,0,0,0.001,0,0,0
"z0134108",1,0.974,0,0,0,0,0,0,0,0,0
"z0134109",1,0.966,0,0,0.001,0,0,0,0,0,0
