"SampleID","AssumedPop","Cluster1","Cluster2"
"z0006796",7,0.505,0.495
"z0006798",7,0.543,0.457
"z0006799",7,0.503,0.497
"z0006800",7,0.605,0.395
"z0006801",7,0.543,0.457
"z0006802",7,0.547,0.453
"z0006803",7,0.517,0.483
"z0006805",9,0.594,0.406
"z0012480",7,0.537,0.463
"z0012481",7,0.537,0.463
"z0012482",7,0.551,0.449
"z0012483",7,0.528,0.472
"z0012484",7,0.514,0.486
"z0012485",7,0.558,0.442
"z0012486",7,0.547,0.453
"z0012488",7,0.566,0.434
"z0012489",7,0.551,0.449
"z0012490",7,0.511,0.489
"z0012491",7,0.567,0.433
"z0012492",7,0.535,0.465
"z0012493",7,0.532,0.468
"z0012494",7,0.495,0.505
"z0012497",7,0.558,0.442
"z0012499",7,0.547,0.453
"z0012500",7,0.557,0.443
"z0012503",7,0.54,0.46
"z0012504",7,0.573,0.427
"z0012505",7,0.52,0.48
"z0012509",7,0.553,0.447
"z0012511",7,0.498,0.502
"z0012515",7,0.526,0.474
"z0012517",7,0.534,0.466
"z0012519",7,0.546,0.454
"z0012520",7,0.584,0.416
"z0012521",7,0.561,0.439
"z0012522",7,0.525,0.475
"z0012523",7,0.495,0.505
"z0012524",7,0.547,0.453
"z0012525",7,0.538,0.462
"z0012527",7,0.524,0.476
"z0012528",7,0.538,0.462
"z0016882",8,0.56,0.44
"z0016883",8,0.499,0.501
"z0016884",8,0.529,0.471
"z0016885",8,0.517,0.483
"z0016886",8,0.536,0.464
"z0016887",8,0.526,0.474
"z0016888",8,0.571,0.429
"z0026450",9,0.556,0.444
"z0026451",9,0.543,0.457
"z0026452",9,0.539,0.461
"z0026456",9,0.521,0.479
"z0026457",9,0.502,0.498
"z0026458",9,0.513,0.487
"z0032021",9,0.565,0.435
"z0032022",9,0.52,0.48
"z0032023",9,0.507,0.493
"z0032024",9,0.543,0.457
"z0032031",9,0.537,0.463
"z0035352",5,0.541,0.459
"z0037412",1,0.946,0.008
"z0037417",1,0.953,0.005
"z0037418",1,0.955,0.005
"z0037419",1,0.953,0.007
"z0037422",1,0.941,0.01
"z0037463",1,0.941,0.01
"z0037464",1,0.95,0.007
"z0037466",1,0.93,0.013
"z0037467",1,0.951,0.007
"z0037468",1,0.952,0.006
"z0037471",1,0.953,0.006
"z0040942",9,0.529,0.471
"z0061457",7,0.535,0.465
"z0061464",7,0.512,0.488
"z0061467",7,0.54,0.46
"z0061468",7,0.545,0.455
"z0062622",1,0.949,0.007
"z0062627",1,0.941,0.011
"z0062630",1,0.96,0.005
"z0062634",1,0.955,0.006
"z0062636",1,0.941,0.01
"z0062680",1,0.95,0.007
"z0062681",1,0.957,0.004
"z0062687",2,0.006,0.952
"z0062737",2,0.009,0.945
"z0062742",2,0.011,0.936
"z0062743",2,0.011,0.938
"z0062752",2,0.004,0.959
"z0062761",2,0.007,0.948
"z0062766",2,0.006,0.953
"z0062787",2,0.005,0.956
"z0076691",1,0.953,0.006
"z0076693",1,0.952,0.006
"z0076695",1,0.964,0.003
"z0076697",1,0.95,0.006
"z0076699",1,0.949,0.007
"z0076701",1,0.953,0.006
"z0076703",1,0.94,0.009
"z0076705",1,0.943,0.01
"z0076707",1,0.955,0.005
"z0076709",1,0.946,0.008
"z0076711",1,0.954,0.006
"z0076713",1,0.949,0.006
"z0076715",1,0.957,0.005
"z0102589",1,0.954,0.006
"z0102605",1,0.948,0.008
"z0102610",1,0.946,0.008
"z0102616",1,0.961,0.004
"z0102682",1,0.943,0.009
"z0117088",6,0.561,0.439
"z0117094",6,0.524,0.476
"z0117103",6,0.598,0.402
"z0134055",1,0.951,0.007
"z0134059",1,0.956,0.005
"z0134061",1,0.957,0.005
"z0134066",1,0.95,0.006
"z0134070",1,0.959,0.005
"z0134074",1,0.912,0.028
"z0134087",1,0.953,0.006
"z0134095",1,0.945,0.008
"z0134097",1,0.952,0.006
"z0134098",1,0.957,0.005
"z0134101",1,0.953,0.006
"z0134108",1,0.941,0.011
"z0134109",1,0.953,0.006
"z0134111",1,0.941,0.01
"z0134112",1,0.958,0.004
"z0134113",1,0.952,0.006
"z0178009",5,0.526,0.474
"z0178011",5,0.551,0.449
"z0178014",5,0.54,0.46
"z0207730",5,0.516,0.484
"z0207745",5,0.517,0.483
"z0210588",5,0.568,0.432
"z0216904",4,0.546,0.454
"z0216906",4,0.571,0.429
"z0216907",4,0.564,0.436
"z0216913",4,0.534,0.466
"z0216918",4,0.552,0.448
"z0216926",3,0.523,0.477
"z0216927",3,0.551,0.449
"z0216928",3,0.579,0.421
"z0216930",3,0.571,0.429
"z0216931",7,0.561,0.439
