"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4"
"z0006796",7,0.253,0.25,0.236,0.261
"z0006798",7,0.265,0.249,0.235,0.251
"z0006799",7,0.253,0.254,0.235,0.258
"z0006800",7,0.283,0.229,0.23,0.257
"z0006801",7,0.25,0.242,0.254,0.253
"z0006802",7,0.257,0.243,0.247,0.253
"z0006803",7,0.259,0.254,0.236,0.25
"z0006805",9,0.273,0.229,0.246,0.251
"z0012480",7,0.263,0.249,0.237,0.251
"z0012481",7,0.26,0.247,0.244,0.249
"z0012482",7,0.256,0.238,0.259,0.247
"z0012483",7,0.261,0.249,0.233,0.256
"z0012484",7,0.261,0.256,0.233,0.25
"z0012485",7,0.268,0.24,0.241,0.251
"z0012486",7,0.271,0.246,0.233,0.251
"z0012488",7,0.275,0.237,0.239,0.25
"z0012489",7,0.265,0.246,0.234,0.256
"z0012490",7,0.258,0.254,0.241,0.247
"z0012491",7,0.274,0.241,0.233,0.252
"z0012492",7,0.266,0.253,0.229,0.251
"z0012493",7,0.26,0.248,0.241,0.251
"z0012494",7,0.254,0.255,0.235,0.256
"z0012497",7,0.263,0.241,0.243,0.253
"z0012499",7,0.265,0.246,0.242,0.247
"z0012500",7,0.264,0.245,0.241,0.251
"z0012503",7,0.258,0.247,0.243,0.253
"z0012504",7,0.271,0.236,0.239,0.253
"z0012505",7,0.262,0.246,0.234,0.258
"z0012509",7,0.274,0.245,0.232,0.249
"z0012511",7,0.251,0.261,0.242,0.246
"z0012515",7,0.256,0.25,0.245,0.25
"z0012517",7,0.257,0.246,0.245,0.252
"z0012519",7,0.262,0.245,0.241,0.252
"z0012520",7,0.272,0.233,0.244,0.251
"z0012521",7,0.271,0.242,0.227,0.259
"z0012522",7,0.263,0.251,0.232,0.253
"z0012523",7,0.261,0.262,0.231,0.246
"z0012524",7,0.264,0.241,0.244,0.251
"z0012525",7,0.256,0.243,0.25,0.252
"z0012527",7,0.245,0.249,0.249,0.257
"z0012528",7,0.265,0.249,0.241,0.245
"z0016882",8,0.263,0.238,0.245,0.255
"z0016883",8,0.254,0.261,0.239,0.246
"z0016884",8,0.264,0.25,0.235,0.252
"z0016885",8,0.258,0.254,0.236,0.252
"z0016886",8,0.266,0.247,0.236,0.252
"z0016887",8,0.264,0.25,0.241,0.245
"z0016888",8,0.27,0.236,0.242,0.251
"z0026450",9,0.265,0.238,0.238,0.258
"z0026451",9,0.261,0.247,0.243,0.248
"z0026452",9,0.26,0.246,0.242,0.252
"z0026456",9,0.258,0.25,0.245,0.247
"z0026457",9,0.256,0.262,0.237,0.245
"z0026458",9,0.26,0.256,0.232,0.252
"z0032021",9,0.272,0.235,0.235,0.258
"z0032022",9,0.26,0.251,0.24,0.25
"z0032023",9,0.252,0.256,0.243,0.249
"z0032024",9,0.263,0.243,0.246,0.248
"z0032031",9,0.27,0.249,0.235,0.246
"z0035352",5,0.264,0.246,0.231,0.259
"z0037412",1,0.946,0.003,0.003,0.003
"z0037417",1,0.949,0.002,0.002,0.002
"z0037418",1,0.951,0.002,0.002,0.002
"z0037419",1,0.949,0.002,0.003,0.003
"z0037422",1,0.948,0.003,0.002,0.002
"z0037463",1,0.95,0.003,0.002,0.002
"z0037464",1,0.944,0.003,0.004,0.003
"z0037466",1,0.948,0.004,0.002,0.002
"z0037467",1,0.95,0.002,0.002,0.003
"z0037468",1,0.954,0.002,0.002,0.002
"z0037471",1,0.951,0.002,0.002,0.003
"z0040942",9,0.263,0.249,0.239,0.249
"z0061457",7,0.259,0.249,0.238,0.253
"z0061464",7,0.258,0.25,0.24,0.252
"z0061467",7,0.258,0.244,0.245,0.253
"z0061468",7,0.259,0.246,0.243,0.253
"z0062622",1,0.94,0.003,0.004,0.003
"z0062627",1,0.945,0.003,0.003,0.003
"z0062630",1,0.951,0.002,0.003,0.003
"z0062634",1,0.951,0.002,0.003,0.002
"z0062636",1,0.952,0.003,0.002,0.002
"z0062680",1,0.95,0.002,0.003,0.002
"z0062681",1,0.953,0.002,0.002,0.002
"z0062687",2,0.002,0.953,0.002,0.002
"z0062737",2,0.003,0.947,0.002,0.003
"z0062742",2,0.003,0.943,0.003,0.003
"z0062743",2,0.003,0.945,0.003,0.003
"z0062752",2,0.002,0.957,0.002,0.002
"z0062761",2,0.002,0.951,0.002,0.002
"z0062766",2,0.002,0.953,0.002,0.002
"z0062787",2,0.002,0.953,0.002,0.002
"z0076691",1,0.949,0.002,0.002,0.003
"z0076693",1,0.953,0.002,0.002,0.002
"z0076695",1,0.953,0.001,0.003,0.002
"z0076697",1,0.95,0.002,0.002,0.002
"z0076699",1,0.951,0.002,0.002,0.002
"z0076701",1,0.948,0.002,0.003,0.003
"z0076703",1,0.943,0.003,0.003,0.003
"z0076705",1,0.949,0.003,0.002,0.003
"z0076707",1,0.946,0.002,0.003,0.003
"z0076709",1,0.948,0.003,0.002,0.002
"z0076711",1,0.954,0.002,0.002,0.002
"z0076713",1,0.949,0.002,0.002,0.002
"z0076715",1,0.947,0.002,0.003,0.003
"z0102589",1,0.951,0.002,0.002,0.003
"z0102605",1,0.949,0.003,0.002,0.002
"z0102610",1,0.951,0.003,0.002,0.002
"z0102616",1,0.959,0.001,0.002,0.002
"z0102682",1,0.949,0.003,0.002,0.002
"z0117088",6,0.259,0.238,0.245,0.257
"z0117094",6,0.265,0.253,0.229,0.253
"z0117103",6,0.279,0.23,0.245,0.246
"z0134055",1,0.946,0.003,0.003,0.003
"z0134059",1,0.952,0.002,0.002,0.002
"z0134061",1,0.955,0.002,0.002,0.002
"z0134066",1,0.946,0.002,0.003,0.003
"z0134070",1,0.955,0.002,0.002,0.002
"z0134074",1,0.934,0.007,0.004,0.004
"z0134087",1,0.945,0.002,0.005,0.003
"z0134095",1,0.952,0.003,0.002,0.002
"z0134097",1,0.955,0.002,0.002,0.002
"z0134098",1,0.95,0.002,0.003,0.003
"z0134101",1,0.953,0.002,0.002,0.002
"z0134108",1,0.946,0.003,0.002,0.003
"z0134109",1,0.951,0.002,0.002,0.002
"z0134111",1,0.945,0.003,0.003,0.003
"z0134112",1,0.959,0.002,0.001,0.002
"z0134113",1,0.948,0.002,0.003,0.002
"z0178009",5,0.259,0.252,0.235,0.253
"z0178011",5,0.264,0.246,0.238,0.252
"z0178014",5,0.275,0.253,0.221,0.252
"z0207730",5,0.254,0.255,0.24,0.25
"z0207745",5,0.261,0.253,0.239,0.247
"z0210588",5,0.27,0.236,0.231,0.263
"z0216904",4,0.002,0.002,0.003,0.951
"z0216906",4,0.004,0.002,0.003,0.945
"z0216907",4,0.002,0.002,0.002,0.952
"z0216913",4,0.003,0.003,0.003,0.947
"z0216918",4,0.003,0.002,0.003,0.947
"z0216926",3,0.002,0.003,0.948,0.002
"z0216927",3,0.003,0.002,0.947,0.003
"z0216928",3,0.003,0.002,0.946,0.004
"z0216930",3,0.002,0.002,0.951,0.002
"z0216931",7,0.261,0.238,0.251,0.249
