"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5"
"z0006796",7,0.219,0.217,0.196,0.211,0.158
"z0006798",7,0.218,0.212,0.2,0.207,0.162
"z0006799",7,0.22,0.22,0.201,0.205,0.155
"z0006800",7,0.221,0.214,0.195,0.208,0.163
"z0006801",7,0.208,0.208,0.212,0.211,0.161
"z0006802",7,0.209,0.21,0.207,0.211,0.163
"z0006803",7,0.215,0.215,0.202,0.207,0.162
"z0006805",9,0.218,0.21,0.208,0.204,0.16
"z0012480",7,0.215,0.214,0.2,0.209,0.161
"z0012481",7,0.212,0.21,0.208,0.208,0.162
"z0012482",7,0.211,0.207,0.217,0.203,0.162
"z0012483",7,0.216,0.215,0.198,0.211,0.161
"z0012484",7,0.219,0.216,0.2,0.203,0.161
"z0012485",7,0.217,0.215,0.205,0.204,0.159
"z0012486",7,0.22,0.217,0.202,0.201,0.159
"z0012488",7,0.219,0.214,0.204,0.2,0.163
"z0012489",7,0.216,0.215,0.2,0.209,0.16
"z0012490",7,0.213,0.214,0.206,0.2,0.167
"z0012491",7,0.215,0.215,0.197,0.209,0.164
"z0012492",7,0.216,0.215,0.196,0.21,0.164
"z0012493",7,0.212,0.214,0.202,0.209,0.163
"z0012494",7,0.221,0.222,0.2,0.2,0.158
"z0012497",7,0.214,0.211,0.206,0.211,0.158
"z0012499",7,0.215,0.214,0.208,0.202,0.161
"z0012500",7,0.214,0.213,0.205,0.206,0.162
"z0012503",7,0.213,0.211,0.206,0.208,0.161
"z0012504",7,0.218,0.214,0.201,0.208,0.159
"z0012505",7,0.219,0.221,0.2,0.201,0.159
"z0012509",7,0.219,0.215,0.201,0.202,0.162
"z0012511",7,0.214,0.219,0.208,0.198,0.161
"z0012515",7,0.212,0.212,0.206,0.206,0.164
"z0012517",7,0.214,0.211,0.207,0.209,0.16
"z0012519",7,0.213,0.213,0.205,0.207,0.162
"z0012520",7,0.216,0.209,0.206,0.204,0.165
"z0012521",7,0.217,0.214,0.195,0.215,0.159
"z0012522",7,0.218,0.217,0.198,0.208,0.159
"z0012523",7,0.218,0.219,0.199,0.202,0.163
"z0012524",7,0.216,0.214,0.208,0.205,0.158
"z0012525",7,0.213,0.209,0.211,0.206,0.161
"z0012527",7,0.209,0.208,0.206,0.219,0.158
"z0012528",7,0.216,0.215,0.206,0.199,0.164
"z0016882",8,0.215,0.211,0.207,0.207,0.16
"z0016883",8,0.216,0.216,0.207,0.2,0.16
"z0016884",8,0.217,0.215,0.202,0.207,0.16
