"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6"
"z0006796",7,0.175,0.172,0.177,0.174,0.146,0.156
"z0006798",7,0.177,0.173,0.173,0.172,0.147,0.157
"z0006799",7,0.175,0.176,0.179,0.172,0.143,0.155
"z0006800",7,0.181,0.164,0.176,0.172,0.147,0.16
"z0006801",7,0.174,0.17,0.174,0.175,0.149,0.158
"z0006802",7,0.175,0.17,0.173,0.176,0.148,0.159
"z0006803",7,0.175,0.176,0.174,0.171,0.148,0.157
"z0006805",9,0.181,0.165,0.176,0.172,0.149,0.158
"z0012480",7,0.175,0.173,0.174,0.173,0.149,0.157
"z0012481",7,0.176,0.171,0.173,0.173,0.148,0.158
"z0012482",7,0.176,0.17,0.175,0.172,0.149,0.158
"z0012483",7,0.177,0.172,0.173,0.174,0.147,0.158
"z0012484",7,0.176,0.176,0.175,0.17,0.146,0.158
"z0012485",7,0.179,0.169,0.174,0.174,0.147,0.157
"z0012486",7,0.18,0.172,0.175,0.17,0.146,0.157
"z0012488",7,0.179,0.167,0.176,0.171,0.148,0.158
"z0012489",7,0.179,0.17,0.176,0.172,0.146,0.157
"z0012490",7,0.174,0.175,0.172,0.169,0.15,0.16
"z0012491",7,0.178,0.169,0.172,0.174,0.148,0.159
"z0012492",7,0.176,0.174,0.173,0.172,0.147,0.157
"z0012493",7,0.175,0.174,0.173,0.173,0.147,0.158
"z0012494",7,0.176,0.177,0.176,0.17,0.145,0.156
"z0012497",7,0.177,0.169,0.176,0.175,0.146,0.157
"z0012499",7,0.179,0.172,0.174,0.171,0.148,0.157
"z0012500",7,0.178,0.17,0.174,0.17,0.148,0.159
"z0012503",7,0.175,0.172,0.173,0.172,0.149,0.159
"z0012504",7,0.18,0.167,0.176,0.174,0.146,0.157
"z0012505",7,0.178,0.17,0.178,0.172,0.147,0.156
"z0012509",7,0.179,0.171,0.175,0.17,0.147,0.158
"z0012511",7,0.175,0.18,0.174,0.168,0.146,0.156
"z0012515",7,0.175,0.171,0.175,0.172,0.15,0.158
"z0012517",7,0.176,0.173,0.174,0.173,0.147,0.158
"z0012519",7,0.176,0.172,0.174,0.173,0.147,0.157
"z0012520",7,0.18,0.166,0.174,0.172,0.149,0.159
"z0012521",7,0.178,0.167,0.176,0.176,0.145,0.158
"z0012522",7,0.177,0.174,0.175,0.173,0.146,0.156
"z0012523",7,0.175,0.179,0.172,0.168,0.148,0.158
"z0012524",7,0.178,0.171,0.176,0.173,0.145,0.157
"z0012525",7,0.177,0.17,0.175,0.173,0.148,0.158
"z0012527",7,0.173,0.173,0.174,0.177,0.145,0.157
"z0012528",7,0.178,0.173,0.174,0.169,0.149,0.158
"z0016882",8,0.177,0.167,0.175,0.176,0.148,0.157
"z0016883",8,0.174,0.178,0.174,0.17,0.147,0.157
"z0016884",8,0.176,0.174,0.174,0.172,0.146,0.157
"z0016885",8,0.175,0.175,0.175,0.171,0.146,0.157
"z0016886",8,0.178,0.172,0.175,0.172,0.146,0.157
"z0016887",8,0.177,0.174,0.176,0.169,0.147,0.158
"z0016888",8,0.179,0.169,0.177,0.171,0.146,0.159
"z0026450",9,0.179,0.167,0.177,0.174,0.145,0.158
"z0026451",9,0.175,0.172,0.176,0.171,0.148,0.158
"z0026452",9,0.177,0.173,0.173,0.171,0.149,0.158
"z0026456",9,0.176,0.174,0.176,0.169,0.147,0.158
"z0026457",9,0.174,0.18,0.174,0.169,0.146,0.157
"z0026458",9,0.174,0.176,0.175,0.172,0.147,0.157
"z0032021",9,0.181,0.165,0.179,0.172,0.145,0.157
"z0032022",9,0.173,0.173,0.173,0.171,0.151,0.16
"z0032023",9,0.174,0.177,0.173,0.171,0.148,0.157
"z0032024",9,0.177,0.172,0.176,0.17,0.146,0.159
"z0032031",9,0.177,0.172,0.174,0.17,0.148,0.158
"z0035352",5,0.177,0.171,0.175,0.175,0.146,0.156
"z0037412",1,0.949,0.002,0.001,0.002,0.001,0.001
"z0037417",1,0.951,0.001,0.001,0.001,0.001,0.001
"z0037418",1,0.951,0.001,0.001,0.001,0.001,0.001
"z0037419",1,0.948,0.001,0.001,0.002,0.003,0.002
"z0037422",1,0.949,0.002,0.001,0.001,0.001,0.001
"z0037463",1,0.95,0.002,0.001,0.001,0.001,0.001
"z0037464",1,0.947,0.002,0.002,0.002,0.002,0.002
"z0037466",1,0.949,0.002,0.001,0.001,0.001,0.001
"z0037467",1,0.95,0.001,0.001,0.002,0.001,0.001
"z0037468",1,0.952,0.001,0.001,0.001,0.001,0.001
"z0037471",1,0.95,0.001,0.001,0.002,0.001,0.001
"z0040942",9,0.177,0.174,0.176,0.171,0.145,0.156
"z0061457",7,0.176,0.171,0.174,0.174,0.149,0.156
"z0061464",7,0.178,0.174,0.177,0.17,0.145,0.156
