"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"z0006796",7,0,0.001,0.001,0.001,0.001,0,0.961
"z0006798",7,0.001,0.001,0.001,0.001,0.001,0,0.964
"z0006799",7,0,0.001,0.001,0.001,0.001,0,0.965
"z0006800",7,0.009,0.002,0.002,0.003,0.002,0.001,0.933
"z0006801",7,0,0,0.001,0.001,0.001,0,0.969
"z0006802",7,0.001,0.001,0.001,0.001,0.003,0.008,0.951
"z0006803",7,0,0.001,0.001,0.001,0.001,0,0.96
"z0006805",9,0.166,0.139,0.152,0.151,0.143,0.08,0.17
"z0012480",7,0,0.001,0,0.001,0.001,0.008,0.606
"z0012481",7,0.001,0.001,0.001,0.001,0.001,0.001,0.955
"z0012482",7,0.001,0.001,0.002,0.001,0.006,0.068,0.319
"z0012483",7,0,0.001,0.001,0.001,0.001,0,0.959
"z0012484",7,0.001,0.001,0.001,0.001,0.001,0,0.954
"z0012485",7,0.001,0.001,0.001,0.001,0.001,0,0.947
"z0012486",7,0.003,0.002,0.002,0.002,0.002,0,0.945
"z0012488",7,0.002,0.001,0.001,0.001,0.001,0,0.952
"z0012489",7,0.008,0.004,0.004,0.005,0.004,0.004,0.84
"z0012490",7,0.001,0.002,0.001,0.001,0.001,0,0.951
"z0012491",7,0.001,0.001,0.001,0.001,0.001,0,0.96
"z0012492",7,0.002,0.002,0.001,0.002,0.001,0,0.948
"z0012493",7,0,0,0,0,0,0,0.973
"z0012494",7,0,0.001,0.001,0.001,0.001,0,0.964
"z0012497",7,0.003,0.002,0.003,0.003,0.002,0.001,0.818
"z0012499",7,0.001,0.001,0.001,0.001,0.001,0,0.958
"z0012500",7,0.001,0.001,0.001,0.001,0.001,0,0.956
"z0012503",7,0.002,0.003,0.003,0.003,0.002,0,0.912
"z0012504",7,0.001,0.001,0.001,0.001,0.001,0,0.96
"z0012505",7,0.001,0.001,0.001,0.001,0.001,0,0.959
"z0012509",7,0.002,0.001,0.001,0.001,0.001,0,0.954
"z0012511",7,0.001,0.002,0.001,0.001,0.001,0,0.953
"z0012515",7,0.001,0.001,0.001,0.001,0.001,0,0.959
"z0012517",7,0,0,0,0,0.056,0.796,0.131
"z0012519",7,0,0.001,0.001,0.001,0.001,0,0.963
"z0012520",7,0.001,0,0.001,0.001,0.001,0,0.964
"z0012521",7,0,0,0.001,0.001,0.001,0,0.967
"z0012522",7,0.001,0.001,0.001,0.001,0.001,0,0.956
"z0012523",7,0.001,0.002,0.001,0.001,0.001,0,0.953
"z0012524",7,0,0,0,0,0.056,0.808,0.132
"z0012525",7,0,0.001,0.001,0.001,0.001,0,0.967
"z0012527",7,0.001,0.001,0.002,0.003,0.018,0.017,0.877
"z0012528",7,0.001,0.001,0.001,0.001,0.001,0,0.96
"z0016882",8,0.148,0.141,0.152,0.154,0.146,0.083,0.176
"z0016883",8,0.168,0.17,0.154,0.154,0.144,0.061,0.149
"z0016884",8,0.158,0.146,0.141,0.145,0.14,0.126,0.144
"z0016885",8,0.144,0.156,0.148,0.151,0.147,0.074,0.18
"z0016886",8,0.146,0.146,0.141,0.147,0.144,0.101,0.174
"z0016887",8,0.153,0.15,0.149,0.146,0.144,0.086,0.171
"z0016888",8,0.181,0.149,0.154,0.152,0.145,0.068,0.152
"z0026450",9,0.169,0.144,0.146,0.15,0.141,0.1,0.149
"z0026451",9,0.172,0.154,0.156,0.156,0.145,0.064,0.154
"z0026452",9,0.167,0.155,0.153,0.155,0.146,0.066,0.158
"z0026456",9,0.163,0.159,0.155,0.152,0.146,0.069,0.157
"z0026457",9,0.153,0.161,0.149,0.148,0.144,0.082,0.162
"z0026458",9,0.155,0.153,0.14,0.146,0.143,0.117,0.144
"z0032021",9,0.171,0.148,0.147,0.154,0.145,0.064,0.171
"z0032022",9,0.144,0.146,0.142,0.144,0.143,0.12,0.161
"z0032023",9,0.147,0.154,0.15,0.149,0.143,0.099,0.159
"z0032024",9,0.161,0.152,0.152,0.148,0.143,0.089,0.155
"z0032031",9,0.169,0.152,0.145,0.147,0.142,0.096,0.149
"z0035352",5,0.172,0.148,0.141,0.155,0.143,0.095,0.146
"z0037412",1,0.952,0.001,0.001,0.001,0.001,0,0.001
"z0037417",1,0.96,0.001,0.001,0.001,0.001,0,0.001
"z0037418",1,0.934,0.002,0.002,0.002,0.002,0,0.006
"z0037419",1,0.965,0.001,0.001,0.001,0.001,0,0
"z0037422",1,0.968,0.001,0.001,0.001,0,0,0
"z0037463",1,0.943,0.002,0.001,0.001,0.001,0,0.001
"z0037464",1,0.957,0.001,0.001,0.001,0.001,0,0
"z0037466",1,0.963,0.002,0,0.001,0.001,0,0
"z0037467",1,0.962,0.001,0.001,0.001,0.001,0,0.001
"z0037468",1,0.967,0.001,0,0.001,0.001,0,0
"z0037471",1,0.953,0.001,0.001,0.001,0.001,0,0.001
"z0040942",9,0.163,0.154,0.151,0.152,0.147,0.076,0.158
"z0061457",7,0,0.001,0.001,0.001,0.001,0,0.964
"z0061464",7,0.002,0.002,0.002,0.002,0.002,0,0.943
"z0061467",7,0,0.001,0.001,0.001,0.001,0,0.957
"z0061468",7,0.001,0.001,0.002,0.002,0.001,0,0.947
"z0062622",1,0.928,0.002,0.003,0.003,0.002,0,0.002
"z0062627",1,0.941,0.002,0.002,0.002,0.002,0,0.002
"z0062630",1,0.958,0.001,0.002,0.001,0.001,0,0.001
"z0062634",1,0.953,0.001,0.001,0.001,0.001,0,0.002
"z0062636",1,0.96,0.002,0.001,0.001,0.001,0,0.001
"z0062680",1,0.964,0.001,0.001,0.001,0.001,0,0
"z0062681",1,0.964,0.001,0.001,0.001,0.001,0,0
"z0062687",2,0.001,0.96,0.001,0.001,0.001,0,0.001
"z0062737",2,0.001,0.95,0.001,0.002,0.002,0,0.002
"z0062742",2,0.004,0.946,0.002,0.001,0.001,0,0.001
"z0062743",2,0.001,0.941,0.001,0.001,0.002,0,0.003
"z0062752",2,0.001,0.964,0.001,0.001,0.001,0,0.001
"z0062761",2,0.002,0.957,0.001,0.001,0.001,0,0.001
"z0062766",2,0.001,0.954,0.001,0.001,0.001,0,0.003
"z0062787",2,0.001,0.957,0.001,0.001,0.001,0,0.001
"z0076691",1,0.956,0.001,0.001,0.001,0.001,0,0.001
"z0076693",1,0.967,0.001,0.001,0.001,0,0,0
"z0076695",1,0.954,0,0.001,0.001,0.001,0,0
"z0076697",1,0.96,0.001,0.001,0.001,0.001,0,0.001
"z0076699",1,0.969,0.001,0.001,0,0,0,0
"z0076701",1,0.961,0.001,0.001,0.001,0.001,0,0
"z0076703",1,0.945,0.002,0.002,0.002,0.001,0,0.001
"z0076705",1,0.949,0.002,0.001,0.002,0.001,0,0.002
"z0076707",1,0.944,0.001,0.002,0.002,0.002,0,0.002
"z0076709",1,0.954,0.001,0.001,0.001,0.001,0,0.001
"z0076711",1,0.951,0.001,0.001,0.002,0.001,0,0.002
"z0076713",1,0.961,0.001,0.001,0.001,0.001,0,0.001
"z0076715",1,0.853,0.001,0.001,0.001,0.001,0,0
"z0102589",1,0.952,0.001,0.001,0.001,0.001,0,0.001
"z0102605",1,0.96,0.001,0.001,0.001,0.001,0,0
"z0102610",1,0.942,0.002,0.001,0.002,0.002,0,0.003
"z0102616",1,0.973,0,0,0,0,0,0
"z0102682",1,0.953,0.002,0.001,0.001,0.001,0,0.001
"z0117088",6,0.152,0.144,0.148,0.155,0.144,0.102,0.154
"z0117094",6,0.161,0.152,0.142,0.15,0.143,0.093,0.159
"z0117103",6,0.184,0.139,0.149,0.144,0.142,0.101,0.142
"z0134055",1,0.951,0.001,0.001,0.002,0.001,0,0.001
"z0134059",1,0.951,0.001,0.001,0.001,0.001,0,0.001
"z0134061",1,0.965,0.001,0,0.001,0.001,0,0
"z0134066",1,0.911,0.001,0.001,0.002,0.001,0,0.001
"z0134070",1,0.971,0,0.001,0.001,0,0,0
"z0134074",1,0.89,0.012,0.007,0.007,0.008,0,0.012
"z0134087",1,0.955,0.001,0.003,0.001,0.001,0,0.001
"z0134095",1,0.954,0.001,0.001,0.001,0.001,0,0.001
"z0134097",1,0.971,0.001,0,0,0,0,0
"z0134098",1,0.956,0.001,0.001,0.001,0.001,0,0.001
"z0134101",1,0.962,0.001,0.001,0.001,0.001,0,0.001
"z0134108",1,0.967,0.001,0.001,0.001,0.001,0,0
"z0134109",1,0.961,0.001,0.001,0.001,0.001,0,0.001
"z0134111",1,0.948,0.001,0.001,0.001,0.001,0,0.001
"z0134112",1,0.968,0,0,0.001,0,0,0.001
"z0134113",1,0.954,0.001,0.001,0.001,0.001,0,0.001
"z0178009",5,0.15,0.153,0.145,0.153,0.143,0.096,0.161
"z0178011",5,0.17,0.15,0.151,0.155,0.147,0.064,0.163
"z0178014",5,0.176,0.153,0.139,0.152,0.145,0.084,0.152
"z0207730",5,0.162,0.161,0.149,0.155,0.145,0.079,0.149
"z0207745",5,0.161,0.158,0.151,0.149,0.145,0.076,0.16
"z0210588",5,0.168,0.144,0.148,0.157,0.149,0.058,0.175
"z0216904",4,0,0.001,0.001,0.887,0.036,0.04,0.002
"z0216906",4,0.003,0.001,0.002,0.945,0.002,0,0.003
"z0216907",4,0.001,0.001,0.001,0.949,0.001,0,0.001
"z0216913",4,0.002,0.002,0.002,0.952,0.001,0,0.002
"z0216918",4,0.002,0.001,0.002,0.95,0.001,0,0.001
"z0216926",3,0.001,0.001,0.893,0.001,0.001,0,0.004
"z0216927",3,0.004,0.001,0.951,0.001,0.001,0,0.001
"z0216928",3,0.002,0.001,0.95,0.002,0.002,0,0.002
"z0216930",3,0.001,0.001,0.946,0.001,0.001,0,0.001
"z0216931",7,0.001,0.001,0.002,0.002,0.003,0.007,0.937
