"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8"
"z0006796",7,0,0.001,0.001,0.001,0,0,0.965,0
"z0006798",7,0,0.001,0.001,0.001,0,0,0.965,0
"z0006799",7,0,0.001,0.001,0.001,0,0,0.971,0
"z0006800",7,0.008,0.001,0.001,0.002,0.001,0,0.944,0
"z0006801",7,0,0,0.001,0.001,0.001,0,0.956,0.001
"z0006802",7,0,0.001,0.001,0.001,0.036,0,0.929,0
"z0006803",7,0,0.001,0.001,0.001,0,0,0.958,0
"z0006805",9,0.157,0.133,0.144,0.14,0.106,0.076,0.154,0.09
"z0012480",7,0,0.001,0.001,0.001,0.005,0.01,0.596,0
"z0012481",7,0,0.001,0.001,0.001,0.005,0,0.945,0
"z0012482",7,0,0,0.001,0,0.015,0.081,0.229,0
"z0012483",7,0,0.001,0.001,0.001,0.001,0,0.96,0
"z0012484",7,0.001,0.001,0.001,0.001,0,0,0.954,0
"z0012485",7,0.001,0.001,0.001,0.001,0.001,0,0.947,0
"z0012486",7,0.002,0.001,0.001,0.001,0.001,0,0.956,0
"z0012488",7,0.001,0.001,0.001,0.001,0.001,0,0.948,0
"z0012489",7,0.007,0.004,0.004,0.005,0.006,0.006,0.847,0
"z0012490",7,0.001,0.001,0.001,0.001,0.001,0,0.958,0
"z0012491",7,0.001,0.001,0.001,0.001,0.002,0,0.96,0
"z0012492",7,0.002,0.002,0.001,0.001,0.001,0,0.955,0
"z0012493",7,0,0,0,0,0,0,0.976,0
"z0012494",7,0,0.001,0.001,0.001,0.001,0,0.968,0
"z0012497",7,0.002,0.002,0.002,0.003,0.001,0,0.811,0
"z0012499",7,0.001,0.001,0.001,0.001,0,0,0.965,0
"z0012500",7,0.001,0.001,0.001,0.001,0.001,0,0.964,0
"z0012503",7,0.002,0.002,0.002,0.003,0.001,0,0.908,0
"z0012504",7,0.001,0.001,0.001,0.001,0.001,0,0.952,0
"z0012505",7,0.001,0.001,0.001,0.001,0.001,0,0.955,0
"z0012509",7,0.002,0.001,0.001,0.001,0,0,0.962,0
"z0012511",7,0,0.002,0.001,0.001,0.005,0.001,0.951,0
"z0012515",7,0,0.001,0.001,0.001,0,0,0.909,0.002
"z0012517",7,0,0,0,0,0.156,0.827,0.001,0
"z0012519",7,0,0.001,0.001,0.001,0,0,0.966,0
"z0012520",7,0.001,0,0.001,0.001,0.001,0,0.968,0
"z0012521",7,0,0,0.001,0.001,0.002,0,0.967,0
"z0012522",7,0.001,0.001,0.001,0.001,0.001,0,0.951,0
"z0012523",7,0.001,0.002,0.001,0.001,0.005,0.001,0.951,0
"z0012524",7,0,0,0,0,0.159,0.839,0.001,0
"z0012525",7,0,0,0.001,0.001,0.001,0,0.878,0.007
"z0012527",7,0.001,0.001,0.001,0.002,0.05,0.01,0.828,0
"z0012528",7,0.001,0.001,0.001,0.001,0,0,0.965,0
"z0016882",8,0,0,0,0,0,0,0,0.953
"z0016883",8,0,0,0,0,0,0,0,0.997
"z0016884",8,0.04,0.047,0.041,0.042,0.039,0.006,0.025,0.465
"z0016885",8,0,0,0,0,0,0,0,0.962
"z0016886",8,0,0,0,0,0,0,0,0.995
"z0016887",8,0,0,0,0,0,0,0,0.964
"z0016888",8,0,0,0,0,0,0,0,0.986
"z0026450",9,0.164,0.136,0.141,0.143,0.108,0.099,0.143,0.066
"z0026451",9,0.151,0.14,0.139,0.14,0.103,0.059,0.14,0.128
"z0026452",9,0.14,0.134,0.133,0.135,0.097,0.06,0.136,0.166
"z0026456",9,0.134,0.131,0.13,0.125,0.095,0.06,0.127,0.198
"z0026457",9,0.142,0.15,0.139,0.137,0.106,0.08,0.149,0.097
"z0026458",9,0.136,0.133,0.126,0.129,0.11,0.109,0.124,0.133
"z0032021",9,0.167,0.142,0.144,0.145,0.104,0.061,0.166,0.071
"z0032022",9,0.128,0.13,0.128,0.128,0.108,0.111,0.138,0.128
"z0032023",9,0.127,0.134,0.132,0.13,0.105,0.09,0.136,0.146
"z0032024",9,0.147,0.139,0.14,0.133,0.102,0.081,0.138,0.121
"z0032031",9,0.163,0.142,0.139,0.134,0.105,0.09,0.138,0.09
"z0035352",5,0.162,0.139,0.135,0.145,0.109,0.093,0.139,0.077
"z0037412",1,0.956,0.001,0.001,0.001,0.001,0,0.001,0
"z0037417",1,0.959,0.001,0.001,0.001,0,0,0.001,0
"z0037418",1,0.934,0.002,0.002,0.002,0.001,0,0.005,0
"z0037419",1,0.967,0.001,0.001,0.001,0.001,0,0,0
"z0037422",1,0.97,0.001,0,0,0,0,0,0
"z0037463",1,0.942,0.002,0.001,0.001,0.001,0,0.001,0
"z0037464",1,0.959,0.001,0.001,0.001,0.001,0,0,0
"z0037466",1,0.961,0.001,0,0,0,0,0,0
"z0037467",1,0.966,0.001,0.001,0.001,0,0,0,0
"z0037468",1,0.966,0.001,0,0.001,0,0,0,0
"z0037471",1,0.959,0.001,0.001,0.001,0.001,0,0.001,0
