"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9"
"z0006796",7,0,0.001,0.001,0.001,0,0,0.964,0,0
"z0006798",7,0,0,0,0,0,0,0.967,0,0
"z0006799",7,0,0.001,0,0,0,0,0.969,0,0
"z0006800",7,0.008,0.001,0.001,0.002,0.001,0.001,0.939,0,0.001
"z0006801",7,0,0,0,0,0,0,0.962,0.001,0
"z0006802",7,0,0.001,0.001,0.001,0.006,0.007,0.955,0,0
"z0006803",7,0,0.001,0.001,0.001,0,0,0.959,0,0.001
"z0006805",9,0,0,0.001,0,0,0,0.001,0,0.965
"z0012480",7,0,0,0,0.001,0.008,0.005,0.643,0,0
"z0012481",7,0,0.001,0.001,0.001,0.001,0.001,0.958,0,0
"z0012482",7,0,0,0.001,0,0.038,0.056,0.282,0,0.001
"z0012483",7,0,0.001,0.001,0.001,0,0,0.963,0,0
"z0012484",7,0.001,0.001,0.001,0.001,0,0,0.956,0,0
"z0012485",7,0.001,0.001,0.001,0.001,0,0,0.948,0,0.001
"z0012486",7,0.002,0.001,0.001,0.001,0,0,0.949,0,0.001
"z0012488",7,0.001,0.001,0.001,0.001,0.001,0.001,0.937,0,0.004
"z0012489",7,0.007,0.005,0.006,0.007,0.008,0.004,0.809,0,0.031
"z0012490",7,0.001,0.001,0.001,0.001,0,0,0.955,0,0.001
"z0012491",7,0.001,0.001,0.001,0.001,0.001,0.001,0.959,0,0.001
"z0012492",7,0.001,0.001,0.001,0.001,0.001,0,0.952,0,0.001
"z0012493",7,0,0,0,0,0,0,0.979,0,0
"z0012494",7,0,0.001,0,0,0,0,0.97,0,0
"z0012497",7,0.002,0.002,0.002,0.003,0.001,0.001,0.825,0,0.001
"z0012499",7,0.001,0.001,0.001,0.001,0,0,0.965,0,0
"z0012500",7,0.001,0.001,0.001,0.001,0,0.001,0.963,0,0.001
"z0012503",7,0.002,0.002,0.002,0.002,0,0.001,0.913,0,0
"z0012504",7,0.001,0.001,0.001,0.001,0,0,0.952,0,0.001
"z0012505",7,0.001,0.001,0.001,0.001,0,0,0.95,0,0.001
"z0012509",7,0.001,0.001,0.001,0.001,0,0,0.959,0,0.001
"z0012511",7,0,0.001,0.001,0.001,0.008,0.005,0.943,0,0
"z0012515",7,0,0.001,0.001,0.001,0,0,0.908,0.002,0.005
"z0012517",7,0,0,0,0,0.392,0.522,0.07,0,0
"z0012519",7,0,0,0.001,0.001,0,0,0.963,0,0.001
"z0012520",7,0.001,0,0.001,0.001,0,0,0.971,0,0
"z0012521",7,0,0,0,0.001,0.001,0,0.971,0,0
"z0012522",7,0.001,0.001,0.001,0.001,0,0,0.948,0,0.001
"z0012523",7,0.001,0.002,0.001,0.001,0.01,0.006,0.936,0,0.002
"z0012524",7,0,0,0,0,0.397,0.529,0.071,0,0
"z0012525",7,0,0,0,0,0,0,0.884,0.007,0
"z0012527",7,0,0.001,0.001,0.003,0.062,0.013,0.789,0,0
"z0012528",7,0.001,0.001,0.001,0,0,0,0.967,0,0
"z0016882",8,0,0,0,0,0,0,0,0.955,0
"z0016883",8,0,0,0,0,0,0,0,0.997,0
"z0016884",8,0.038,0.042,0.039,0.039,0.025,0.019,0.019,0.475,0.023
"z0016885",8,0,0,0,0,0,0,0,0.961,0
"z0016886",8,0,0,0,0,0,0,0,0.995,0
"z0016887",8,0,0,0,0,0,0,0,0.963,0
"z0016888",8,0,0,0,0,0,0,0,0.986,0
"z0026450",9,0.006,0.002,0.003,0.003,0.001,0.001,0.002,0,0.924
"z0026451",9,0.001,0.001,0.001,0.001,0,0,0,0,0.953
"z0026452",9,0.001,0.001,0.001,0.001,0,0,0,0.001,0.948
"z0026456",9,0,0,0,0,0,0,0,0.001,0.958
"z0026457",9,0.001,0.002,0.001,0.001,0.001,0,0.001,0,0.953
"z0026458",9,0.001,0.001,0.001,0.001,0,0,0,0,0.944
"z0032021",9,0.001,0,0,0,0,0,0.001,0,0.968
"z0032022",9,0,0.001,0.001,0.001,0,0,0.001,0,0.95
"z0032023",9,0,0,0,0,0,0,0,0,0.971
"z0032024",9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.961
"z0032031",9,0.001,0.001,0.001,0,0,0,0,0,0.965
"z0035352",5,0.139,0.122,0.121,0.124,0.092,0.095,0.119,0.072,0.115
"z0037412",1,0.944,0.001,0.001,0.001,0,0,0.001,0,0.004
"z0037417",1,0.959,0.001,0.001,0.001,0,0,0,0,0
"z0037418",1,0.934,0.001,0.002,0.002,0.001,0.001,0.006,0,0.001
"z0037419",1,0.967,0.001,0.001,0.001,0.001,0,0,0,0
"z0037422",1,0.971,0.001,0,0,0,0,0,0,0
"z0037463",1,0.945,0.001,0.001,0.001,0,0,0.001,0,0
"z0037464",1,0.96,0.001,0.001,0.001,0,0,0,0,0
"z0037466",1,0.956,0.001,0.001,0,0,0,0,0,0.001
"z0037467",1,0.966,0.001,0.001,0.001,0,0,0,0,0
"z0037468",1,0.968,0,0,0,0,0,0,0,0
"z0037471",1,0.958,0.001,0.001,0.001,0,0,0.001,0,0
"z0040942",9,0.001,0.001,0.001,0.001,0,0,0.001,0,0.957
"z0061457",7,0,0.001,0.001,0.001,0,0,0.965,0,0
"z0061464",7,0.002,0.002,0.002,0.002,0.001,0.001,0.929,0,0.009
"z0061467",7,0,0,0,0,0,0,0.957,0,0
"z0061468",7,0.001,0.001,0.001,0.002,0.001,0,0.951,0,0
"z0062622",1,0.943,0.001,0.002,0.002,0,0,0.002,0,0.001
"z0062627",1,0.954,0.001,0.001,0.001,0.001,0.001,0.001,0,0
"z0062630",1,0.964,0.001,0.001,0.001,0,0,0.001,0,0
"z0062634",1,0.958,0.001,0.001,0.001,0,0,0.001,0,0.001
"z0062636",1,0.966,0.001,0.001,0.001,0,0,0,0,0
"z0062680",1,0.928,0.001,0.001,0,0,0,0,0.007,0
"z0062681",1,0.968,0,0,0,0,0,0,0,0
"z0062687",2,0.001,0.963,0.001,0.001,0,0,0,0,0
"z0062737",2,0.001,0.957,0.001,0.001,0,0,0.002,0,0.001
"z0062742",2,0.002,0.956,0.001,0.001,0,0,0,0,0.001
"z0062743",2,0.001,0.95,0.001,0.001,0,0,0.003,0,0
"z0062752",2,0.001,0.965,0.001,0.001,0,0,0.001,0,0.001
"z0062761",2,0.002,0.96,0.001,0.001,0,0,0,0,0.001
"z0062766",2,0,0.939,0.001,0.001,0,0,0.002,0,0.001
"z0062787",2,0.001,0.957,0.001,0.001,0,0,0,0,0.001
"z0076691",1,0.967,0.001,0.001,0.001,0,0,0.001,0,0
"z0076693",1,0.973,0,0,0,0,0,0,0,0
"z0076695",1,0.953,0,0.001,0.001,0,0,0,0,0.001
"z0076697",1,0.95,0.001,0.001,0.001,0,0,0,0,0.001
"z0076699",1,0.971,0,0,0,0,0,0,0,0
"z0076701",1,0.962,0.001,0.001,0.001,0,0,0,0,0.001
"z0076703",1,0.943,0.002,0.001,0.001,0,0,0.001,0,0.001
"z0076705",1,0.955,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001
"z0076707",1,0.945,0.001,0.002,0.002,0,0,0.002,0,0.002
"z0076709",1,0.953,0.001,0.001,0.001,0,0,0.001,0,0.001
"z0076711",1,0.95,0.001,0.001,0.001,0.001,0.001,0.002,0,0.003
"z0076713",1,0.957,0.001,0.001,0.001,0,0,0,0,0.002
"z0076715",1,0.863,0.001,0.001,0.001,0,0,0,0,0.001
"z0102589",1,0.959,0.001,0.001,0.001,0,0,0.001,0,0
"z0102605",1,0.957,0.001,0.001,0.001,0,0,0,0,0.002
"z0102610",1,0.944,0.001,0.001,0.001,0,0.001,0.002,0,0.001
"z0102616",1,0.977,0,0,0,0,0,0,0,0
"z0102682",1,0.956,0.001,0.001,0.001,0,0,0.001,0,0.001
"z0117088",6,0.121,0.115,0.119,0.121,0.093,0.097,0.123,0.101,0.109
"z0117094",6,0.127,0.122,0.119,0.121,0.085,0.092,0.127,0.092,0.115
"z0117103",6,0.151,0.117,0.122,0.118,0.09,0.097,0.119,0.074,0.112
"z0134055",1,0.951,0.001,0.001,0.002,0,0,0.001,0,0
"z0134059",1,0.961,0,0.001,0.001,0,0,0.001,0,0
"z0134061",1,0.972,0,0,0,0,0,0,0,0
"z0134066",1,0.914,0.001,0.001,0.001,0,0,0.001,0,0.001
"z0134070",1,0.968,0,0,0,0,0,0,0,0.002
"z0134074",1,0.895,0.007,0.005,0.005,0.003,0.003,0.007,0,0.005
"z0134087",1,0.951,0.001,0.001,0.001,0.001,0.001,0.001,0,0.004
"z0134095",1,0.96,0.001,0.001,0.001,0,0,0.001,0,0.001
"z0134097",1,0.971,0,0,0,0,0,0,0,0
"z0134098",1,0.96,0.001,0.001,0.001,0,0,0.001,0,0.001
"z0134101",1,0.948,0.001,0.001,0.001,0,0,0.001,0,0
"z0134108",1,0.974,0.001,0,0,0,0,0,0,0
"z0134109",1,0.967,0,0.001,0,0,0,0.001,0,0
"z0134111",1,0.948,0.001,0.001,0.001,0,0,0.001,0,0.002
"z0134112",1,0.971,0,0,0,0,0,0.001,0,0
"z0134113",1,0.958,0.001,0.001,0.001,0,0,0.001,0,0.001
"z0178009",5,0.117,0.12,0.119,0.12,0.084,0.091,0.124,0.106,0.119
"z0178011",5,0.127,0.119,0.121,0.121,0.073,0.073,0.121,0.111,0.133
"z0178014",5,0.143,0.126,0.122,0.124,0.087,0.088,0.128,0.077,0.107
"z0207730",5,0.131,0.128,0.124,0.125,0.083,0.086,0.121,0.079,0.123
"z0207745",5,0.121,0.124,0.121,0.116,0.077,0.082,0.122,0.104,0.133
"z0210588",5,0.127,0.119,0.123,0.125,0.074,0.072,0.131,0.08,0.149
"z0216904",4,0,0.001,0.001,0.794,0.147,0.031,0.002,0,0
"z0216906",4,0.003,0.002,0.002,0.943,0,0.001,0.003,0,0.002
"z0216907",4,0.001,0.001,0.001,0.954,0,0,0.001,0,0.001
"z0216913",4,0.001,0.001,0.001,0.955,0.001,0.001,0.002,0,0.001
"z0216918",4,0.002,0.001,0.001,0.952,0,0.001,0.001,0,0.001
"z0216926",3,0,0.001,0.907,0.001,0,0,0.003,0,0.001
"z0216927",3,0.002,0.001,0.951,0.001,0,0,0,0,0.004
"z0216928",3,0.001,0.001,0.958,0.002,0,0.001,0.001,0,0
"z0216930",3,0.001,0.001,0.948,0.001,0,0,0.001,0,0.001
"z0216931",7,0.001,0.001,0.001,0.001,0.005,0.004,0.943,0,0.001
