"","K1","K2","K3","K4","K5","K6","K7"
"z0006796",0.007,0.011,0.008,0.011,0.019,0.01,0.934
"z0006798",0.00700700700700701,0.00700700700700701,0.00700700700700701,0.00700700700700701,0.047047047047047,0.0680680680680681,0.856856856856857
"z0006799",0.004,0.009,0.008,0.008,0.006,0.006,0.959
"z0006800",0.033966033966034,0.00799200799200799,0.012987012987013,0.017982017982018,0.00699300699300699,0.00999000999000999,0.91008991008991
"z0006801",0.004,0.004,0.007,0.008,0.005,0.005,0.967
"z0006802",0.00699300699300699,0.00799200799200799,0.00799200799200799,0.00999000999000999,0.012987012987013,0.018981018981019,0.935064935064935
"z0006803",0.00400801603206413,0.00601202404809619,0.00501002004008016,0.00501002004008016,0.00400801603206413,0.00400801603206413,0.971943887775551
"z0006805",0.165165165165165,0.135135135135135,0.162162162162162,0.159159159159159,0.0970970970970971,0.107107107107107,0.174174174174174
"z0012480",0.005005005005005,0.005005005005005,0.00600600600600601,0.00600600600600601,0.005005005005005,0.004004004004004,0.968968968968969
"z0012481",0.007,0.008,0.008,0.008,0.013,0.026,0.93
"z0012482",0.00899100899100899,0.00799200799200799,0.011988011988012,0.00899100899100899,0.005994005994006,0.00799200799200799,0.948051948051948
"z0012483",0.005,0.007,0.007,0.007,0.005,0.004,0.965
"z0012484",0.008,0.01,0.008,0.007,0.006,0.008,0.953
"z0012485",0.00800800800800801,0.00600600600600601,0.00800800800800801,0.00700700700700701,0.004004004004004,0.005005005005005,0.961961961961962
"z0012486",0.015984015984016,0.011988011988012,0.011988011988012,0.010989010989011,0.00599400599400599,0.00799200799200799,0.935064935064935
"z0012488",0.0100200400801603,0.00601202404809619,0.00801603206412826,0.00701402805611222,0.00400801603206413,0.00801603206412826,0.956913827655311
"z0012489",0.022977022977023,0.014985014985015,0.015984015984016,0.01998001998002,0.00699300699300699,0.00999000999000999,0.909090909090909
"z0012490",0.009,0.012,0.01,0.009,0.007,0.008,0.945
"z0012491",0.009,0.007,0.007,0.008,0.004,0.006,0.959
"z0012492",0.010989010989011,0.011988011988012,0.00999000999000999,0.011988011988012,0.00899100899100899,0.00999000999000999,0.936063936063936
"z0012493",0.00300902708124373,0.00401203610832497,0.00401203610832497,0.00401203610832497,0.00501504513540622,0.00501504513540622,0.974924774322969
"z0012494",0.004004004004004,0.00800800800800801,0.00600600600600601,0.005005005005005,0.003003003003003,0.004004004004004,0.96996996996997
"z0012497",0.0130260521042084,0.0100200400801603,0.0130260521042084,0.0150300601202405,0.00801603206412826,0.00801603206412826,0.932865731462926
"z0012499",0.00799200799200799,0.00799200799200799,0.00799200799200799,0.00699300699300699,0.00699300699300699,0.00899100899100899,0.953046953046953
"z0012500",0.011,0.009,0.01,0.01,0.007,0.009,0.944
"z0012503",0.012,0.012,0.012,0.015,0.006,0.008,0.935
"z0012504",0.009,0.007,0.01,0.01,0.007,0.009,0.948
"z0012505",0.00798403193612774,0.00798403193612774,0.00798403193612774,0.00798403193612774,0.00399201596806387,0.00698602794411178,0.957085828343313
"z0012509",0.0120240480961924,0.00801603206412826,0.00801603206412826,0.00701402805611222,0.00400801603206413,0.00801603206412826,0.952905811623247
"z0012511",0.004,0.01,0.006,0.003,0.17,0.216,0.591
"z0012515",0.00600600600600601,0.00800800800800801,0.00800800800800801,0.00800800800800801,0.005005005005005,0.00700700700700701,0.957957957957958
"z0012517",0.004004004004004,0.004004004004004,0.005005005005005,0.005005005005005,0.003003003003003,0.004004004004004,0.974974974974975
"z0012519",0.005,0.005,0.006,0.007,0.004,0.004,0.969
"z0012520",0.00799200799200799,0.003996003996004,0.00699300699300699,0.00699300699300699,0.004995004995005,0.005994005994006,0.963036963036963
"z0012521",0.00501002004008016,0.00400801603206413,0.00501002004008016,0.00801603206412826,0.00501002004008016,0.00701402805611222,0.965931863727455
"z0012522",0.00799200799200799,0.00999000999000999,0.00799200799200799,0.00899100899100899,0.005994005994006,0.00699300699300699,0.952047952047952
"z0012523",0.004995004995005,0.00999000999000999,0.004995004995005,0.003996003996004,0.165834165834166,0.217782217782218,0.592407592407592
"z0012524",0.002002002002002,0.003003003003003,0.004004004004004,0.004004004004004,0.003003003003003,0.004004004004004,0.97997997997998
"z0012525",0.005,0.006,0.008,0.007,0.006,0.005,0.963
"z0012527",0.006,0.008,0.009,0.017,0.324,0.008,0.628
"z0012528",0.008,0.008,0.008,0.005,0.005,0.006,0.96
"z0016882",0.153846153846154,0.125874125874126,0.153846153846154,0.151848151848152,0.0989010989010989,0.102897102897103,0.212787212787213
"z0016883",0.171,0.171,0.153,0.144,0.098,0.113,0.15
"z0016884",0.177177177177177,0.15015015015015,0.159159159159159,0.139139139139139,0.1001001001001,0.101101101101101,0.173173173173173
"z0016885",0.147,0.153,0.154,0.158,0.105,0.104,0.179
"z0016886",0.14985014985015,0.142857142857143,0.153846153846154,0.148851148851149,0.0979020979020979,0.113886113886114,0.192807192807193
"z0016887",0.154154154154154,0.148148148148148,0.152152152152152,0.135135135135135,0.0920920920920921,0.117117117117117,0.201201201201201
"z0016888",0.189189189189189,0.137137137137137,0.174174174174174,0.147147147147147,0.102102102102102,0.114114114114114,0.136136136136136
"z0026450",0.18018018018018,0.138138138138138,0.159159159159159,0.155155155155155,0.1001001001001,0.112112112112112,0.155155155155155
"z0026451",0.172,0.16,0.159,0.149,0.105,0.104,0.151
"z0026452",0.16,0.145,0.156,0.154,0.105,0.118,0.162
"z0026456",0.163,0.155,0.155,0.147,0.108,0.118,0.154
"z0026457",0.16,0.17,0.15,0.139,0.103,0.113,0.165
"z0026458",0.165,0.16,0.15,0.153,0.12,0.109,0.143
"z0032021",0.176823176823177,0.132867132867133,0.155844155844156,0.150849150849151,0.0959040959040959,0.106893106893107,0.180819180819181
