"","LabID","Stratum_ABO"
"1","z0006796","IsabelSI-South"
"2","z0006798","IsabelSI-South"
"3","z0006799","IsabelSI-South"
"4","z0006800","IsabelSI-South"
"5","z0006801","IsabelSI-South"
"6","z0006802","IsabelSI-South"
"7","z0006803","IsabelSI-South"
"8","z0006805","PNG"
"9","z0012480","IsabelSI-South"
"10","z0012481","IsabelSI-South"
"11","z0012482","IsabelSI-South"
"12","z0012483","IsabelSI-South"
"13","z0012484","IsabelSI-South"
"14","z0012485","IsabelSI-South"
"15","z0012486","IsabelSI-South"
"16","z0012488","IsabelSI-South"
"17","z0012489","IsabelSI-South"
"18","z0012490","IsabelSI-South"
"19","z0012491","IsabelSI-South"
"20","z0012492","IsabelSI-South"
"21","z0012493","IsabelSI-South"
"22","z0012494","IsabelSI-South"
"23","z0012497","IsabelSI-South"
"24","z0012499","IsabelSI-South"
"25","z0012500","IsabelSI-South"
"26","z0012503","IsabelSI-South"
"27","z0012504","IsabelSI-South"
"28","z0012505","IsabelSI-South"
"29","z0012509","IsabelSI-South"
"30","z0012511","IsabelSI-South"
"31","z0012515","IsabelSI-South"
"32","z0012517","IsabelSI-South"
"33","z0012519","IsabelSI-South"
"34","z0012520","IsabelSI-South"
"35","z0012521","IsabelSI-South"
"36","z0012522","IsabelSI-South"
"37","z0012523","IsabelSI-South"
"38","z0012524","IsabelSI-South"
"39","z0012525","IsabelSI-South"
"40","z0012527","IsabelSI-South"
"41","z0012528","IsabelSI-South"
"42","z0016882","Malaysia"
"43","z0016883","Malaysia"
"44","z0016884","Malaysia"
"45","z0016885","Malaysia"
"46","z0016886","Malaysia"
"47","z0016887","Malaysia"
"48","z0016888","Malaysia"
"49","z0026450","PNG"
"50","z0026451","PNG"
"51","z0026452","PNG"
"52","z0026456","PNG"
"53","z0026457","PNG"
"54","z0026458","PNG"
"55","z0032021","PNG"
"56","z0032022","PNG"
"57","z0032023","PNG"
"58","z0032024","PNG"
"59","z0032031","PNG"
"60","z0035352","In-water, CA"
"61","z0037412","Bird's Head-Summer"
"62","z0037417","Bird's Head-Summer"
"63","z0037418","Bird's Head-Summer"
"64","z0037419","Bird's Head-Summer"
"65","z0037422","Bird's Head-Summer"
"66","z0037463","Bird's Head-Summer"
"67","z0037464","Bird's Head-Summer"
"68","z0037466","Bird's Head-Summer"
"69","z0037467","Bird's Head-Summer"
"70","z0037468","Bird's Head-Summer"
"71","z0037471","Bird's Head-Summer"
"72","z0040942","PNG"
"73","z0061457","IsabelSI-South"
"74","z0061464","IsabelSI-South"
"75","z0061467","IsabelSI-South"
"76","z0061468","IsabelSI-South"
"77","z0062622","Bird's Head-Summer"
"78","z0062627","Bird's Head-Summer"
"79","z0062630","Bird's Head-Summer"
"80","z0062634","Bird's Head-Summer"
"81","z0062636","Bird's Head-Summer"
"82","z0062680","Bird's Head-Summer"
"83","z0062681","Bird's Head-Summer"
"84","z0062687","Bird's Head-Winter"
"85","z0062737","Bird's Head-Winter"
"86","z0062742","Bird's Head-Winter"
"87","z0062743","Bird's Head-Winter"
"88","z0062752","Bird's Head-Winter"
"89","z0062761","Bird's Head-Winter"
"90","z0062766","Bird's Head-Winter"
"91","z0062787","Bird's Head-Winter"
"92","z0076691","Bird's Head-Summer"
"93","z0076693","Bird's Head-Summer"
"94","z0076695","Bird's Head-Summer"
"95","z0076697","Bird's Head-Summer"
"96","z0076699","Bird's Head-Summer"
"97","z0076701","Bird's Head-Summer"
"98","z0076703","Bird's Head-Summer"
"99","z0076705","Bird's Head-Summer"
"100","z0076707","Bird's Head-Summer"
"101","z0076709","Bird's Head-Summer"
"102","z0076711","Bird's Head-Summer"
"103","z0076713","Bird's Head-Summer"
"104","z0076715","Bird's Head-Summer"
"105","z0102589","Bird's Head-Summer"
"106","z0102605","Bird's Head-Summer"
"107","z0102610","Bird's Head-Summer"
"108","z0102616","Bird's Head-Summer"
"109","z0102682","Bird's Head-Summer"
"110","z0117088","In-water, Indonesia"
"111","z0117094","In-water, Indonesia"
"112","z0117103","In-water, Indonesia"
"113","z0134055","Bird's Head-Summer"
"114","z0134059","Bird's Head-Summer"
"115","z0134061","Bird's Head-Summer"
"116","z0134066","Bird's Head-Summer"
"117","z0134070","Bird's Head-Summer"
"118","z0134074","Bird's Head-Summer"
"119","z0134087","Bird's Head-Summer"
"120","z0134095","Bird's Head-Summer"
"121","z0134097","Bird's Head-Summer"
"122","z0134098","Bird's Head-Summer"
"123","z0134101","Bird's Head-Summer"
"124","z0134108","Bird's Head-Summer"
"125","z0134109","Bird's Head-Summer"
"126","z0134111","Bird's Head-Summer"
"127","z0134112","Bird's Head-Summer"
"128","z0134113","Bird's Head-Summer"
"129","z0178009","In-water, CA"
"130","z0178011","In-water, CA"
"131","z0178014","In-water, CA"
"132","z0207730","In-water, CA"
"133","z0207745","In-water, CA"
"134","z0210588","In-water, CA"
"135","z0216904","HaevoSI-Winter"
"136","z0216906","HaevoSI-Winter"
"137","z0216907","HaevoSI-Winter"
"138","z0216913","HaevoSI-Winter"
"139","z0216918","HaevoSI-Winter"
"140","z0216926","HaevoSI-Summer"
"141","z0216927","HaevoSI-Summer"
"142","z0216928","HaevoSI-Summer"
"143","z0216930","HaevoSI-Summer"
"144","z0216931","IsabelSI-South"
