"locus","inds.genoed","prop.genoed"
"Dc00544",75,0.330396475770925
"Dc01018",136,0.599118942731278
"Dc01661",196,0.863436123348018
"Dc01707",196,0.863436123348018
"Dc01784",193,0.850220264317181
"Dc02951",205,0.903083700440529
"Dc03456",204,0.898678414096916
"Dc03556",199,0.876651982378855
"Dc03887",37,0.162995594713656
"Dc05864",79,0.348017621145374
"Dc06503",84,0.370044052863436
"Dc07300",209,0.920704845814978
"Dc07937",180,0.79295154185022
"Dc08054",205,0.903083700440529
"Dc08189",166,0.731277533039648
"Dc08463",202,0.889867841409692
"Dc08578",79,0.348017621145374
"Dc08865",208,0.916299559471366
"Dc10003",121,0.533039647577093
"Dc10390",210,0.92511013215859
"Dc10878",102,0.449339207048458
"Dc10885",196,0.863436123348018
"Dc11062",56,0.246696035242291
"Dc11203",208,0.916299559471366
"Dc11295",55,0.242290748898678
"Dc11714",183,0.806167400881057
"Dc12329",45,0.198237885462555
"Dc13159",167,0.73568281938326
"Dc13592",182,0.801762114537445
"Dc14022",188,0.828193832599119
"Dc14945",199,0.876651982378855
"Dc16747",152,0.669603524229075
"Dc16962",56,0.246696035242291
"Dc18951",207,0.911894273127753
"Dc20232",189,0.832599118942731
"Dc21465",44,0.193832599118943
"Dc21637",32,0.140969162995595
"Dc22013",46,0.202643171806167
"Dc22883",147,0.647577092511013
"Dc22887",196,0.863436123348018
"Dc27955",131,0.577092511013216
"Dc28124",204,0.898678414096916
"Dc28776",179,0.788546255506608
"Dc30071",197,0.86784140969163
"Dc31007",92,0.405286343612335
"Dc33714",194,0.854625550660793
"Dc33907",186,0.819383259911894
"Dc34902",199,0.876651982378855
"Dc35779",195,0.859030837004405
"Dc36571",167,0.73568281938326
"Dc36616",200,0.881057268722467
"Dc36767",86,0.378854625550661
"Dc40235",197,0.86784140969163
"Dc41234",93,0.409691629955947
"Dc46984",205,0.903083700440529
"Dc47572",210,0.92511013215859
"Dc47935",201,0.885462555066079
"Dc48207",157,0.691629955947137
"Dc48950",211,0.929515418502203
"Dc49080",210,0.92511013215859
"Dc49184",210,0.92511013215859
"Dc51020",201,0.885462555066079
"Dc52523",190,0.837004405286344
"Dc55481",158,0.696035242290749
"Dc58248",203,0.894273127753304
"Dc62188",202,0.889867841409692
"Dc67011",197,0.86784140969163
"locus002",125,0.550660792951542
"locus003",206,0.907488986784141
"locus004",208,0.916299559471366
"locus005",203,0.894273127753304
"locus006",200,0.881057268722467
"locus008",206,0.907488986784141
"locus013",204,0.898678414096916
"locus014",208,0.916299559471366
"locus016",202,0.889867841409692
"locus019",155,0.682819383259912
"locus022",205,0.903083700440529
"locus024",193,0.850220264317181
"locus025",191,0.841409691629956
"locus027",96,0.422907488986784
"locus030",197,0.86784140969163
"locus035",199,0.876651982378855
"locus038",175,0.770925110132159
"locus039",193,0.850220264317181
"locus040",164,0.722466960352423
"locus041",170,0.748898678414097
"locus043",46,0.202643171806167
"locus045",194,0.854625550660793
"locus047",203,0.894273127753304
"locus048",199,0.876651982378855
"locus053",195,0.859030837004405
"locus055",198,0.872246696035242
"locus056",206,0.907488986784141
"locus058",199,0.876651982378855
"locus060",208,0.916299559471366
"locus061",162,0.713656387665198
"locus062",204,0.898678414096916
"locus064",210,0.92511013215859
"locus065",207,0.911894273127753
"locus069",68,0.299559471365639
"locus073",195,0.859030837004405
"locus074",206,0.907488986784141
"locus076",159,0.700440528634361
"locus077",187,0.823788546255507
"locus080",192,0.845814977973568
"locus083",176,0.775330396475771
"locus088",206,0.907488986784141
"locus093",126,0.555066079295154
"locus096",207,0.911894273127753
"locus098",166,0.731277533039648
"locus100",210,0.92511013215859
"locus102",49,0.215859030837004
"locus106",193,0.850220264317181
"locus110",96,0.422907488986784
"locus111",1,0.00440528634361234
"locus116",160,0.704845814977974
"locus119",206,0.907488986784141
"locus120",210,0.92511013215859
"locus126",102,0.449339207048458
"locus128",165,0.726872246696035
"locus129",207,0.911894273127753
"locus130",159,0.700440528634361
"locus134",185,0.814977973568282
"locus135",202,0.889867841409692
"locus137",202,0.889867841409692
"locus139",209,0.920704845814978
"locus140",212,0.933920704845815
"locus146",195,0.859030837004405
"locus148",211,0.929515418502203
"locus151",174,0.766519823788546
"locus155",1,0.00440528634361234
"locus157",150,0.66079295154185
"locus161",201,0.885462555066079
"locus165",181,0.797356828193833
"locus170",207,0.911894273127753
"locus176",186,0.819383259911894
"locus184",205,0.903083700440529
"locus186",205,0.903083700440529
"locus188",192,0.845814977973568
"locus189",204,0.898678414096916
"locus190",204,0.898678414096916
"locus191",185,0.814977973568282
"locus192",188,0.828193832599119
"locus195",191,0.841409691629956
"locus201",1,0.00440528634361234
"locus202",207,0.911894273127753
"locus210",113,0.497797356828194
"locus215",183,0.806167400881057
"locus227",189,0.832599118942731
"locus229",25,0.110132158590308
"locus231",138,0.607929515418502
"locus235",209,0.920704845814978
"locus236",208,0.916299559471366
"locus237",207,0.911894273127753
"locus239",206,0.907488986784141
"locus248",211,0.929515418502203
"locus255",75,0.330396475770925
"locus256",176,0.775330396475771
"locus263",193,0.850220264317181
"locus264",208,0.916299559471366
"locus271",10,0.0440528634361234
"locus274",195,0.859030837004405
"locus280",174,0.766519823788546
"locus282",194,0.854625550660793
"locus286",195,0.859030837004405
"locus289",33,0.145374449339207
"locus291",215,0.947136563876652
"locus292",206,0.907488986784141
"locus296",202,0.889867841409692
"locus298",40,0.176211453744493
"locus301",189,0.832599118942731
"locus314",162,0.713656387665198
"locus321",196,0.863436123348018
"locus322",206,0.907488986784141
"locus323",198,0.872246696035242
"locus329",193,0.850220264317181
"locus332",208,0.916299559471366
"locus334",59,0.259911894273128
"locus349",137,0.60352422907489
"locus358",208,0.916299559471366
"locus359",199,0.876651982378855
"locus360",182,0.801762114537445
