"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"Dc00544","IsabelSI-South",27,18,0.6,2,0.0740740740740741,0,0.50314465408805,0.355555555555556,1
"Dc01018","IsabelSI-South",38,7,0.844444444444444,2,0.0526315789473684,0,0.38,0.422222222222222,1
"Dc01661","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.63871473354232,0.577777777777778,2
"Dc01707","IsabelSI-South",45,0,1,4,0.0888888888888889,0,0.65892634207241,0.733333333333333,2
"Dc01784","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.424719101123596,0.511111111111111,1
"Dc02951","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.34956304619226,0.311111111111111,1
"Dc03456","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.504619225967541,0.466666666666667,1
"Dc03556","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.484587251828631,0.6,1
"Dc05864","IsabelSI-South",28,17,0.622222222222222,3,0.107142857142857,0,0.564285714285714,0.355555555555556,2
"Dc06503","IsabelSI-South",27,18,0.6,2,0.0740740740740741,0,0.17120894479385,0.111111111111111,1
"Dc07300","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.662172284644195,0.733333333333333,2
"Dc07937","IsabelSI-South",43,2,0.955555555555556,3,0.0697674418604651,0,0.591792065663475,0.555555555555556,2
"Dc08054","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.60649188514357,0.622222222222222,2
"Dc08189","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.5880355276907,0.666666666666667,2
"Dc08463","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.336828963795256,0.244444444444444,1
"Dc08578","IsabelSI-South",25,20,0.555555555555556,3,0.12,0,0.594285714285714,0.288888888888889,2
"Dc08865","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.597503121098627,0.6,2
"Dc10003","IsabelSI-South",34,11,0.755555555555556,2,0.0588235294117647,0,0.331870061457419,0.266666666666667,1
"Dc10390","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.182022471910112,0.155555555555556,1
