"locus","inds.genoed","prop.genoed"
"Dc00544",84,0.583333333333333
"Dc01018",118,0.819444444444444
"Dc01661",143,0.993055555555556
"Dc01707",143,0.993055555555556
"Dc01784",141,0.979166666666667
"Dc02951",144,1
"Dc03456",144,1
"Dc03556",143,0.993055555555556
"Dc05864",87,0.604166666666667
"Dc06503",86,0.597222222222222
"Dc07300",144,1
"Dc07937",136,0.944444444444444
"Dc08054",144,1
"Dc08189",133,0.923611111111111
"Dc08463",144,1
"Dc08578",81,0.5625
"Dc08865",144,1
"Dc10003",109,0.756944444444444
"Dc10390",144,1
"Dc10878",99,0.6875
"Dc10885",142,0.986111111111111
"Dc11203",144,1
"Dc11714",135,0.9375
"Dc13159",128,0.888888888888889
"Dc13592",135,0.9375
"Dc14022",139,0.965277777777778
"Dc14945",144,1
"Dc16747",120,0.833333333333333
"Dc18951",144,1
"Dc20232",140,0.972222222222222
"Dc22883",120,0.833333333333333
"Dc22887",144,1
"Dc27955",114,0.791666666666667
"Dc28124",144,1
"Dc28776",138,0.958333333333333
"Dc30071",143,0.993055555555556
"Dc31007",96,0.666666666666667
"Dc33714",142,0.986111111111111
"Dc33907",138,0.958333333333333
"Dc34902",143,0.993055555555556
"Dc35779",142,0.986111111111111
"Dc36571",133,0.923611111111111
"Dc36616",143,0.993055555555556
"Dc36767",87,0.604166666666667
"Dc40235",143,0.993055555555556
"Dc41234",96,0.666666666666667
"Dc46984",144,1
"Dc47572",144,1
"Dc47935",143,0.993055555555556
"Dc48207",126,0.875
"Dc48950",144,1
"Dc49080",144,1
"Dc49184",144,1
"Dc51020",144,1
"Dc52523",142,0.986111111111111
"Dc55481",125,0.868055555555556
"Dc58248",144,1
"Dc62188",143,0.993055555555556
"Dc67011",144,1
"locus002",100,0.694444444444444
"locus003",144,1
"locus004",144,1
"locus005",143,0.993055555555556
"locus006",144,1
"locus008",143,0.993055555555556
"locus013",144,1
"locus014",144,1
"locus022",144,1
"locus024",142,0.986111111111111
"locus025",139,0.965277777777778
"locus027",90,0.625
"locus030",144,1
"locus035",143,0.993055555555556
"locus038",131,0.909722222222222
"locus039",143,0.993055555555556
"locus040",129,0.895833333333333
"locus041",129,0.895833333333333
"locus045",142,0.986111111111111
"locus047",144,1
"locus048",144,1
"locus053",144,1
"locus055",143,0.993055555555556
"locus056",144,1
"locus058",143,0.993055555555556
"locus060",144,1
"locus061",129,0.895833333333333
"locus062",144,1
"locus064",144,1
"locus065",144,1
"locus073",142,0.986111111111111
"locus074",144,1
"locus076",125,0.868055555555556
"locus077",135,0.9375
"locus080",139,0.965277777777778
"locus083",126,0.875
"locus088",144,1
"locus093",108,0.75
"locus096",144,1
"locus098",130,0.902777777777778
"locus100",144,1
"locus106",143,0.993055555555556
"locus110",87,0.604166666666667
"locus116",134,0.930555555555556
"locus119",144,1
"locus120",144,1
"locus126",93,0.645833333333333
"locus128",125,0.868055555555556
"locus129",144,1
"locus130",121,0.840277777777778
"locus134",135,0.9375
"locus135",143,0.993055555555556
"locus137",144,1
"locus139",144,1
"locus140",144,1
"locus146",143,0.993055555555556
"locus148",144,1
"locus151",136,0.944444444444444
"locus157",123,0.854166666666667
"locus161",143,0.993055555555556
"locus165",128,0.888888888888889
"locus170",144,1
"locus176",133,0.923611111111111
"locus184",144,1
"locus186",144,1
"locus188",139,0.965277777777778
"locus189",143,0.993055555555556
"locus190",144,1
"locus191",137,0.951388888888889
"locus192",135,0.9375
"locus195",140,0.972222222222222
"locus202",144,1
"locus210",102,0.708333333333333
"locus215",133,0.923611111111111
"locus227",142,0.986111111111111
"locus231",114,0.791666666666667
"locus235",144,1
"locus236",144,1
"locus237",144,1
"locus239",144,1
"locus248",144,1
"locus255",81,0.5625
"locus256",131,0.909722222222222
"locus263",140,0.972222222222222
"locus264",144,1
"locus274",142,0.986111111111111
"locus280",135,0.9375
"locus282",142,0.986111111111111
"locus286",142,0.986111111111111
"locus291",144,1
"locus292",144,1
"locus296",144,1
"locus301",140,0.972222222222222
"locus314",108,0.75
"locus321",142,0.986111111111111
"locus322",144,1
"locus323",142,0.986111111111111
"locus329",143,0.993055555555556
"locus332",144,1
"locus349",104,0.722222222222222
"locus358",144,1
"locus359",143,0.993055555555556
"locus360",137,0.951388888888889
