"locus","inds.genoed","prop.genoed"
"Dc00544",84,0.515337423312883
"Dc01018",118,0.723926380368098
"Dc01661",146,0.895705521472393
"Dc01707",144,0.883435582822086
"Dc01784",144,0.883435582822086
"Dc02951",153,0.938650306748466
"Dc03456",151,0.92638036809816
"Dc03556",147,0.901840490797546
"Dc03887",44,0.269938650306748
"Dc05864",87,0.533742331288344
"Dc06503",86,0.52760736196319
"Dc07300",156,0.957055214723926
"Dc07937",137,0.840490797546012
"Dc08054",152,0.932515337423313
"Dc08189",134,0.822085889570552
"Dc08463",149,0.914110429447853
"Dc08578",81,0.496932515337423
"Dc08865",155,0.950920245398773
"Dc10003",109,0.668711656441718
"Dc10390",157,0.96319018404908
"Dc10878",99,0.607361963190184
"Dc10885",144,0.883435582822086
"Dc11062",68,0.417177914110429
"Dc11203",156,0.957055214723926
"Dc11295",65,0.398773006134969
"Dc11714",139,0.852760736196319
"Dc12329",53,0.325153374233129
"Dc13159",129,0.791411042944785
"Dc13592",137,0.840490797546012
"Dc14022",142,0.871165644171779
"Dc14945",146,0.895705521472393
"Dc16747",121,0.742331288343558
"Dc16962",67,0.411042944785276
"Dc18951",154,0.94478527607362
"Dc20232",140,0.858895705521472
"Dc21465",57,0.349693251533742
"Dc21637",42,0.257668711656442
"Dc22013",51,0.312883435582822
"Dc22883",120,0.736196319018405
"Dc22887",145,0.889570552147239
"Dc27955",114,0.699386503067485
"Dc28124",151,0.92638036809816
"Dc28776",138,0.846625766871166
"Dc30071",147,0.901840490797546
"Dc31007",96,0.588957055214724
"Dc33714",143,0.877300613496933
"Dc33907",140,0.858895705521472
"Dc34902",148,0.907975460122699
"Dc35779",143,0.877300613496933
"Dc36571",134,0.822085889570552
"Dc36616",148,0.907975460122699
"Dc36767",87,0.533742331288344
"Dc40235",144,0.883435582822086
"Dc41234",96,0.588957055214724
"Dc46984",152,0.932515337423313
"Dc47572",157,0.96319018404908
"Dc47935",150,0.920245398773006
"Dc48207",126,0.773006134969325
"Dc48950",158,0.969325153374233
"Dc49080",157,0.96319018404908
"Dc49184",157,0.96319018404908
"Dc51020",149,0.914110429447853
"Dc52523",149,0.914110429447853
"Dc55481",126,0.773006134969325
"Dc58248",151,0.92638036809816
"Dc62188",149,0.914110429447853
"Dc67011",145,0.889570552147239
