"Indiv","loci.genoed","prop.genoed"
"z0006796",151,0.848314606741573
"z0006797",43,0.241573033707865
"z0006798",167,0.938202247191011
"z0006799",176,0.98876404494382
"z0006800",162,0.910112359550562
"z0006801",151,0.848314606741573
"z0006802",176,0.98876404494382
"z0006803",161,0.904494382022472
"z0006805",166,0.932584269662921
"z0012480",158,0.887640449438202
"z0012481",167,0.938202247191011
"z0012482",154,0.865168539325843
"z0012483",163,0.915730337078652
"z0012484",150,0.842696629213483
"z0012485",169,0.949438202247191
"z0012486",153,0.859550561797753
"z0012488",147,0.825842696629214
"z0012489",173,0.971910112359551
"z0012490",118,0.662921348314607
"z0012491",164,0.921348314606742
"z0012492",176,0.98876404494382
"z0012493",145,0.814606741573034
"z0012494",153,0.859550561797753
"z0012497",170,0.955056179775281
"z0012499",168,0.943820224719101
"z0012500",175,0.98314606741573
"z0012502",94,0.528089887640449
"z0012503",154,0.865168539325843
"z0012504",171,0.960674157303371
"z0012505",133,0.747191011235955
"z0012509",170,0.955056179775281
"z0012511",153,0.859550561797753
"z0012515",133,0.747191011235955
"z0012517",148,0.831460674157303
"z0012519",165,0.926966292134832
"z0012520",168,0.943820224719101
"z0012521",170,0.955056179775281
"z0012522",151,0.848314606741573
"z0012523",140,0.786516853932584
"z0012524",146,0.820224719101124
"z0012525",152,0.853932584269663
"z0012527",175,0.98314606741573
"z0012528",154,0.865168539325843
"z0016882",134,0.752808988764045
"z0016883",170,0.955056179775281
"z0016884",169,0.949438202247191
"z0016885",152,0.853932584269663
"z0016886",135,0.758426966292135
"z0016887",137,0.769662921348315
"z0016888",145,0.814606741573034
"z0026450",175,0.98314606741573
"z0026451",157,0.882022471910112
"z0026452",151,0.848314606741573
"z0026456",140,0.786516853932584
"z0026457",175,0.98314606741573
"z0026458",139,0.780898876404494
"z0032021",174,0.97752808988764
"z0032022",104,0.584269662921348
"z0032023",135,0.758426966292135
"z0032024",156,0.876404494382023
"z0032030",79,0.443820224719101
"z0032031",150,0.842696629213483
"z0035352",173,0.971910112359551
"z0037412",177,0.99438202247191
"z0037417",153,0.859550561797753
"z0037418",150,0.842696629213483
"z0037419",168,0.943820224719101
"z0037422",161,0.904494382022472
"z0037463",172,0.966292134831461
"z0037464",165,0.926966292134832
"z0037466",161,0.904494382022472
"z0037467",146,0.820224719101124
"z0037468",156,0.876404494382023
"z0037471",159,0.893258426966292
"z0040942",171,0.960674157303371
"z0061457",158,0.887640449438202
"z0061464",167,0.938202247191011
"z0061467",169,0.949438202247191
"z0061468",146,0.820224719101124
"z0062622",177,0.99438202247191
"z0062627",171,0.960674157303371
"z0062630",169,0.949438202247191
"z0062634",162,0.910112359550562
"z0062636",163,0.915730337078652
"z0062680",162,0.910112359550562
"z0062681",172,0.966292134831461
"z0062687",172,0.966292134831461
"z0062737",156,0.876404494382023
"z0062742",163,0.915730337078652
"z0062743",177,0.99438202247191
"z0062752",177,0.99438202247191
"z0062761",174,0.97752808988764
"z0062766",175,0.98314606741573
"z0062787",167,0.938202247191011
"z0076691",177,0.99438202247191
"z0076693",172,0.966292134831461
"z0076695",173,0.971910112359551
"z0076697",176,0.98876404494382
"z0076699",163,0.915730337078652
"z0076701",155,0.870786516853933
"z0076703",151,0.848314606741573
"z0076705",152,0.853932584269663
"z0076707",163,0.915730337078652
"z0076709",163,0.915730337078652
"z0076711",159,0.893258426966292
"z0076713",152,0.853932584269663
"z0076715",157,0.882022471910112
"z0102589",165,0.926966292134832
"z0102605",169,0.949438202247191
"z0102610",176,0.98876404494382
"z0102616",169,0.949438202247191
"z0102682",133,0.747191011235955
"z0117088",132,0.741573033707865
"z0117094",128,0.719101123595506
"z0117103",152,0.853932584269663
"z0134055",145,0.814606741573034
"z0134059",142,0.797752808988764
"z0134061",132,0.741573033707865
"z0134064",91,0.51123595505618
"z0134066",125,0.702247191011236
"z0134070",170,0.955056179775281
"z0134074",171,0.960674157303371
"z0134087",132,0.741573033707865
"z0134095",120,0.674157303370786
"z0134097",141,0.792134831460674
"z0134098",153,0.859550561797753
"z0134101",162,0.910112359550562
"z0134108",155,0.870786516853933
"z0134109",154,0.865168539325843
"z0134111",146,0.820224719101124
"z0134112",177,0.99438202247191
"z0134113",169,0.949438202247191
"z0178009",177,0.99438202247191
"z0178011",176,0.98876404494382
"z0178014",175,0.98314606741573
"z0207730",176,0.98876404494382
"z0207745",172,0.966292134831461
"z0210588",177,0.99438202247191
"z0216904",175,0.98314606741573
"z0216906",168,0.943820224719101
"z0216907",119,0.668539325842697
"z0216908",52,0.292134831460674
"z0216910",72,0.404494382022472
"z0216913",133,0.747191011235955
"z0216914",55,0.308988764044944
"z0216915",30,0.168539325842697
"z0216916",38,0.213483146067416
"z0216918",157,0.882022471910112
"z0216920",74,0.415730337078652
"z0216921",39,0.219101123595506
"z0216924",79,0.443820224719101
"z0216926",121,0.679775280898876
"z0216927",134,0.752808988764045
"z0216928",174,0.97752808988764
"z0216929",30,0.168539325842697
"z0216930",174,0.97752808988764
"z0216931",148,0.831460674157303
