"locus","inds.genoed","prop.genoed"
"Dc00544",86,0.5375
"Dc01018",120,0.75
"Dc01661",149,0.93125
"Dc01707",147,0.91875
"Dc01784",147,0.91875
"Dc02951",155,0.96875
"Dc03456",154,0.9625
"Dc03556",150,0.9375
"Dc03887",46,0.2875
"Dc05864",89,0.55625
"Dc06503",88,0.55
"Dc07300",158,0.9875
"Dc07937",140,0.875
"Dc08054",155,0.96875
"Dc08189",136,0.85
"Dc08463",152,0.95
"Dc08578",82,0.5125
"Dc08865",158,0.9875
"Dc10003",111,0.69375
"Dc10390",159,0.99375
"Dc10878",101,0.63125
"Dc10885",147,0.91875
"Dc11062",70,0.4375
"Dc11203",159,0.99375
"Dc11295",67,0.41875
"Dc11714",142,0.8875
"Dc12329",55,0.34375
"Dc13159",132,0.825
"Dc13592",140,0.875
"Dc14022",145,0.90625
"Dc14945",149,0.93125
"Dc16747",123,0.76875
"Dc16962",68,0.425
"Dc18951",157,0.98125
"Dc20232",143,0.89375
"Dc21465",58,0.3625
"Dc21637",43,0.26875
"Dc22013",53,0.33125
"Dc22883",123,0.76875
"Dc22887",148,0.925
"Dc27955",116,0.725
"Dc28124",153,0.95625
"Dc28776",140,0.875
"Dc30071",150,0.9375
"Dc31007",98,0.6125
"Dc33714",146,0.9125
"Dc33907",143,0.89375
"Dc34902",151,0.94375
"Dc35779",146,0.9125
"Dc36571",137,0.85625
"Dc36616",151,0.94375
"Dc36767",89,0.55625
"Dc40235",147,0.91875
"Dc41234",98,0.6125
"Dc46984",155,0.96875
"Dc47572",157,0.98125
"Dc47935",153,0.95625
"Dc48207",129,0.80625
"Dc48950",160,1
"Dc49080",159,0.99375
"Dc49184",159,0.99375
"Dc51020",152,0.95
"Dc52523",151,0.94375
"Dc55481",128,0.8
"Dc58248",153,0.95625
"Dc62188",152,0.95
"Dc67011",148,0.925
"locus002",102,0.6375
"locus003",156,0.975
"locus004",159,0.99375
"locus005",156,0.975
"locus006",151,0.94375
"locus008",156,0.975
"locus013",156,0.975
"locus014",158,0.9875
"locus016",150,0.9375
"locus022",155,0.96875
"locus024",147,0.91875
"locus025",144,0.9
"locus027",92,0.575
"locus030",149,0.93125
"locus035",149,0.93125
"locus038",135,0.84375
"locus039",149,0.93125
"locus040",131,0.81875
"locus041",132,0.825
"locus043",54,0.3375
"locus045",148,0.925
"locus047",154,0.9625
"locus048",152,0.95
"locus053",150,0.9375
"locus055",149,0.93125
"locus056",156,0.975
"locus058",152,0.95
"locus060",157,0.98125
"locus061",133,0.83125
"locus062",156,0.975
"locus064",159,0.99375
"locus065",156,0.975
"locus069",69,0.43125
"locus073",150,0.9375
"locus074",156,0.975
"locus076",127,0.79375
"locus077",141,0.88125
"locus080",145,0.90625
"locus083",131,0.81875
"locus088",156,0.975
"locus093",110,0.6875
"locus096",158,0.9875
"locus098",133,0.83125
"locus100",160,1
"locus102",61,0.38125
"locus106",146,0.9125
"locus110",89,0.55625
"locus116",137,0.85625
"locus119",155,0.96875
"locus120",160,1
"locus126",95,0.59375
"locus128",128,0.8
"locus129",157,0.98125
"locus130",124,0.775
"locus134",140,0.875
"locus135",155,0.96875
"locus137",152,0.95
"locus139",159,0.99375
"locus140",160,1
"locus146",148,0.925
"locus148",158,0.9875
"locus151",140,0.875
"locus157",125,0.78125
"locus161",154,0.9625
"locus165",135,0.84375
"locus170",157,0.98125
"locus176",139,0.86875
"locus184",154,0.9625
"locus186",156,0.975
"locus188",145,0.90625
"locus189",154,0.9625
"locus190",153,0.95625
"locus191",140,0.875
"locus192",141,0.88125
"locus195",146,0.9125
"locus202",157,0.98125
"locus210",104,0.65
"locus215",139,0.86875
"locus227",145,0.90625
"locus229",27,0.16875
"locus231",116,0.725
"locus235",159,0.99375
"locus236",158,0.9875
"locus237",157,0.98125
"locus239",157,0.98125
"locus248",159,0.99375
"locus255",83,0.51875
"locus256",136,0.85
"locus263",146,0.9125
"locus264",158,0.9875
"locus274",147,0.91875
"locus280",138,0.8625
"locus282",147,0.91875
"locus286",148,0.925
"locus289",35,0.21875
"locus291",160,1
"locus292",154,0.9625
"locus296",153,0.95625
"locus298",63,0.39375
"locus301",144,0.9
"locus314",117,0.73125
"locus321",149,0.93125
"locus322",156,0.975
"locus323",148,0.925
"locus329",148,0.925
"locus332",158,0.9875
"locus334",71,0.44375
"locus349",106,0.6625
"locus358",158,0.9875
"locus359",149,0.93125
"locus360",140,0.875
