"locus","inds.genoed","prop.genoed"
"Dc00544",75,0.347222222222222
"Dc01018",136,0.62962962962963
"Dc01661",196,0.907407407407407
"Dc01707",196,0.907407407407407
"Dc01784",193,0.893518518518518
"Dc02951",205,0.949074074074074
"Dc03456",204,0.944444444444444
"Dc03556",199,0.921296296296296
"Dc03887",37,0.171296296296296
"Dc05864",79,0.365740740740741
"Dc06503",84,0.388888888888889
"Dc07300",209,0.967592592592593
"Dc07937",180,0.833333333333333
"Dc08054",205,0.949074074074074
"Dc08189",166,0.768518518518518
"Dc08463",202,0.935185185185185
"Dc08578",79,0.365740740740741
"Dc08865",208,0.962962962962963
"Dc10003",121,0.560185185185185
"Dc10390",210,0.972222222222222
"Dc10878",102,0.472222222222222
"Dc10885",196,0.907407407407407
"Dc11062",56,0.259259259259259
"Dc11203",208,0.962962962962963
"Dc11295",55,0.25462962962963
"Dc11714",183,0.847222222222222
"Dc12329",45,0.208333333333333
"Dc13159",167,0.773148148148148
"Dc13592",182,0.842592592592593
"Dc14022",188,0.87037037037037
"Dc14945",199,0.921296296296296
"Dc16747",152,0.703703703703704
"Dc16962",56,0.259259259259259
"Dc18951",207,0.958333333333333
"Dc20232",189,0.875
"Dc21465",44,0.203703703703704
"Dc21637",32,0.148148148148148
"Dc22013",46,0.212962962962963
"Dc22883",147,0.680555555555556
"Dc22887",196,0.907407407407407
"Dc27955",131,0.606481481481482
"Dc28124",204,0.944444444444444
"Dc28776",179,0.828703703703704
"Dc30071",197,0.912037037037037
"Dc31007",92,0.425925925925926
"Dc33714",194,0.898148148148148
"Dc33907",186,0.861111111111111
"Dc34902",199,0.921296296296296
"Dc35779",195,0.902777777777778
"Dc36571",167,0.773148148148148
"Dc36616",200,0.925925925925926
"Dc36767",86,0.398148148148148
"Dc40235",197,0.912037037037037
"Dc41234",93,0.430555555555556
"Dc46984",205,0.949074074074074
"Dc47572",210,0.972222222222222
"Dc47935",201,0.930555555555556
"Dc48207",157,0.726851851851852
"Dc48950",211,0.976851851851852
"Dc49080",210,0.972222222222222
"Dc49184",210,0.972222222222222
"Dc51020",201,0.930555555555556
"Dc52523",190,0.87962962962963
"Dc55481",158,0.731481481481482
"Dc58248",203,0.939814814814815
"Dc62188",202,0.935185185185185
"Dc67011",197,0.912037037037037
"locus002",125,0.578703703703704
"locus003",206,0.953703703703704
"locus004",208,0.962962962962963
"locus005",203,0.939814814814815
"locus006",200,0.925925925925926
"locus008",206,0.953703703703704
"locus013",204,0.944444444444444
"locus014",208,0.962962962962963
"locus016",202,0.935185185185185
"locus019",155,0.717592592592593
"locus022",205,0.949074074074074
"locus024",193,0.893518518518518
"locus025",191,0.884259259259259
"locus027",96,0.444444444444444
"locus030",197,0.912037037037037
"locus035",199,0.921296296296296
"locus038",175,0.810185185185185
"locus039",193,0.893518518518518
"locus040",164,0.759259259259259
"locus041",170,0.787037037037037
"locus043",46,0.212962962962963
"locus045",194,0.898148148148148
"locus047",203,0.939814814814815
"locus048",199,0.921296296296296
"locus053",195,0.902777777777778
"locus055",198,0.916666666666667
"locus056",206,0.953703703703704
"locus058",199,0.921296296296296
"locus060",208,0.962962962962963
"locus061",162,0.75
"locus062",204,0.944444444444444
"locus064",210,0.972222222222222
"locus065",207,0.958333333333333
"locus069",68,0.314814814814815
"locus073",195,0.902777777777778
"locus074",206,0.953703703703704
"locus076",159,0.736111111111111
"locus077",187,0.865740740740741
"locus080",192,0.888888888888889
"locus083",176,0.814814814814815
"locus088",206,0.953703703703704
"locus093",126,0.583333333333333
"locus096",207,0.958333333333333
"locus098",166,0.768518518518518
"locus100",210,0.972222222222222
"locus102",49,0.226851851851852
"locus106",193,0.893518518518518
"locus110",96,0.444444444444444
"locus111",1,0.00462962962962963
"locus116",160,0.740740740740741
"locus119",206,0.953703703703704
"locus120",210,0.972222222222222
"locus126",102,0.472222222222222
"locus128",165,0.763888888888889
"locus129",207,0.958333333333333
"locus130",159,0.736111111111111
"locus134",185,0.856481481481482
"locus135",202,0.935185185185185
"locus137",202,0.935185185185185
"locus139",209,0.967592592592593
"locus140",212,0.981481481481482
"locus146",195,0.902777777777778
"locus148",211,0.976851851851852
"locus151",174,0.805555555555556
"locus155",1,0.00462962962962963
"locus157",150,0.694444444444444
"locus161",201,0.930555555555556
"locus165",181,0.837962962962963
"locus170",207,0.958333333333333
"locus176",186,0.861111111111111
"locus184",205,0.949074074074074
"locus186",205,0.949074074074074
"locus188",192,0.888888888888889
"locus189",204,0.944444444444444
"locus190",204,0.944444444444444
"locus191",185,0.856481481481482
"locus192",188,0.87037037037037
"locus195",191,0.884259259259259
"locus201",1,0.00462962962962963
"locus202",207,0.958333333333333
"locus210",113,0.523148148148148
"locus215",183,0.847222222222222
"locus227",189,0.875
"locus229",25,0.115740740740741
"locus231",138,0.638888888888889
"locus235",209,0.967592592592593
"locus236",208,0.962962962962963
"locus237",207,0.958333333333333
"locus239",206,0.953703703703704
"locus248",211,0.976851851851852
"locus255",75,0.347222222222222
"locus256",176,0.814814814814815
"locus263",193,0.893518518518518
"locus264",208,0.962962962962963
"locus271",10,0.0462962962962963
"locus274",195,0.902777777777778
"locus280",174,0.805555555555556
"locus282",194,0.898148148148148
"locus286",195,0.902777777777778
"locus289",33,0.152777777777778
"locus291",215,0.99537037037037
"locus292",206,0.953703703703704
"locus296",202,0.935185185185185
"locus298",40,0.185185185185185
"locus301",189,0.875
"locus314",162,0.75
"locus321",196,0.907407407407407
"locus322",206,0.953703703703704
"locus323",198,0.916666666666667
"locus329",193,0.893518518518518
"locus332",208,0.962962962962963
"locus334",59,0.273148148148148
"locus349",137,0.634259259259259
